# Библиотечная кривая эффективности BecqMoni для AtomSpectra Nano 16 PRO.
# ВХОД СЛЕПОГО ТЕСТА — архивируется в репозитории намеренно: сверка, входы
# которой лежат вне дерева, из клона не прослеживается и потому отзывается
# (так уже случилось со сверкой по записи Cs-137).
#
# Происхождение: библиотека BecqMoni, поле «Calculated from geometry»;
# выдана оператором 06.08.2026 после фиксации предсказания. До этой даты
# библиотечные кривые прибора не открывались — условие слепого теста.
#
# Постановка автора библиотеки (дословно из её описания):
#   geometry: crystal Cesium iodide box 15.0x18.0x60.0 mm, rho 4.510;
#             source - point, 100.0 mm, Air, dry
#   cm: Cesium iodide 1.50x1.80 z[0.00..6.00] *;
#       Polytetrafluoroethylene 1.50x1.80 z[-0.13..0.00];
#       Polytetrafluoroethylene 1.70x2.00 z[-0.13..6.00];
#       Aluminum 2.10x2.40 z[-0.31..-0.13];
#       Aluminum 2.10x2.40 z[-0.13..6.00];
#       Aluminum 2.10x2.40 z[6.00..6.20]
#   34 узла 40-3000 кэВ, 2e5 историй на точку.
#
# Отличия от нашей модели, известные ДО сверки: у автора нет корпуса-экструзии
# (только симметричная обёртка), нет платы и сборки SiPM, ПТФЭ на торце 1,30 мм
# против нашего 1,00, торцевой слой алюминия 2,00 мм против нашей пластиковой
# крышки 1,50 мм. Наш кристалл и его совпадают: 18 x 15 x 60 (порядок осей
# в его записи иной).
#
# d_eff_pct — погрешность, объявленная самой библиотекой, %.
E_keV,eff_peak,d_eff_pct
40,1.1834E-003,0.74
50,1.3582E-003,0.73
60,1.4928E-003,0.71
70,1.5445E-003,0.70
80,1.6065E-003,0.69
90,1.6158E-003,0.69
100,1.6449E-003,0.69
120,1.6432E-003,0.69
150,1.6267E-003,0.70
186,1.5293E-003,0.73
240,1.3604E-003,0.78
300,1.1636E-003,0.85
352,9.6562E-004,0.94
400,8.5683E-004,1.00
460,7.3196E-004,1.09
510,6.2945E-004,1.18
583,5.3087E-004,1.29
609,5.1400E-004,1.32
662,4.7496E-004,1.37
720,4.0088E-004,1.50
800,3.6579E-004,1.57
900,3.1195E-004,1.71
1000,2.7917E-004,1.81
1120,2.3680E-004,1.97
1250,2.0980E-004,2.09
1461,1.7835E-004,2.28
1600,1.5865E-004,2.42
1765,1.4225E-004,2.56
2000,1.2452E-004,2.74
2200,1.1672E-004,2.83
2450,9.6455E-005,3.12
2615,8.8527E-005,3.26
2800,8.0113E-005,3.43
3000,7.6030E-005,3.52
