# NIST XCOM, сплав WT-20 по массе: W 0.980000 / Th 0.017576 / O 0.002424
# (2 % масс. ThO2, доля Th в ThO2 = 0.87881 по атомным массам)
# массовые коэффициенты, см2/г
E_МэВ;когерентное;некогерентное;фотоэффект;пары_ядро;пары_электрон;полное_с_ког;полное_без_ког
1.0000E-02;4.4540E+00;4.8060E-02;9.3440E+01;0.0000E+00;0.0000E+00;9.7950E+01;9.3490E+01
1.0210E-02;4.3690E+00;4.8750E-02;8.8580E+01;0.0000E+00;0.0000E+00;9.2990E+01;8.8620E+01
1.0850E-02;4.1140E+00;5.0840E-02;1.9280E+02;0.0000E+00;0.0000E+00;1.9700E+02;1.9280E+02
1.1540E-02;3.8650E+00;5.2940E-02;1.6370E+02;0.0000E+00;0.0000E+00;1.6760E+02;1.6370E+02
1.1820E-02;3.7730E+00;5.3740E-02;2.1230E+02;0.0000E+00;0.0000E+00;2.1610E+02;2.1230E+02
1.2100E-02;3.6820E+00;5.4550E-02;2.0050E+02;0.0000E+00;0.0000E+00;2.0420E+02;2.0060E+02
1.5000E-02;2.8930E+00;6.2100E-02;1.3420E+02;0.0000E+00;0.0000E+00;1.3720E+02;1.3430E+02
1.6300E-02;2.6210E+00;6.5110E-02;1.0780E+02;0.0000E+00;0.0000E+00;1.1050E+02;1.0790E+02
1.7920E-02;2.3370E+00;6.8550E-02;8.4870E+01;0.0000E+00;0.0000E+00;8.7280E+01;8.4940E+01
1.9690E-02;2.0810E+00;7.1990E-02;6.6120E+01;0.0000E+00;0.0000E+00;6.8270E+01;6.6190E+01
2.0000E-02;2.0410E+00;7.2560E-02;6.3940E+01;0.0000E+00;0.0000E+00;6.6050E+01;6.4010E+01
2.0470E-02;1.9830E+00;7.3400E-02;6.0070E+01;0.0000E+00;0.0000E+00;6.2130E+01;6.0140E+01
3.0000E-02;1.2070E+00;8.6490E-02;2.1670E+01;0.0000E+00;0.0000E+00;2.2960E+01;2.1750E+01
4.0000E-02;7.9610E-01;9.4300E-02;9.8930E+00;0.0000E+00;0.0000E+00;1.0780E+01;9.9880E+00
5.0000E-02;5.6330E-01;9.8650E-02;5.3550E+00;0.0000E+00;0.0000E+00;6.0160E+00;5.4530E+00
6.0000E-02;4.2200E-01;1.0100E-01;3.2320E+00;0.0000E+00;0.0000E+00;3.7550E+00;3.3330E+00
6.9530E-02;3.3300E-01;1.0220E-01;2.1450E+00;0.0000E+00;0.0000E+00;2.5810E+00;2.2480E+00
8.0000E-02;2.6510E-01;1.0260E-01;7.3410E+00;0.0000E+00;0.0000E+00;7.7090E+00;7.4440E+00
1.0000E-01;1.8210E-01;1.0200E-01;4.0970E+00;0.0000E+00;0.0000E+00;4.3810E+00;4.1990E+00
1.0970E-01;1.5530E-01;1.0140E-01;3.2090E+00;0.0000E+00;0.0000E+00;3.4660E+00;3.3100E+00
1.5000E-01;8.9130E-02;9.7380E-02;1.4070E+00;0.0000E+00;0.0000E+00;1.5930E+00;1.5040E+00
2.0000E-01;5.3120E-02;9.1840E-02;6.4580E-01;0.0000E+00;0.0000E+00;7.9080E-01;7.3760E-01
3.0000E-01;2.5230E-02;8.2110E-02;2.1890E-01;0.0000E+00;0.0000E+00;3.2630E-01;3.0110E-01
4.0000E-01;1.4680E-02;7.4580E-02;1.0450E-01;0.0000E+00;0.0000E+00;1.9380E-01;1.7910E-01
5.0000E-01;9.5820E-03;6.8650E-02;6.0360E-02;0.0000E+00;0.0000E+00;1.3860E-01;1.2900E-01
6.0000E-01;6.7420E-03;6.3840E-02;3.9250E-02;0.0000E+00;0.0000E+00;1.0980E-01;1.0310E-01
8.0000E-01;3.8550E-03;5.6400E-02;2.0700E-02;0.0000E+00;0.0000E+00;8.0960E-02;7.7100E-02
1.0000E+00;2.4900E-03;5.0870E-02;1.3010E-02;0.0000E+00;0.0000E+00;6.6360E-02;6.3870E-02
1.0220E+00;2.3860E-03;5.0310E-02;1.2450E-02;0.0000E+00;0.0000E+00;6.5140E-02;6.2760E-02
1.2500E+00;1.6050E-03;4.5560E-02;8.3950E-03;3.2390E-04;0.0000E+00;5.5880E-02;5.4280E-02
1.5000E+00;1.1190E-03;4.1470E-02;5.9870E-03;1.5180E-03;0.0000E+00;5.0090E-02;4.8970E-02
2.0000E+00;6.3270E-04;3.5440E-02;3.6230E-03;4.7010E-03;0.0000E+00;4.4400E-02;4.3760E-02
2.0440E+00;6.0570E-04;3.5010E-02;3.4960E-03;4.9870E-03;0.0000E+00;4.4100E-02;4.3500E-02
3.0000E+00;2.8220E-04;2.7910E-02;1.9010E-03;1.0690E-02;9.7540E-06;4.0790E-02;4.0510E-02
