# AtomSpectra Nano 16 PRO, точечный источник на оси кристалла
# постановка взята из шапок спектров, а не вписана здесь:
#   run_args = curve_point_end10cm.mac
#   solid_angle_frac = 0.09042391
#   front_face_z_mm = 31.600  (наружная поверхность крышки), work_face_y_mm = 9.800  (наружная поверхность стенки)
# наблюдаемая: абсолютная эффективность по ППП на 4pi
# src_sha1 = 52dc9b7269f8
# fwhm_662_keV = 41.60  (собственная запись Cs-137)
# escapes_keV = 28.60, 30.97
# оконная величина: ROI +-1,25 ПШПВ по размытому спектру,
#   подложка ТОЛЬКО по левой полке [E-2,5 ПШПВ; E-1,25 ПШПВ]
#   с исключением каналов вылета +-0,5 ПШПВ. Правая полка не
#   используется: в моноэнергетическом расчёте справа от пика
#   континуума нет, там хвост самой гауссианы размытия
# eps_peak — строгая (канал полного поглощения), основная
# eps_peak_win — оконная, конвенция измеренного спектра; при shelf=right завышена
E_keV,eps_peak,d_eps_peak,eps_peak_win,eps_total,fep_counts,fep_raw_counts,fep_bg_counts,area_counts,N_primaries,solid_angle_frac,fwhm_keV,shelf,win_clipped
40.000,1.422600e-03,3.659e-06,1.638734e-03,2.109599e-03,157325.7,163754,6428.3,181228,10000000,0.09042391,10.23,left,0
50.000,1.539449e-03,3.788e-06,1.763026e-03,2.215133e-03,170248.0,175492,5244.0,194973,10000000,0.09042391,11.44,left,0
59.541,1.595187e-03,3.871e-06,1.780892e-03,2.250235e-03,176412.1,183277,6864.9,196949,10000000,0.09042391,12.48,left,0
80.000,1.690496e-03,3.933e-06,1.596709e-03,2.274849e-03,186952.3,189183,2230.7,176580,10000000,0.09042391,14.47,left_thin,0
100.000,1.721768e-03,3.958e-06,1.811573e-03,2.265399e-03,190410.7,191628,1217.3,200342,10000000,0.09042391,16.17,left_thin,0
122.061,1.717839e-03,3.949e-06,1.683079e-03,2.230080e-03,189976.2,190724,747.8,186132,10000000,0.09042391,17.87,left,0
150.000,1.669671e-03,3.890e-06,1.517130e-03,2.171051e-03,184649.3,185089,439.7,167780,10000000,0.09042391,19.81,left,0
200.000,1.530759e-03,3.723e-06,1.424669e-03,2.062416e-03,169287.0,169517,230.0,157554,10000000,0.09042391,22.87,left,0
250.000,1.359780e-03,3.508e-06,1.272422e-03,1.948690e-03,150378.3,150505,126.7,140717,10000000,0.09042391,25.57,left,0
300.000,1.170712e-03,3.255e-06,1.104539e-03,1.842333e-03,129469.3,129567,97.7,122151,10000000,0.09042391,28.01,left,0
400.000,8.621890e-04,2.793e-06,8.240311e-04,1.670066e-03,95349.7,95397,47.3,91130,10000000,0.09042391,32.34,left,0
500.000,6.581444e-04,2.440e-06,6.351860e-04,1.548528e-03,72784.3,72801,16.7,70245,10000000,0.09042391,36.16,left,0
600.000,5.218575e-04,2.172e-06,5.063066e-04,1.455798e-03,57712.3,57723,10.7,55993,10000000,0.09042391,39.61,left,0
661.657,4.611040e-04,2.042e-06,4.457227e-04,1.425470e-03,50993.6,51017,23.4,49293,10000000,0.09042391,41.60,left,0
800.000,3.584976e-04,1.801e-06,3.477656e-04,1.333934e-03,39646.3,39652,5.7,38459,10000000,0.09042391,45.74,left,0
1000.000,2.741141e-04,1.574e-06,2.651661e-04,1.246403e-03,30314.3,30318,3.7,29325,10000000,0.09042391,51.14,left,0
1173.230,2.225280e-04,1.419e-06,2.122832e-04,1.191082e-03,24609.4,24613,3.6,23476,10000000,0.09042391,55.39,left,0
1332.490,1.903658e-04,1.312e-06,1.801588e-04,1.135706e-03,21052.6,21064,11.4,19924,10000000,0.09042391,59.03,left,0
1500.000,1.643364e-04,1.219e-06,1.527490e-04,1.114203e-03,18174.0,18175,1.0,16893,10000000,0.09042391,62.64,left,0
1800.000,1.297945e-04,1.083e-06,1.161002e-04,1.068422e-03,14354.0,14354,0.0,12840,10000000,0.09042391,68.61,left,0
2100.000,1.043492e-04,9.714e-07,8.849581e-05,1.040128e-03,11540.0,11540,0.0,9787,10000000,0.09042391,74.11,left,0
2400.000,8.884451e-05,8.964e-07,7.101218e-05,1.019168e-03,9825.3,9827,1.7,7853,10000000,0.09042391,79.23,left,0
2614.510,7.582949e-05,8.281e-07,5.553944e-05,1.008986e-03,8386.0,8386,0.0,6142,10000000,0.09042391,82.69,left,0
2800.000,6.884877e-05,7.890e-07,4.772653e-05,1.003362e-03,7614.0,7614,0.0,5278,10000000,0.09042391,85.58,left,0
3000.000,6.103614e-05,7.430e-07,3.750332e-05,1.000043e-03,6750.0,6751,1.0,4148,10000000,0.09042391,88.58,left,0
