#@ stamp.version = 1
#@ src.script = detectors/AtomSpectra-Nano-16-PRO/analysis/export_curve.py
#@ src.spectra_sha1 = faa3945cd877
#@ src.inputs_n = 29
#@ src.inputs_verdict = stamped
#@ obs.quantity = абсолютная эффективность по пику полного поглощения, отнесённая к 4pi
#@ obs.area = строгая: окно в три канала вокруг floor(E0)+0,5 минус континуум по наблюдаемому каналу
#@ obs.window = 3 канала по 1 кэВ; вычет шириной 1+дробная часть E0
#@ obs.shelf = не применимо — полок нет, оконная величина снята с публикации
#@ obs.blurred = нет — спектры не размывались
#@ obs.reference_plane = наружная поверхность торцевой крышки корпуса
# AtomSpectra Nano 16 PRO, точечный источник на оси кристалла
# постановка взята из шапок спектров, а не вписана здесь:
#   run_args = curve_point_end10cm_nowin.mac
#   solid_angle_frac = 0.09042391
#   front_face_z_mm = 32.600  (наружная поверхность крышки), work_face_y_mm = 10.100  (наружная поверхность стенки)
# наблюдаемая: абсолютная эффективность по ППП на 4pi
# src_sha1 = faa3945cd877
# fwhm_662_keV = 41.60  (собственная запись Cs-137)
# escapes_keV = 28.60, 30.97
# подложка под линией: содержимое НАБЛЮДАЕМОГО канала (kc-1
#   при дробной E0, kc-2 при целой) на ширину 1+дробная часть
#   E0. Экстраполяции нет: прежняя линейная завышала вычет на
#   20-170 %% там, где истина наблюдаема (аудит 06.08.2026)
# d_eps_peak = дисперсия РАЗНОСТИ (окно минус подложка):
#   при дробной E0 вычитаемый канал kc-1 входит в окно, части
#   зависимы, Var = N(kc)+N(kc+1)+frac^2*N(kc-1); при целой E0
#   вычитается kc-2 вне окна, Var = сырое окно + N(kc-2)
# eps_peak — строгая (канал полного поглощения), ЕДИНСТВЕННАЯ
#   публикуемая величина по пику
# ОКОННАЯ величина eps_peak_win СНЯТА С ПУБЛИКАЦИИ: её левая
#   полка на жёстких узлах садится на размытый комптоновский
#   край, смещение относительно строгой доходит до десятков
#   процентов и меняет знак по диапазону. До замены конвенции
#   на общий модуль сравнивать с измеренными кривыми нечем
E_keV,eps_peak,d_eps_peak,eps_total,fep_counts,fep_raw_counts,fep_bg_counts,N_primaries,solid_angle_frac,fwhm_keV
20.000,4.124596e-04,1.948e-06,4.224515e-04,45614.0,46005,391.0,10000000,0.09042391,7.23
25.000,8.882069e-04,2.895e-06,9.399113e-04,98227.0,100356,2129.0,10000000,0.09042391,8.09
30.000,1.217486e-03,3.419e-06,1.339558e-03,134642.0,138796,4154.0,10000000,0.09042391,8.86
35.000,1.216328e-03,3.442e-06,1.639711e-03,134514.0,139685,5171.0,10000000,0.09042391,9.57
40.000,1.228174e-03,3.459e-06,1.829791e-03,135824.0,141065,5241.0,10000000,0.09042391,10.23
50.000,1.422070e-03,3.697e-06,2.067932e-03,157267.0,162224,4957.0,10000000,0.09042391,11.44
59.541,1.523513e-03,3.746e-06,2.156131e-03,168485.6,174269,5783.4,10000000,0.09042391,12.48
80.000,1.635443e-03,3.897e-06,2.229347e-03,180864.0,183289,2425.0,10000000,0.09042391,14.47
100.000,1.685872e-03,3.936e-06,2.238326e-03,186441.0,187960,1519.0,10000000,0.09042391,16.17
122.061,1.681182e-03,3.899e-06,2.210783e-03,185922.3,186648,725.7,10000000,0.09042391,17.87
150.000,1.643482e-03,3.868e-06,2.165788e-03,181753.0,182366,613.0,10000000,0.09042391,19.81
200.000,1.516102e-03,3.709e-06,2.059929e-03,167666.0,167948,282.0,10000000,0.09042391,22.87
250.000,1.357046e-03,3.507e-06,1.965879e-03,150076.0,150243,167.0,10000000,0.09042391,25.57
300.000,1.163195e-03,3.245e-06,1.851493e-03,128638.0,128726,88.0,10000000,0.09042391,28.01
400.000,8.627074e-04,2.794e-06,1.685737e-03,95407.0,95439,32.0,10000000,0.09042391,32.34
500.000,6.626083e-04,2.449e-06,1.566495e-03,73278.0,73300,22.0,10000000,0.09042391,36.16
600.000,5.240337e-04,2.177e-06,1.477337e-03,57953.0,57961,8.0,10000000,0.09042391,39.61
661.657,4.625095e-04,2.045e-06,1.439820e-03,51149.0,51154,5.0,10000000,0.09042391,41.60
800.000,3.623196e-04,1.810e-06,1.350635e-03,40069.0,40074,5.0,10000000,0.09042391,45.74
1000.000,2.720494e-04,1.569e-06,1.257272e-03,30086.0,30092,6.0,10000000,0.09042391,51.14
1173.230,2.279114e-04,1.436e-06,1.205920e-03,25204.8,25206,1.2,10000000,0.09042391,55.39
1332.490,1.933128e-04,1.322e-06,1.168530e-03,21378.5,21380,1.5,10000000,0.09042391,59.03
1500.000,1.690837e-04,1.237e-06,1.138039e-03,18699.0,18700,1.0,10000000,0.09042391,62.64
1800.000,1.318109e-04,1.092e-06,1.090214e-03,14577.0,14578,1.0,10000000,0.09042391,68.61
2100.000,1.081560e-04,9.893e-07,1.069932e-03,11961.0,11965,4.0,10000000,0.09042391,74.11
2400.000,9.027019e-05,9.037e-07,1.049523e-03,9983.0,9985,2.0,10000000,0.09042391,79.23
2614.510,8.064890e-05,8.540e-07,1.041430e-03,8919.0,8922,3.0,10000000,0.09042391,82.69
2800.000,7.115457e-05,8.021e-07,1.033581e-03,7869.0,7869,0.0,10000000,0.09042391,85.58
3000.000,6.496054e-05,7.665e-07,1.025606e-03,7184.0,7185,1.0,10000000,0.09042391,88.58
