# AtomSpectra Nano 16 PRO, точечный источник на оси кристалла, 10 см от наружной поверхности передней крышки (торец 18x15)
# наблюдаемая: абсолютная эффективность по ППП на 4pi
# src_sha1 = a2b3a5d164c9
# fwhm_662_keV = 41.60  (собственная запись Cs-137)
# escapes_keV = 28.60, 30.97
# eps_peak — строгая (канал полного поглощения), основная
# eps_peak_win — оконная, конвенция измеренного спектра; при shelf=right завышена
E_keV,eps_peak,d_eps_peak,eps_peak_win,eps_total,fep_counts,area_counts,N_primaries,solid_angle_frac,fwhm_keV,shelf
40.000,4.792654e-03,8.378e-06,4.860332e-03,6.431654e-03,327263,331884,10000000,0.14644655,10.23,both
50.000,5.444297e-03,8.929e-06,5.499212e-03,7.002561e-03,371760,375510,10000000,0.14644655,11.44,both
59.541,5.805185e-03,9.220e-06,5.852192e-03,7.187831e-03,396403,399613,10000000,0.14644655,12.48,both
80.000,6.227347e-03,9.550e-06,6.004646e-03,7.394540e-03,425230,410023,10000000,0.14644655,14.47,both
100.000,6.358226e-03,9.650e-06,6.021728e-03,7.388785e-03,434167,411189,10000000,0.14644655,16.17,both
122.061,6.374774e-03,9.662e-06,6.402776e-03,7.327600e-03,435297,437209,10000000,0.14644655,17.87,right
150.000,6.198628e-03,9.528e-06,6.193482e-03,7.130937e-03,423269,422918,10000000,0.14644655,19.81,right
200.000,5.354921e-03,8.856e-06,5.298409e-03,6.426177e-03,365657,361798,10000000,0.14644655,22.87,right
250.000,4.234238e-03,7.875e-06,4.115818e-03,5.531491e-03,289132,281046,10000000,0.14644655,25.57,both
300.000,3.293100e-03,6.945e-06,3.190512e-03,4.792991e-03,224867,217862,10000000,0.14644655,28.01,both
400.000,2.095943e-03,5.540e-06,2.029281e-03,3.854371e-03,143120,138568,10000000,0.14644655,32.34,both
500.000,1.470367e-03,4.640e-06,1.425830e-03,3.336580e-03,100403,97362,10000000,0.14644655,36.16,both
600.000,1.096299e-03,4.007e-06,1.065886e-03,2.989340e-03,74860,72783,10000000,0.14644655,39.61,both
661.657,9.459422e-04,3.722e-06,9.180923e-04,2.843831e-03,64593,62691,10000000,0.14644655,41.60,both
800.000,7.050083e-04,3.213e-06,6.834261e-04,2.576361e-03,48141,46667,10000000,0.14644655,45.74,both
1000.000,5.190652e-04,2.757e-06,5.009691e-04,2.315188e-03,35444,34208,10000000,0.14644655,51.14,both
1173.230,4.126717e-04,2.458e-06,3.975921e-04,2.164216e-03,28179,27149,10000000,0.14644655,55.39,both
1332.490,3.453356e-04,2.249e-06,3.314637e-04,2.047879e-03,23581,22634,10000000,0.14644655,59.03,both
1500.000,2.921462e-04,2.068e-06,2.797756e-04,1.954197e-03,19949,19104,10000000,0.14644655,62.64,both
1800.000,2.265821e-04,1.822e-06,2.153816e-04,1.853296e-03,15472,14707,10000000,0.14644655,68.61,both
2100.000,1.826481e-04,1.635e-06,1.718014e-04,1.787380e-03,12472,11731,10000000,0.14644655,74.11,both
2400.000,1.504299e-04,1.484e-06,1.399094e-04,1.736710e-03,10272,9554,10000000,0.14644655,79.23,both
2614.510,1.336618e-04,1.399e-06,1.227476e-04,1.716046e-03,9127,8382,10000000,0.14644655,82.69,both
2800.000,1.197640e-04,1.324e-06,1.092641e-04,1.692966e-03,8178,7461,10000000,0.14644655,85.58,both
3000.000,1.055440e-04,1.243e-06,9.505950e-05,1.671307e-03,7207,6491,10000000,0.14644655,88.58,both
