#@ stamp.version = 1
#@ src.script = detectors/AtomSpectra-Nano-16-PRO/analysis/export_curve.py
#@ src.spectra_sha1 = 7488eb3ae27b
#@ src.inputs_n = 61
#@ src.inputs_verdict = stamped
#@ obs.quantity = абсолютная эффективность по пику полного поглощения, отнесённая к 4pi
#@ obs.area = строгая: окно в три канала вокруг floor(E0)+0,5 минус континуум по наблюдаемому каналу
#@ obs.window = 3 канала по 1 кэВ; вычет шириной 1+дробная часть E0
#@ obs.shelf = не применимо — полок нет, оконная величина снята с публикации
#@ obs.blurred = нет — спектры не размывались
#@ obs.reference_plane = наружная поверхность торцевой крышки корпуса
# AtomSpectra Nano 16 PRO, точечный источник на оси кристалла
# постановка взята из шапок спектров, а не вписана здесь:
#   run_args = curve_step50_200k.mac
#   solid_angle_frac = 0.09042391
#   front_face_z_mm = 32.600  (наружная поверхность крышки), work_face_y_mm = 10.100  (наружная поверхность стенки)
# наблюдаемая: абсолютная эффективность по ППП на 4pi
# src_sha1 = 7488eb3ae27b
# fwhm_662_keV = 41.60  (собственная запись Cs-137)
# escapes_keV = 28.60, 30.97
# подложка под линией: содержимое НАБЛЮДАЕМОГО канала (kc-1
#   при дробной E0, kc-2 при целой) на ширину 1+дробная часть
#   E0. Экстраполяции нет: прежняя линейная завышала вычет на
#   20-170 %% там, где истина наблюдаема (аудит 06.08.2026)
# d_eps_peak = дисперсия РАЗНОСТИ (окно минус подложка):
#   при дробной E0 вычитаемый канал kc-1 входит в окно, части
#   зависимы, Var = N(kc)+N(kc+1)+frac^2*N(kc-1); при целой E0
#   вычитается kc-2 вне окна, Var = сырое окно + N(kc-2)
# eps_peak — строгая (канал полного поглощения), ЕДИНСТВЕННАЯ
#   публикуемая величина по пику
# ОКОННАЯ величина eps_peak_win СНЯТА С ПУБЛИКАЦИИ: её левая
#   полка на жёстких узлах садится на размытый комптоновский
#   край, смещение относительно строгой доходит до десятков
#   процентов и меняет знак по диапазону. До замены конвенции
#   на общий модуль сравнивать с измеренными кривыми нечем
E_keV,eps_peak,d_eps_peak,eps_total,fep_counts,fep_raw_counts,fep_bg_counts,N_primaries,solid_angle_frac,fwhm_keV
30.000,1.568855e-03,2.731e-05,1.700422e-03,3470.0,3560,90.0,200000,0.09042391,8.86
80.000,1.739756e-03,2.839e-05,2.345144e-03,3848.0,3896,48.0,200000,0.09042391,14.47
130.000,1.716698e-03,2.798e-05,2.239348e-03,3797.0,3813,16.0,200000,0.09042391,18.44
180.000,1.643455e-03,2.729e-05,2.159775e-03,3635.0,3639,4.0,200000,0.09042391,21.70
230.000,1.457181e-03,2.570e-05,2.047197e-03,3223.0,3227,4.0,200000,0.09042391,24.53
280.000,1.266839e-03,2.393e-05,1.919247e-03,2802.0,2802,0.0,200000,0.09042391,27.06
330.000,1.057960e-03,2.189e-05,1.789037e-03,2340.0,2342,2.0,200000,0.09042391,29.38
380.000,9.417650e-04,2.063e-05,1.768692e-03,2083.0,2083,0.0,200000,0.09042391,31.53
430.000,8.215012e-04,1.928e-05,1.690927e-03,1817.0,1818,1.0,200000,0.09042391,33.54
480.000,6.894823e-04,1.767e-05,1.586035e-03,1525.0,1526,1.0,200000,0.09042391,35.43
530.000,6.225686e-04,1.679e-05,1.558456e-03,1377.0,1378,1.0,200000,0.09042391,37.23
580.000,5.891118e-04,1.632e-05,1.556195e-03,1303.0,1303,0.0,200000,0.09042391,38.95
630.000,4.729170e-04,1.462e-05,1.457181e-03,1046.0,1046,0.0,200000,0.09042391,40.59
680.000,4.674916e-04,1.455e-05,1.454016e-03,1034.0,1035,1.0,200000,0.09042391,42.17
730.000,3.910834e-04,1.331e-05,1.393885e-03,865.0,866,1.0,200000,0.09042391,43.70
780.000,3.892749e-04,1.327e-05,1.357263e-03,861.0,861,0.0,200000,0.09042391,45.17
830.000,3.418024e-04,1.243e-05,1.322902e-03,756.0,756,0.0,200000,0.09042391,46.59
880.000,3.173879e-04,1.198e-05,1.288993e-03,702.0,702,0.0,200000,0.09042391,47.98
930.000,3.042765e-04,1.173e-05,1.343247e-03,673.0,673,0.0,200000,0.09042391,49.32
980.000,3.002074e-04,1.165e-05,1.304817e-03,664.0,664,0.0,200000,0.09042391,50.63
1030.000,2.631336e-04,1.091e-05,1.205803e-03,582.0,582,0.0,200000,0.09042391,51.90
