#@ stamp.version = 1
#@ src.script = detectors/AtomSpectra-Nano-16-PRO/analysis/make_manifest.py
#@ src.spectra_sha1 = faa3945cd877
#@ src.inputs_n = 29
#@ src.inputs_verdict = stamped
#@ obs.quantity = отпечатки расчётных спектров сетки; величина НЕ числовая
#@ obs.area = не применимо — площади здесь не снимаются
#@ obs.window = не применимо
#@ obs.shelf = не применимо
#@ obs.blurred = нет — спектры не размывались
#@ run.macro = curve_point_end10cm.mac
file,sha1_12,E_prim_keV,N_primaries,N_with_signal,solid_angle_frac
end10cm_E0020.0.csv,86f1f1b9d013,20.0000,10000000,101879,0.09042391
end10cm_E0025.0.csv,699e0aeb5a29,25.0000,10000000,155144,0.09042391
end10cm_E0030.0.csv,ffa76fe1ee16,30.0000,10000000,187539,0.09042391
end10cm_E0035.0.csv,3381daf4c84f,35.0000,10000000,210171,0.09042391
end10cm_E0040.0.csv,c650dd3d7d19,40.0000,10000000,224112,0.09042391
end10cm_E0050.0.csv,f5b93413e80d,50.0000,10000000,241536,0.09042391
end10cm_E0059.5.csv,3a44085dd3c7,59.5410,10000000,248160,0.09042391
end10cm_E0080.0.csv,402504b78cc9,80.0000,10000000,252358,0.09042391
end10cm_E0100.0.csv,87c80b000f36,100.0000,10000000,252647,0.09042391
end10cm_E0122.1.csv,77f91925a1cb,122.0610,10000000,249347,0.09042391
end10cm_E0150.0.csv,dd190576cece,150.0000,10000000,242994,0.09042391
end10cm_E0200.0.csv,786bae4130e4,200.0000,10000000,230965,0.09042391
end10cm_E0250.0.csv,8fdd75d2a669,250.0000,10000000,219739,0.09042391
end10cm_E0300.0.csv,cd693ac3fc23,300.0000,10000000,207795,0.09042391
end10cm_E0400.0.csv,a5aaf8f01031,400.0000,10000000,187787,0.09042391
end10cm_E0500.0.csv,748b5d424d3e,500.0000,10000000,175013,0.09042391
end10cm_E0600.0.csv,b28290cf7755,600.0000,10000000,164717,0.09042391
end10cm_E0661.7.csv,191c527633a6,661.6570,10000000,160386,0.09042391
end10cm_E0800.0.csv,98227bdd90a5,800.0000,10000000,150259,0.09042391
end10cm_E1000.0.csv,a0eade602787,1000.0000,10000000,140937,0.09042391
end10cm_E1173.2.csv,dcd1624478f7,1173.2300,10000000,134595,0.09042391
end10cm_E1332.5.csv,df16ac88e49a,1332.4900,10000000,130058,0.09042391
end10cm_E1500.0.csv,7a38c8fdb84a,1500.0000,10000000,126913,0.09042391
end10cm_E1800.0.csv,c96ff7467fe2,1800.0000,10000000,120673,0.09042391
end10cm_E2100.0.csv,fd8a097e10d8,2100.0000,10000000,118182,0.09042391
end10cm_E2400.0.csv,ece42b55bb24,2400.0000,10000000,116590,0.09042391
end10cm_E2614.5.csv,e211701ec5d1,2614.5100,10000000,114994,0.09042391
end10cm_E2800.0.csv,5dbf3cb12850,2800.0000,10000000,114329,0.09042391
end10cm_E3000.0.csv,4a38812906c8,3000.0000,10000000,113651,0.09042391
