#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/attestation_pileup.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = скорость счёта поверочной записи и оценка доли пика; потерянной на наложения; как 2*тау*R
#@ obs.area = не применимо — площади не снимаются; берутся полный счёт и живое время из шапки записи
#@ obs.window = не применимо — величина относится к записи целиком; не к линии
#@ obs.shelf = не применимо
#@ obs.blurred = не применимо — измеренные записи как есть
# Скорости счёта записей поверки 2024 (точечные геометрии) и оценка потерь пика на наложения 2*тау*R (тау=3 мкс).
# Живое время компенсирует мёртвое время, но НЕ потери пика в сумм-континуум: если аттестация не вводила поправку,
# аттестованная eps занижена на pileup_loss_pct, сильнее всего на 5 см. tau_dead_us = dead/(R) - контроль постоянной тракта.
geometry,nuclide,cps,tlive_s,dead_pct,pileup_loss_pct,tau_dead_us
p5cm,Am-241,1888.8,1811.5,0.381,1.133,2.02
p5cm,Ba-133,1444.6,6050.0,0.332,0.867,2.30
p5cm,Bi-207,8336.9,1800.2,2.023,5.002,2.43
p5cm,Cd-109,41.4,1800.0,0.043,0.025,10.28
p5cm,Co-60,2961.2,1800.0,0.864,1.777,2.92
p5cm,Cs-137,3011.8,1800.0,0.810,1.807,2.69
p5cm,Eu-152,10616.2,4168.4,2.479,6.370,2.34
p5cm,Na-22,15608.1,1799.6,4.154,9.365,2.66
p5cm,Th-228,7487.4,4905.0,1.845,4.492,2.46
p5cm,Y-88,1809.0,2217.8,0.544,1.085,3.01
p5cm,Zn-65,22.3,2072.0,0.041,0.013,18.44
p25cm,Cs-137,322.3,3434.8,0.118,0.193,3.66
p25cm,Na-22,1549.7,3187.2,0.444,0.930,2.86
p25cm,Th-228,250.0,7634.4,0.096,0.150,3.86
p25cm,Y-88,218.3,2905.1,0.096,0.131,4.41
