#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/bridge_mono.py
#@ src.git = db0bd21-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 9
#@ src.inputs_sha1 = bd17f9bea1e4
#@ src.inputs_digest = 16934699a1ae
#@ obs.quantity = B(E) — отношение площади гаусс-фита по РАЗМЫТОМУ спектру к истинному полнопоглощённому пику того же депозит-спектра
#@ obs.area = числитель — площадь гауссианы фита (ступенька и подложка в площадь не входят); знаменатель — сумма отсчётов в окне +-3.0 кэВ депозит-спектра
#@ obs.window = фит в зоне +-2.5 ПШПВ (границы пика прибора из lsrm.cnf); истинный пик в окне +-3.0 кэВ
#@ obs.shelf = в числителе подложка — полином степени 2 (BackgrPower прибора) плюс ступенька-из-образа; всё подгоняется; в знаменателе подложка не вычитается
#@ obs.blurred = числитель ДА (приборная ПШПВ по шести измеренным линиям); знаменатель НЕТ
#@ obs.geometry = точечный источник на оси z = 91 мм (5 см от наружной поверхности корпуса); полный 4pi без конуса
# Чувствительность B к выборам моста: зона фита (2;5 — прибор; 3;2 — прежняя реализация); степень подложки; закон ширины.
# Введено по внутреннему аудиту 31.07.2026 (P0-1): при зоне 3;2 комптоновский край 2614;5 (2381;8 кэВ) лежит внутри зоны.
E_keV,fit_zone_fwhm,bg_degree,fwhm_law,bridge,fit_width_rel
661.657,2.5,2,fwhm_measured,0.9991,0.999
661.657,2.5,1,fwhm_measured,0.9951,0.995
661.657,3.2,2,fwhm_measured,0.9999,0.999
661.657,3.2,1,fwhm_measured,0.9956,0.993
661.657,2.5,2,fwhm_sqrt662,0.9992,0.999
2614.510,2.5,2,fwhm_measured,0.9612,0.969
2614.510,2.5,1,fwhm_measured,0.8859,0.902
2614.510,3.2,2,fwhm_measured,0.9268,0.941
2614.510,3.2,1,fwhm_measured,0.8413,0.874
2614.510,2.5,2,fwhm_sqrt662,0.9790,0.982
