# GAMMA-1S, UDS-GC-63x63-USB, NaI(Tl) 63x63 mm
# src_sha1 = bd17f9bea1e4
# git_describe = 3ea83bd-dirty
# build = Jul 30 2026 16:37:51
# mode = shield
# run_args = bridge_mono_v4.mac shield; G1S_CORRELATED_GAMMA=unset
# solid_angle_frac = 1.00000000
# particle = gamma
# E_prim_keV = 727.3300
# N_primaries = 1600000
# N_with_signal = 52546
# resolving_time_ns = 1000
# bin_keV = 1.000  (последний канал = переполнение)
E_keV,counts
0.5,31
1.5,48
2.5,46
3.5,55
4.5,43
5.5,45
6.5,42
7.5,51
8.5,45
9.5,55
10.5,48
11.5,43
12.5,44
13.5,27
14.5,55
15.5,56
16.5,43
17.5,51
18.5,31
19.5,37
20.5,56
21.5,45
22.5,52
23.5,53
24.5,37
25.5,41
26.5,47
27.5,49
28.5,54
29.5,44
30.5,57
31.5,40
32.5,54
33.5,50
34.5,53
35.5,49
36.5,51
37.5,41
38.5,48
39.5,47
40.5,50
41.5,50
42.5,46
43.5,53
44.5,46
45.5,50
46.5,47
47.5,42
48.5,41
49.5,52
50.5,49
51.5,49
52.5,48
53.5,63
54.5,61
55.5,54
56.5,37
57.5,32
58.5,32
59.5,46
60.5,35
61.5,48
62.5,46
63.5,44
64.5,37
65.5,45
66.5,52
67.5,42
68.5,41
69.5,45
70.5,54
71.5,52
72.5,51
73.5,57
74.5,42
75.5,71
76.5,44
77.5,53
78.5,48
79.5,54
80.5,45
81.5,52
82.5,49
83.5,64
84.5,48
85.5,63
86.5,47
87.5,62
88.5,42
89.5,35
90.5,49
91.5,57
92.5,73
93.5,51
94.5,45
95.5,53
96.5,38
97.5,53
98.5,58
99.5,48
100.5,59
101.5,53
102.5,59
103.5,55
104.5,49
105.5,51
106.5,54
107.5,55
108.5,47
109.5,47
110.5,41
111.5,64
112.5,54
113.5,53
114.5,48
115.5,61
116.5,64
117.5,48
118.5,60
119.5,58
120.5,53
121.5,59
122.5,49
123.5,48
124.5,45
125.5,55
126.5,54
127.5,53
128.5,65
129.5,62
130.5,65
131.5,45
132.5,53
133.5,52
134.5,69
135.5,45
136.5,55
137.5,61
138.5,53
139.5,65
140.5,65
141.5,56
142.5,72
143.5,55
144.5,62
145.5,55
146.5,52
147.5,61
148.5,49
149.5,61
150.5,47
151.5,60
152.5,60
153.5,65
154.5,55
155.5,54
156.5,54
157.5,62
158.5,53
159.5,56
160.5,47
161.5,45
162.5,63
163.5,45
164.5,59
165.5,59
166.5,50
167.5,53
168.5,70
169.5,69
170.5,59
171.5,60
172.5,71
173.5,73
174.5,46
175.5,75
176.5,57
177.5,53
178.5,59
179.5,59
180.5,78
181.5,78
182.5,74
183.5,64
184.5,79
185.5,79
186.5,93
187.5,68
188.5,82
189.5,94
190.5,102
191.5,96
192.5,118
193.5,104
194.5,114
195.5,111
196.5,125
197.5,112
198.5,133
199.5,121
200.5,116
201.5,128
202.5,123
203.5,134
204.5,88
205.5,105
206.5,104
207.5,119
208.5,119
209.5,97
210.5,118
211.5,98
212.5,100
213.5,107
214.5,84
215.5,109
216.5,98
217.5,93
218.5,83
219.5,108
220.5,88
221.5,89
222.5,81
223.5,93
224.5,89
225.5,81
226.5,77
227.5,92
228.5,73
229.5,72
230.5,53
231.5,70
232.5,62
233.5,64
234.5,73
235.5,59
236.5,81
237.5,72
238.5,67
239.5,69
240.5,70
241.5,63
242.5,76
243.5,49
244.5,60
245.5,71
246.5,48
247.5,53
248.5,68
249.5,70
250.5,44
251.5,57
252.5,66
253.5,51
254.5,56
255.5,51
256.5,57
257.5,49
258.5,66
259.5,63
260.5,58
261.5,63
262.5,42
263.5,50
264.5,54
265.5,62
266.5,63
267.5,39
268.5,55
269.5,46
270.5,65
271.5,59
272.5,45
273.5,52
274.5,49
275.5,46
276.5,65
277.5,54
278.5,53
279.5,59
280.5,61
281.5,47
282.5,50
283.5,53
284.5,54
285.5,56
286.5,65
287.5,53
288.5,50
289.5,33
290.5,46
291.5,47
292.5,38
293.5,45
294.5,40
295.5,49
296.5,45
297.5,49
298.5,48
299.5,56
300.5,47
301.5,38
302.5,48
303.5,56
304.5,50
305.5,52
306.5,47
307.5,43
308.5,49
309.5,46
310.5,46
311.5,45
312.5,42
313.5,60
314.5,45
315.5,44
316.5,50
317.5,56
318.5,47
319.5,61
320.5,47
321.5,38
322.5,51
323.5,54
324.5,53
325.5,50
326.5,66
327.5,42
328.5,42
329.5,42
330.5,57
331.5,41
332.5,48
333.5,47
334.5,40
335.5,59
336.5,62
337.5,35
338.5,60
339.5,36
340.5,40
341.5,53
342.5,39
343.5,41
344.5,45
345.5,49
346.5,54
347.5,47
348.5,52
349.5,48
350.5,48
351.5,39
352.5,56
353.5,51
354.5,42
355.5,58
356.5,40
357.5,57
358.5,63
359.5,55
360.5,42
361.5,44
362.5,64
363.5,56
364.5,47
365.5,52
366.5,49
367.5,56
368.5,42
369.5,54
370.5,51
371.5,54
372.5,53
373.5,49
374.5,59
375.5,33
376.5,42
377.5,55
378.5,56
379.5,42
380.5,60
381.5,44
382.5,38
383.5,50
384.5,39
385.5,39
386.5,47
387.5,55
388.5,43
389.5,45
390.5,37
391.5,34
392.5,48
393.5,46
394.5,46
395.5,48
396.5,50
397.5,46
398.5,42
399.5,51
400.5,44
401.5,47
402.5,53
403.5,50
404.5,50
405.5,52
406.5,40
407.5,44
408.5,40
409.5,49
410.5,44
411.5,41
412.5,49
413.5,46
414.5,59
415.5,53
416.5,43
417.5,46
418.5,43
419.5,38
420.5,41
421.5,54
422.5,46
423.5,41
424.5,47
425.5,50
426.5,51
427.5,50
428.5,44
429.5,59
430.5,49
431.5,52
432.5,41
433.5,43
434.5,46
435.5,47
436.5,47
437.5,51
438.5,54
439.5,57
440.5,56
441.5,40
442.5,43
443.5,48
444.5,47
445.5,42
446.5,51
447.5,40
448.5,39
449.5,42
450.5,48
451.5,48
452.5,49
453.5,54
454.5,51
455.5,52
456.5,51
457.5,32
458.5,56
459.5,45
460.5,55
461.5,51
462.5,61
463.5,51
464.5,45
465.5,55
466.5,56
467.5,44
468.5,42
469.5,41
470.5,38
471.5,37
472.5,52
473.5,53
474.5,55
475.5,54
476.5,45
477.5,59
478.5,51
479.5,47
480.5,56
481.5,50
482.5,56
483.5,40
484.5,48
485.5,54
486.5,47
487.5,53
488.5,46
489.5,49
490.5,63
491.5,51
492.5,56
493.5,46
494.5,56
495.5,56
496.5,46
497.5,46
498.5,47
499.5,66
500.5,54
501.5,43
502.5,40
503.5,62
504.5,47
505.5,71
506.5,56
507.5,54
508.5,69
509.5,54
510.5,42
511.5,68
512.5,50
513.5,62
514.5,70
515.5,67
516.5,53
517.5,48
518.5,60
519.5,68
520.5,54
521.5,57
522.5,52
523.5,65
524.5,62
525.5,61
526.5,47
527.5,67
528.5,53
529.5,59
530.5,55
531.5,65
532.5,49
533.5,58
534.5,50
535.5,49
536.5,45
537.5,37
538.5,31
539.5,32
540.5,23
541.5,28
542.5,21
543.5,24
544.5,21
545.5,27
546.5,23
547.5,35
548.5,25
549.5,37
550.5,17
551.5,22
552.5,17
553.5,31
554.5,15
555.5,12
556.5,21
557.5,14
558.5,16
559.5,12
560.5,10
561.5,17
562.5,23
563.5,10
564.5,13
565.5,20
566.5,15
567.5,20
568.5,18
569.5,16
570.5,19
571.5,17
572.5,16
573.5,11
574.5,13
575.5,15
576.5,12
577.5,7
578.5,15
579.5,20
580.5,12
581.5,8
582.5,13
583.5,11
584.5,15
585.5,10
586.5,5
587.5,6
588.5,7
589.5,12
590.5,12
591.5,12
592.5,12
593.5,11
594.5,6
595.5,14
596.5,5
597.5,11
598.5,13
599.5,8
600.5,6
601.5,7
602.5,6
603.5,11
604.5,16
605.5,6
606.5,6
607.5,8
608.5,6
609.5,5
610.5,10
611.5,8
612.5,10
613.5,12
614.5,5
615.5,10
616.5,10
617.5,7
618.5,5
619.5,6
620.5,8
621.5,10
622.5,6
623.5,17
624.5,5
625.5,6
626.5,7
627.5,6
628.5,6
629.5,6
630.5,3
631.5,5
632.5,9
633.5,6
634.5,8
