#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/continuum.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = активность по УЧАСТКУ континуума вне пиков; отнесённая к активности по опорной линии
#@ obs.area = сумма отсчётов участка; подложка НЕ вычитается — участок и есть подложка
#@ obs.window = участки шириной E_STEP вне пиков; границы в столбцах E_lo_keV и E_hi_keV
#@ obs.shelf = не применимо — снимается сам континуум; а не пик над ним
#@ obs.blurred = измерение как есть; модель размыта приборной ПШПВ
# континуум вне пиков: активность по участку против опоры
geometry,E_lo_keV,E_hi_keV,A_Bq,ratio_to_anchor,d_ratio
Marinelli_1L,108,132,2681.11,1.0754,0.0016
Marinelli_1L,148,172,2601.64,1.0436,0.0016
Marinelli_1L,388,412,2418.29,0.9700,0.0034
Marinelli_1L,628,652,2440.22,0.9788,0.0051
Marinelli_1L,1028,1052,2497.93,1.0020,0.0104
Marinelli_1L,1068,1092,2749.48,1.1029,0.0113
Marinelli_1L,1108,1132,2837.34,1.1381,0.0121
Marinelli_1L,1148,1172,2631.43,1.0555,0.0125
Marinelli_1L,1188,1212,2411.44,0.9673,0.0120
Marinelli_1L,1228,1252,2281.66,0.9152,0.0112
Marinelli_1L,1268,1292,2256.87,0.9053,0.0114
Marinelli_1L,1308,1332,2438.35,0.9781,0.0131
Marinelli_1L,1348,1372,2611.58,1.0475,0.0146
Marinelli_1L,1388,1412,2814.28,1.1288,0.0162
Marinelli_1L,1428,1452,3020.16,1.2114,0.0171
Marinelli_1L,1468,1492,3002.51,1.2044,0.0159
Marinelli_1L,1668,1692,2866.77,1.1499,0.0151
Marinelli_1L,1708,1732,2792.24,1.1200,0.0166
Marinelli_1L,1748,1772,2660.73,1.0673,0.0161
Marinelli_1L,1788,1812,2767.81,1.1102,0.0166
Marinelli_1L,1828,1852,2967.46,1.1903,0.0176
Marinelli_1L,1868,1892,3092.95,1.2406,0.0186
Marinelli_1L,1908,1932,3155.74,1.2658,0.0190
Marinelli_1L,1948,1972,3035.64,1.2176,0.0184
Marinelli_1L,1988,2012,2845.29,1.1413,0.0171
Marinelli_1L,2028,2052,2724.11,1.0927,0.0150
Marinelli_1L,2068,2092,2607.06,1.0457,0.0128
Marinelli_1L,2108,2132,3095.29,1.2416,0.0138
Marinelli_1L,2148,2172,3451.48,1.3844,0.0165
Marinelli_1L,2188,2212,3281.66,1.3163,0.0172
Marinelli_1L,2228,2252,2912.96,1.1684,0.0155
Marinelli_1L,2268,2292,2547.18,1.0217,0.0135
Marinelli_1L,2308,2332,2212.83,0.8876,0.0124
Marinelli_1L,2348,2372,2074.93,0.8323,0.0126
Marinelli_1L,2388,2412,2058.88,0.8258,0.0145
Marinelli_1L,2428,2452,2195.51,0.8807,0.0178
Marinelli_1L,2468,2492,2561.55,1.0275,0.0209
Denta_120mL,108,132,422.48,1.0395,0.0060
Denta_120mL,148,172,431.08,1.0606,0.0066
Denta_120mL,388,412,425.69,1.0473,0.0131
Denta_120mL,628,652,412.26,1.0143,0.0188
Denta_120mL,1028,1052,400.26,0.9848,0.0372
Denta_120mL,1068,1092,461.20,1.1347,0.0405
Denta_120mL,1108,1132,478.42,1.1771,0.0453
Denta_120mL,1148,1172,545.65,1.3425,0.0564
Denta_120mL,1188,1212,527.05,1.2967,0.0617
Denta_120mL,1228,1252,442.61,1.0890,0.0495
Denta_120mL,1268,1292,410.82,1.0108,0.0465
Denta_120mL,1308,1332,380.77,0.9368,0.0486
Denta_120mL,1348,1372,365.11,0.8983,0.0516
Denta_120mL,1388,1412,534.87,1.3160,0.0698
Denta_120mL,1428,1452,547.50,1.3470,0.0802
Denta_120mL,1468,1492,560.46,1.3789,0.0692
Denta_120mL,1668,1692,460.13,1.1321,0.0542
Denta_120mL,1708,1732,492.31,1.2113,0.0646
Denta_120mL,1748,1772,450.03,1.1072,0.0605
Denta_120mL,1788,1812,443.60,1.0914,0.0585
Denta_120mL,1828,1852,433.86,1.0674,0.0570
Denta_120mL,1868,1892,396.03,0.9744,0.0536
Denta_120mL,1908,1932,438.67,1.0793,0.0554
Denta_120mL,1948,1972,383.52,0.9436,0.0522
Denta_120mL,1988,2012,442.77,1.0894,0.0566
Denta_120mL,2028,2052,400.18,0.9846,0.0493
Denta_120mL,2068,2092,362.76,0.8925,0.0385
Denta_120mL,2108,2132,445.39,1.0958,0.0409
Denta_120mL,2148,2172,552.84,1.3602,0.0525
Denta_120mL,2188,2212,512.81,1.2617,0.0565
Denta_120mL,2228,2252,511.66,1.2589,0.0562
Denta_120mL,2268,2292,430.24,1.0585,0.0495
Denta_120mL,2308,2332,395.46,0.9730,0.0455
Denta_120mL,2348,2372,374.15,0.9205,0.0444
Denta_120mL,2388,2412,346.70,0.8530,0.0486
Denta_120mL,2428,2452,298.79,0.7351,0.0542
Denta_120mL,2468,2492,459.92,1.1316,0.0779
Petri_60mL,108,132,244.16,1.0402,0.0024
Petri_60mL,148,172,220.34,0.9388,0.0025
Petri_60mL,388,412,213.68,0.9104,0.0048
