#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/cuts_sensitivity.py
#@ src.git = 213bf57
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 16
#@ src.inputs_sha1 = bd17f9bea1e4
#@ src.inputs_digest = 07d328800fd3
#@ obs.quantity = отношение эффективности ППП при данном пороге рождения к эффективности при рабочем пороге 0.05 мм
#@ obs.area = чистая площадь пика за вычетом полки; одно правило на все пороги (common/py/peakwin.area)
#@ obs.window = +-6 кэВ в каналах; полка [E-25; E-10] — конвенция peakwin
#@ obs.shelf = односторонняя слева; вычитается одинаково на всех порогах
#@ obs.blurred = нет — депозит-спектры как есть
#@ obs.geometry = точечный источник z = 91 мм; полный 4pi; 400 тыс. первичных на точку — как в рабочих сетках
# Порог рождения вторичных задан командой /run/setCut в работающем exe — пересборки нет; отпечаток исходников не менялся.
# Отношение берётся к рабочему порогу 0;05 мм: геометрия и нормировка из сравнения уходят.
# Мягкие линии 59;5 / 88;0 / 122;1 — там эффект наиболее вероятен; 661;7 — контроль; где его быть не должно.
# Тест измеряет ЧУВСТВИТЕЛЬНОСТЬ к параметру; а не правильность его значения.
E_keV,cut_mm,eps,ratio_to_base,d_ratio
59.5,0.01,4.114800e-02,0.9912,0.0109
59.5,0.05,4.151150e-02,1.0000,0.0110
59.5,0.50,4.125750e-02,0.9939,0.0109
59.5,1.00,4.079500e-02,0.9827,0.0108
88.0,0.01,4.328000e-02,1.0082,0.0109
88.0,0.05,4.292900e-02,1.0000,0.0108
88.0,0.50,4.374250e-02,1.0189,0.0109
88.0,1.00,4.271900e-02,0.9951,0.0108
122.1,0.01,4.276950e-02,0.9941,0.0107
122.1,0.05,4.302400e-02,1.0000,0.0108
122.1,0.50,4.252700e-02,0.9884,0.0107
122.1,1.00,4.359200e-02,1.0132,0.0109
661.7,0.01,1.385000e-02,0.9695,0.0183
661.7,0.05,1.428600e-02,1.0000,0.0187
661.7,0.50,1.404900e-02,0.9834,0.0185
661.7,1.00,1.378750e-02,0.9651,0.0182
