# Связанная деконволюция: активность по группе линий.
# A = N_распадов*S_измер/S_модель/t — обе площади сняты
#   одной и той же подгонкой, см. шапку deconv.py.
# ratio_window — то же отношение оконным съёмом; у чистых
#   линий (purity>=0.95) обязано совпадать.
geometry,nuclide,E_keV,n_lines,A_Bq,dA_Bq,A_pass_Bq,ratio,ratio_window,purity,chi2_meas,chi2_model,shift_keV
Marinelli_1L,Cs-137,661.657,1,792.06,6.01,1024.53,0.7731,0.7816,1.000,1.492,0.002,-3.00
Marinelli_1L,K-40,1460.822,1,1203.32,24.44,1689.10,0.7124,0.7248,1.000,1.036,0.002,-3.00
Marinelli_1L,Ra-226,351.932,2,885.91,13.66,1150.70,0.7699,0.8075,0.987,1.350,0.013,-2.50
Marinelli_1L,Ra-226,609.320,2,791.91,22.72,1150.70,0.6882,0.7711,0.985,1.743,0.005,-5.00
Marinelli_1L,Ra-226,1120.294,5,810.51,20.42,1150.70,0.7044,0.6929,0.855,0.781,0.001,-3.50
Marinelli_1L,Th-232,583.187,3,2715.19,32.60,3104.00,0.8747,0.8161,0.891,5.614,0.005,-3.00
Marinelli_1L,Th-232,911.204,7,2679.53,80.97,3104.00,0.8632,0.8858,0.482,3.379,0.001,-3.00
Marinelli_1L,Th-232,2614.511,1,2385.95,25.36,3104.00,0.7687,0.7962,1.000,3.622,0.001,-4.00
Denta_120mL,Cs-137,661.657,1,78.30,1.11,71.36,1.0973,1.0651,1.000,0.952,0.002,-2.50
Denta_120mL,Ra-226,351.932,2,183.37,3.08,130.45,1.4057,1.1092,0.986,0.815,0.005,-3.00
Denta_120mL,Ra-226,609.320,2,167.13,8.71,130.45,1.2812,1.1887,0.983,2.035,0.006,-3.00
Denta_120mL,Ra-226,1120.294,5,152.04,7.32,130.45,1.1655,1.1955,0.855,0.827,0.000,+0.00
Denta_120mL,Th-232,583.187,3,497.88,10.33,372.48,1.3366,1.2277,0.893,1.839,0.009,-4.00
Denta_120mL,Th-232,911.204,7,480.59,30.24,372.48,1.2902,1.3696,0.477,1.455,0.001,-5.00
Denta_120mL,Th-232,2614.511,1,402.01,7.61,372.48,1.0793,1.0903,1.000,1.105,0.001,-3.50
Petri_60mL,Cs-137,661.657,1,45.93,0.63,35.68,1.2871,1.2525,1.000,1.040,0.000,-2.50
Petri_60mL,Ra-226,351.932,2,102.46,1.93,65.22,1.5709,1.4400,0.987,0.794,0.012,-3.50
Petri_60mL,Ra-226,609.320,2,84.58,3.52,65.22,1.2968,1.2893,0.985,0.936,0.002,-3.50
Petri_60mL,Ra-226,1120.294,5,93.52,4.07,65.22,1.4339,1.3209,0.853,0.555,0.000,-2.00
Petri_60mL,Th-232,583.187,3,279.89,3.32,186.24,1.5029,1.4084,0.893,3.597,0.005,-4.00
Petri_60mL,Th-232,911.204,7,227.24,10.61,186.24,1.2201,1.2948,0.483,4.484,0.004,-3.50
Petri_60mL,Th-232,2614.511,1,222.69,1.63,186.24,1.1957,1.1949,1.000,0.915,0.001,-6.00
