E_keV,eps_net,d_eps,eps_gross,N_primaries,net_counts,solid_angle_fraction
45.3,0.015875,0.00021500581387488108,0.01751,400000,6350.0,1.0
56.1,0.030826999999999997,0.00029876328422348016,0.033875,400000,12330.8,1.0
59.5,0.034977738095238096,0.0003216548365876483,0.038935,400000,13991.1,1.0
88.0,0.0519595,0.00040959827880497743,0.0614275,400000,20783.8,1.0
122.1,0.0600955,0.0004330320426943023,0.069415,400000,24038.2,1.0
165.9,0.061077,0.00042437542341657817,0.0679275,400000,24430.8,1.0
238.632,0.0566525,0.00039401935231660895,0.0600575,400000,22661.0,1.0
241.995,0.0561175,0.000392509554023848,0.05956,400000,22447.0,1.0
295.223,0.050744,0.0003674425125104606,0.0527825,400000,20297.6,1.0
338.32,0.046456000000000004,0.00034996571260624944,0.04804,400000,18582.4,1.0
351.932,0.045146000000000006,0.0003439055102786229,0.0464975,400000,18058.4,1.0
463.004,0.0360645,0.00030460343070950465,0.03672,400000,14425.8,1.0
583.187,0.0290925,0.00027239906387504343,0.02946,400000,11637.0,1.0
609.32,0.0282725,0.0002683863819197986,0.02861,400000,11309.0,1.0
661.657,0.0259695,0.0002571103848544434,0.026265,400000,10387.8,1.0
768.36,0.0227045,0.00023965235237735513,0.0228725,400000,9081.8,1.0
911.204,0.019633499999999998,0.00022277735522265274,0.01977,400000,7853.4,1.0
1120.29,0.0166835,0.00020512130557306815,0.016775,400000,6673.4,1.0
1460.82,0.01295,0.0001805962347337286,0.01301,400000,5180.0,1.0
1764.49,0.0107275,0.00016422164899914993,0.010765,400000,4291.0,1.0
2614.51,0.00744,0.00013660161053223347,0.007455,400000,2976.0,1.0
3000.0,0.0066875,0.00012976420924122337,0.0067175,400000,2675.0,1.0
3304.8,0.006086,0.00012361634196173256,0.0061025,400000,2434.4,1.0
3552.5,0.005439166666666666,0.0001167979703291794,0.00545,400000,2175.7,1.0
