#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/export_curves.py
#@ src.git = 1d4e536-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 24
#@ src.inputs_sha1 = bd17f9bea1e4
#@ src.inputs_digest = c90862a527d9
#@ obs.quantity = абсолютная эффективность регистрации в ППП — доля испущенных квантов данной энергии; давших отсчёт в пике
#@ obs.area = eps_net — площадь пика за вычетом полки континуума (правило common/py/peakwin); eps_gross — та же площадь без вычета (столбцы намеренно оба)
#@ obs.window = +-6.0 кэВ = 12 каналов (счёт в каналах; ширина не зависит от дробной части E)
#@ obs.shelf = односторонняя [E-25; E-10] = 15 каналов; множитель вычитания 12/15
#@ obs.blurred = нет (депозит как есть; на ПШПВ не нормируется)
#@ obs.in_range = 1 внутри паспортного диапазона 50…3000 кэВ (п. 2.2); 0 вне его — там прибор не аттестован
#@ obs.solid_angle = точечные сетки разыграны в конус; eps приведена к 4pi множителем из grid/<метка>_solidangle.txt
E_keV,eps_net,d_eps,eps_gross,N_primaries,net_counts,solid_angle_fraction,in_range
45.3,0.0022442085246,1.9484094247962755e-05,0.002256802137,400000,13400.8,0.0669873,0
56.1,0.0026224858077,2.1251397599283945e-05,0.0026637499845,400000,15659.6,0.0669873,1
59.5,0.00271670344515,2.1720083259345746e-05,0.00277243687875,400000,16222.2,0.0669873,1
88.0,0.0028019447844000005,2.3110521416752606e-05,0.0030171079919999997,400000,16731.2,0.0669873,1
122.1,0.0027938728147500003,2.3071631043016327e-05,0.00300756230175,400000,16683.0,0.0669873,1
165.9,0.0027896861085,2.253826507839348e-05,0.0029250004545000002,400000,16658.0,0.0669873,1
238.632,0.0026014517955,2.136963116159425e-05,0.0026711185875,400000,15534.0,0.0669873,1
241.995,0.00256256566785,2.1187189242392633e-05,0.0026280792472499997,400000,15301.8,0.0669873,1
295.223,0.00236267556465,2.016976924159376e-05,0.00239965255425,400000,14108.2,0.0669873,1
338.32,0.0021367943890499997,1.912592996271266e-05,0.0021631873852500003,400000,12759.4,0.0669873,1
351.932,0.0021322392526500005,1.9078478146870855e-05,0.00215514890925,400000,12732.2,0.0669873,1
463.004,0.0016904915028,1.690590117460894e-05,0.001699467801,400000,10094.4,0.0669873,1
583.187,0.0013680816279,1.5184338008310478e-05,0.0013729047134999998,400000,8169.2,0.0669873,1
609.32,0.00132812370345,1.4944812583671885e-05,0.00133120511925,400000,7930.6,0.0669873,1
661.657,0.00121725972195,1.431723278491686e-05,0.00122101101075,400000,7268.6,0.0669873,1
768.36,0.00106714118265,1.3392476892843669e-05,0.00106928477625,400000,6372.2,0.0669873,1
911.204,0.00091682168145,1.2404096421606124e-05,0.00091789347825,400000,5474.6,0.0669873,1
1120.29,0.00077035395,1.136713492104961e-05,0.000771023823,400000,4600.0,0.0669873,1
1460.82,0.0005964549192,1.0000420920044827e-05,0.000596856843,400000,3561.6,0.0669873,1
1764.49,0.00049426579305,9.102450151879377e-06,0.00049453374225,400000,2951.4,0.0669873,1
2614.51,0.00034585542989999993,7.613158955624287e-06,0.0003459894045,400000,2065.2,0.0669873,1
3000.0,0.0002949450819,7.030954586480508e-06,0.0002950790565,400000,1761.2,0.0669873,1
3304.8,0.00026597307465,6.677007641451856e-06,0.00026610704925000004,400000,1588.2,0.0669873,0
3552.5,0.00024500604975,6.405523740573087e-06,0.00024500604975,400000,1463.0,0.0669873,0
