E_keV,eps_net,d_eps,eps_gross,N_primaries,net_counts,solid_angle_fraction
59.5,0.0321075625,0.0006391835919810619,0.03488875,400000,51372.1,0.25
88.0,0.03573809375,0.000638394655661334,0.0385075,400000,57180.9,0.25
122.1,0.0352315,0.0006387650952228057,0.03800375,400000,56370.4,0.25
165.9,0.033492375000000005,0.0005239331839557406,0.035738125,400000,53587.8,0.25
238.632,0.029451750000000002,0.000298208061018226,0.030633125,400000,47122.8,0.25
241.995,0.028985,0.00029383579199316413,0.030146875,400000,46376.0,0.25
295.223,0.025767062500000004,0.00020364654630096847,0.026473125,400000,41227.3,0.25
338.32,0.0232865,0.00016625316961264229,0.023791875,400000,37258.4,0.25
351.932,0.02259265625,0.00015586127035188414,0.0230375,400000,36148.2,0.25
463.004,0.0177961875,0.00011590193271819284,0.018005,400000,28473.9,0.25
583.187,0.0141173125,9.824770293911456e-05,0.01424,400000,22587.7,0.25
609.32,0.013759156250000001,9.702125275592005e-05,0.013880625,400000,22014.7,0.25
661.657,0.01270940625,9.215393483231266e-05,0.012808125,400000,20335.0,0.25
768.36,0.01086478125,8.390159117652731e-05,0.010929375,400000,17383.7,0.25
911.204,0.009382125,7.732714594500433e-05,0.009424375,400000,15011.4,0.25
1120.29,0.0077398125,7.009771221525349e-05,0.007773125,400000,12383.7,0.25
1460.82,0.0059858125,6.151112862980569e-05,0.006009375,400000,9577.3,0.25
1764.49,0.0050180625,5.616458967011599e-05,0.005031875,400000,8028.9,0.25
2614.51,0.0034343125,4.652544876529941e-05,0.003448125,400000,5494.9,0.25
3000.0,0.00298109375,4.3297675696313364e-05,0.00299125,400000,4769.8,0.25
