#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/export_curves.py
#@ src.git = 27b2f77-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 24
#@ src.inputs_sha1 = bd17f9bea1e4
#@ obs.quantity = абсолютная эффективность регистрации в ППП — доля испущенных квантов данной энергии; давших отсчёт в пике
#@ obs.area = eps_net — площадь пика за вычетом левой полки континуума; eps_gross — та же площадь без вычета (столбцы намеренно оба)
#@ obs.window = +-6.0 кэВ по энергии; спектр расчётный с шагом 1 кэВ
#@ obs.shelf = односторонняя слева E-30…E-10 кэВ (конвенция compare_lsrm.py)
#@ obs.blurred = нет — депозит-спектр как есть; приборная ПШПВ не применяется
#@ obs.in_range = 1 внутри паспортного диапазона 50…3000 кэВ (п. 2.2); 0 вне его — там прибор не аттестован
#@ obs.solid_angle = точечные сетки разыграны в конус; eps приведена к 4pi множителем из grid/<метка>_solidangle.txt
E_keV,eps_net,d_eps,eps_gross,N_primaries,net_counts,solid_angle_fraction,in_range
45.3,0.036485500000000004,0.0003286818370400166,0.04069,400000,14594.2,1.0,0
56.1,0.060178,0.00041750808375407537,0.066145,400000,24071.2,1.0,1
59.5,0.06465166666666666,0.00043689425185230725,0.0718775,400000,25860.7,1.0,1
88.0,0.08633350000000001,0.0005170877585091336,0.09922,400000,34533.4,1.0,1
122.1,0.09436399999999999,0.0005299754711305043,0.105605,400000,37745.6,1.0,1
165.9,0.09497299999999999,0.0005157038879046774,0.1021025,400000,37989.2,1.0,1
238.632,0.0861275,0.0004789454561847309,0.089645,400000,34451.0,1.0,1
241.995,0.08542549999999999,0.0004765624303278637,0.0888125,400000,34170.2,1.0,1
295.223,0.07549,0.00044469652573412357,0.0777475,400000,30196.0,1.0,1
338.32,0.0684145,0.00042087795143010284,0.06994,400000,27365.8,1.0,1
351.932,0.066234,0.000413532344563276,0.06759,400000,26493.6,1.0,1
463.004,0.051657,0.0003634067968544342,0.0523875,400000,20662.8,1.0,1
583.187,0.0418095,0.000325308699545524,0.042135,400000,16723.8,1.0,1
609.32,0.0401985,0.0003190959886930577,0.04053,400000,16079.4,1.0,1
661.657,0.037499,0.0003081257860030543,0.0377975,400000,14999.6,1.0,1
768.36,0.032341,0.0002856720147301797,0.03253,400000,12936.4,1.0,1
911.204,0.027662,0.0002639071806525923,0.027785,400000,11064.8,1.0,1
1120.29,0.0228905,0.00024013381686051633,0.023,400000,9156.2,1.0,1
1460.82,0.0181055,0.00021328795090206102,0.0181625,400000,7242.2,1.0,1
1764.49,0.0151405,0.00019490831177761508,0.015175,400000,6056.2,1.0,1
2614.51,0.010203,0.0001600484301703706,0.01023,400000,4081.2,1.0,1
3000.0,0.008662000000000001,0.00014750254235097103,0.0086875,400000,3464.8,1.0,1
3304.8,0.00793,0.00014112051587207298,0.0079525,400000,3172.0,1.0,0
3552.5,0.007225238095238095,0.00013477136934625562,0.00725,400000,2890.1,1.0,0
