#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/export_curves.py
#@ src.git = 1d4e536-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 24
#@ src.inputs_sha1 = bd17f9bea1e4
#@ src.inputs_digest = 892932d9dbd3
#@ obs.quantity = абсолютная эффективность регистрации в ППП — доля испущенных квантов данной энергии; давших отсчёт в пике
#@ obs.area = eps_net — площадь пика за вычетом полки континуума (правило common/py/peakwin); eps_gross — та же площадь без вычета (столбцы намеренно оба)
#@ obs.window = +-6.0 кэВ = 12 каналов (счёт в каналах; ширина не зависит от дробной части E)
#@ obs.shelf = односторонняя [E-25; E-10] = 15 каналов; множитель вычитания 12/15
#@ obs.blurred = нет (депозит как есть; на ПШПВ не нормируется)
#@ obs.in_range = 1 внутри паспортного диапазона 50…3000 кэВ (п. 2.2); 0 вне его — там прибор не аттестован
#@ obs.solid_angle = точечные сетки разыграны в конус; eps приведена к 4pi множителем из grid/<метка>_solidangle.txt
E_keV,eps_net,d_eps,eps_gross,N_primaries,net_counts,solid_angle_fraction,in_range
45.3,0.0174735,0.00021023023093741773,0.0175875,400000,6989.4,1.0,0
56.1,0.0363865,0.000309964917369692,0.0375225,400000,14554.6,1.0,1
59.5,0.0434045,0.00034087717729410985,0.0451125,400000,17361.8,1.0,1
88.0,0.066958,0.00046741737237719356,0.07831,400000,26783.2,1.0,1
122.1,0.08137649999999999,0.0005048794410549908,0.0928125,400000,32550.6,1.0,1
165.9,0.0850245,0.0004980082830636454,0.0929025,400000,34009.8,1.0,1
238.632,0.0789425,0.0004639679407028033,0.0829225,400000,31577.0,1.0,1
241.995,0.0786175,0.0004621187617918147,0.0823975,400000,31447.0,1.0,1
295.223,0.069943,0.0004304724149118036,0.072265,400000,27977.2,1.0,1
338.32,0.0631835,0.00040592086667231084,0.0646975,400000,25273.4,1.0,1
351.932,0.0619655,0.0004005156051891112,0.0631875,400000,24786.2,1.0,1
463.004,0.04918,0.0003550422510068344,0.04987,400000,19672.0,1.0,1
583.187,0.0390845,0.00031486862339712417,0.0394025,400000,15633.8,1.0,1
609.32,0.037684,0.0003090258888831161,0.03797,400000,15073.6,1.0,1
661.657,0.0352095,0.0002985628074626845,0.0354575,400000,14083.8,1.0,1
768.36,0.031198000000000004,0.00028033729684078787,0.03133,400000,12479.2,1.0,1
911.204,0.0264325,0.00025793652319902274,0.0265325,400000,10573.0,1.0,1
1120.29,0.0218425,0.00023425680352980147,0.0219025,400000,8737.0,1.0,1
1460.82,0.017177,0.00020742106932517728,0.017195,400000,6870.8,1.0,1
1764.49,0.014747999999999999,0.0001921561864733998,0.01476,400000,5899.2,1.0,1
2614.51,0.009942999999999999,0.00015783377331864053,0.009955,400000,3977.2,1.0,1
3000.0,0.008600499999999999,0.0001468170630410512,0.0086125,400000,3440.2,1.0,1
3304.8,0.007956,0.00014109571219565818,0.00796,400000,3182.4,1.0,0
3552.5,0.007226499999999999,0.00013451115195402944,0.0072325,400000,2890.6,1.0,0
