#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/export_curves.py
#@ src.git = 27b2f77-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 24
#@ src.inputs_sha1 = bd17f9bea1e4
#@ obs.quantity = абсолютная эффективность регистрации в ППП — доля испущенных квантов данной энергии; давших отсчёт в пике
#@ obs.area = eps_net — площадь пика за вычетом левой полки континуума; eps_gross — та же площадь без вычета (столбцы намеренно оба)
#@ obs.window = +-6.0 кэВ по энергии; спектр расчётный с шагом 1 кэВ
#@ obs.shelf = односторонняя слева E-30…E-10 кэВ (конвенция compare_lsrm.py)
#@ obs.blurred = нет — депозит-спектр как есть; приборная ПШПВ не применяется
#@ obs.in_range = 1 внутри паспортного диапазона 50…3000 кэВ (п. 2.2); 0 вне его — там прибор не аттестован
#@ obs.solid_angle = точечные сетки разыграны в конус; eps приведена к 4pi множителем из grid/<метка>_solidangle.txt
E_keV,eps_net,d_eps,eps_gross,N_primaries,net_counts,solid_angle_fraction,in_range
45.3,0.0062595,0.0001367141177786698,0.00702,400000,2503.8,1.0,0
56.1,0.013312000000000001,0.00019746392075515974,0.01474,400000,5324.8,1.0,1
59.5,0.01596369047619048,0.00021767494983770656,0.01781,400000,6385.5,1.0,1
88.0,0.032543499999999996,0.00032676405861110247,0.0388975,400000,13017.4,1.0,1
122.1,0.0422815,0.00037702486655391847,0.0513925,400000,16912.6,1.0,1
165.9,0.049153999999999996,0.0003862887521013264,0.0557375,400000,19661.6,1.0,1
238.632,0.0488055,0.0003688383792394713,0.0523125,400000,19522.2,1.0,1
241.995,0.048841,0.00036820985864042264,0.05221,400000,19536.4,1.0,1
295.223,0.0451435,0.00034879040984522495,0.0473425,400000,18057.4,1.0,1
338.32,0.0415455,0.0003318911719223637,0.0431175,400000,16618.2,1.0,1
351.932,0.0407765,0.0003284436785812752,0.04226,400000,16310.6,1.0,1
463.004,0.033554,0.00029449787775126665,0.034265,400000,13421.6,1.0,1
583.187,0.026664,0.0002610632107364038,0.0270375,400000,10665.6,1.0,1
609.32,0.0260225,0.0002575776581926313,0.026345,400000,10409.0,1.0,1
661.657,0.023947,0.00024696052316109144,0.0242275,400000,9578.8,1.0,1
768.36,0.021228,0.00023183614903633988,0.0213975,400000,8491.2,1.0,1
911.204,0.0189045,0.00021866241103582482,0.0190425,400000,7561.8,1.0,1
1120.29,0.0155795,0.00019806753898607416,0.01565,400000,6231.8,1.0,1
1460.82,0.0125005,0.00017725476016175137,0.0125425,400000,5000.2,1.0,1
1764.49,0.01053,0.00016280356261458162,0.010575,400000,4212.0,1.0,1
2614.51,0.007315,0.00013567424221273543,0.007345,400000,2926.0,1.0,1
3000.0,0.0063775,0.00012650592871482348,0.0063925,400000,2551.0,1.0,1
3304.8,0.005749,0.00012023518619771835,0.00577,400000,2299.6,1.0,0
3552.5,0.005320714285714285,0.00011549619365286166,0.00533,400000,2128.3,1.0,0
