#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/export_curves.py
#@ src.git = 27b2f77-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 24
#@ src.inputs_sha1 = bd17f9bea1e4
#@ obs.quantity = абсолютная эффективность регистрации в ППП — доля испущенных квантов данной энергии; давших отсчёт в пике
#@ obs.area = eps_net — площадь пика за вычетом левой полки континуума; eps_gross — та же площадь без вычета (столбцы намеренно оба)
#@ obs.window = +-6.0 кэВ по энергии; спектр расчётный с шагом 1 кэВ
#@ obs.shelf = односторонняя слева E-30…E-10 кэВ (конвенция compare_lsrm.py)
#@ obs.blurred = нет — депозит-спектр как есть; приборная ПШПВ не применяется
#@ obs.in_range = 1 внутри паспортного диапазона 50…3000 кэВ (п. 2.2); 0 вне его — там прибор не аттестован
#@ obs.solid_angle = точечные сетки разыграны в конус; eps приведена к 4pi множителем из grid/<метка>_solidangle.txt
E_keV,eps_net,d_eps,eps_gross,N_primaries,net_counts,solid_angle_fraction,in_range
45.3,0.050755,0.0003899839740297029,0.057055,400000,20302.0,1.0,0
56.1,0.051103,0.00041149179821716977,0.061495,400000,20441.2,1.0,1
59.5,0.049872261904761905,0.00042638438326262544,0.063985,400000,19948.9,1.0,1
88.0,0.046293,0.00044214307639043725,0.0662325,400000,18517.2,1.0,1
122.1,0.053909,0.00042807300779189523,0.0660275,400000,21563.6,1.0,1
165.9,0.0577205,0.0004136172747843107,0.064415,400000,23088.2,1.0,1
238.632,0.053845500000000004,0.0003839814448642017,0.0570525,400000,21538.2,1.0,1
241.995,0.054485,0.0003856455626608454,0.0576125,400000,21794.0,1.0,1
295.223,0.0488825,0.00036156085241629795,0.0510125,400000,19553.0,1.0,1
338.32,0.04522399999999999,0.00034417146889305047,0.0465725,400000,18089.6,1.0,1
351.932,0.0440795,0.0003399716899978585,0.045425,400000,17631.8,1.0,1
463.004,0.034999,0.00029991915577368513,0.0356125,400000,13999.6,1.0,1
583.187,0.028593,0.00026990831776734853,0.028935,400000,11437.2,1.0,1
609.32,0.0279175,0.00026667161453743066,0.0282475,400000,11167.0,1.0,1
661.657,0.0260115,0.00025675425994518575,0.026235,400000,10404.6,1.0,1
768.36,0.022260500000000003,0.00023714816043983979,0.0224075,400000,8904.2,1.0,1
911.204,0.0194795,0.00022178987803774997,0.0196025,400000,7791.8,1.0,1
1120.29,0.0162185,0.0002020451682174063,0.0162875,400000,6487.4,1.0,1
1460.82,0.012887000000000001,0.0001799430465452889,0.0129275,400000,5154.8,1.0,1
1764.49,0.0109795,0.00016607453146102807,0.0110125,400000,4391.8,1.0,1
2614.51,0.0076645,0.00013868399330852857,0.0076825,400000,3065.8,1.0,1
3000.0,0.006494,0.00012774584141959377,0.006515,400000,2597.6,1.0,1
3304.8,0.0059775,0.00012248979549333897,0.0059925,400000,2391.0,1.0,0
3552.5,0.0053042857142857145,0.0001155624371097646,0.0053275,400000,2121.7,1.0,0
