#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/export_curves.py
#@ src.git = 1d4e536-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 216
#@ src.inputs_sha1 = bd17f9bea1e4
#@ src.inputs_digest = ead406b59781
#@ obs.quantity = абсолютная эффективность регистрации в ППП — доля испущенных квантов данной энергии; давших отсчёт в пике
#@ obs.area = eps_net — площадь пика за вычетом полки континуума (правило common/py/peakwin); eps_gross — та же площадь без вычета (столбцы намеренно оба)
#@ obs.window = +-6.0 кэВ = 12 каналов (счёт в каналах; ширина не зависит от дробной части E)
#@ obs.shelf = односторонняя [E-25; E-10] = 15 каналов; множитель вычитания 12/15
#@ obs.blurred = нет (депозит как есть; на ПШПВ не нормируется)
#@ obs.in_range = 1 внутри паспортного диапазона 50…3000 кэВ (п. 2.2); 0 вне его — там прибор не аттестован
#@ obs.solid_angle = точечные сетки разыграны в конус; eps приведена к 4pi множителем из grid/<метка>_solidangle.txt
grid,geometry,matrix,density_g_cm3,fill_ml,shield_lid,E_keV,eps_net,d_eps,eps_gross,N_primaries,net_counts,solid_angle_fraction,in_range
denta0.60,Дента 120 мл,ОИСН-16,0.6,120.0,закрыта,45.3,0.021175,0.0002317379986104998,0.021345,400000,8470.0,1.0,0
denta0.60,Дента 120 мл,ОИСН-16,0.6,120.0,закрыта,56.1,0.039762,0.00032316559222788553,0.04088,400000,15904.8,1.0,1
denta0.60,Дента 120 мл,ОИСН-16,0.6,120.0,закрыта,59.5,0.0442605,0.0003439625706381437,0.0459625,400000,17704.2,1.0,1
denta0.60,Дента 120 мл,ОИСН-16,0.6,120.0,закрыта,88.0,0.0658845,0.0004542325946032495,0.0751325,400000,26353.8,1.0,1
denta0.60,Дента 120 мл,ОИСН-16,0.6,120.0,закрыта,122.1,0.075874,0.0004771708289491301,0.08432,400000,30349.6,1.0,1
denta0.60,Дента 120 мл,ОИСН-16,0.6,120.0,закрыта,165.9,0.0775045,0.00046777906109615465,0.0830725,400000,31001.8,1.0,1
denta0.60,Дента 120 мл,ОИСН-16,0.6,120.0,закрыта,238.632,0.070192,0.0004334120441335243,0.07294,400000,28076.8,1.0,1
denta0.60,Дента 120 мл,ОИСН-16,0.6,120.0,закрыта,241.995,0.06946050000000001,0.0004303780315025385,0.0720325,400000,27784.2,1.0,1
denta0.60,Дента 120 мл,ОИСН-16,0.6,120.0,закрыта,295.223,0.06102,0.00040019370309888686,0.06271,400000,24408.0,1.0,1
denta0.60,Дента 120 мл,ОИСН-16,0.6,120.0,закрыта,338.32,0.0553,0.0003785366560849821,0.05642,400000,22120.0,1.0,1
