# Три закона ПШПВ: модель конвейера 49,9*sqrt(E/661,657); Calibr.cfw (реальная калибровка 11 источников, 01.11.2024, полином по sqrt(E));
# полином из заголовков .spe поверки (происхождение — файлы другого прибора, рассинхрон конфига; именно он был активен в сеансе оператора).
# model_over_cfw > 1 — модельное окно шире реального пика.
E_keV,fwhm_model_keV,fwhm_cfw_keV,fwhm_spe_keV,model_over_cfw,spe_over_cfw
59.500,14.96,9.77,9.79,1.5312,1.0020
88.000,18.20,12.47,11.76,1.4594,0.9430
122.100,21.44,15.32,14.26,1.3989,0.9306
165.900,24.99,18.62,17.56,1.3419,0.9431
238.632,29.97,23.52,23.05,1.2743,0.9804
351.932,36.39,30.25,31.38,1.2029,1.0372
583.187,46.85,42.06,47.01,1.1137,1.1177
661.657,49.90,45.67,51.87,1.0925,1.1357
911.204,58.56,56.22,65.87,1.0417,1.1718
1120.294,64.93,64.18,75.97,1.0117,1.1836
1460.822,74.15,75.86,89.45,0.9774,1.1792
1764.491,81.49,85.18,98.60,0.9566,1.1576
2614.511,99.19,107.04,111.35,0.9267,1.0402
3000.000,106.25,115.28,111.45,0.9217,0.9668
