#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/geometry_response.py
#@ src.git = 2b24cc2-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 168
#@ src.inputs_sha1 = bd17f9bea1e4
#@ obs.quantity = эффективность на испущенный квант; отношения между геометриями и между группами
#@ obs.area = пик полного поглощения в депозит-спектре (наша) против узлов аттестованной кривой .efr (ЛСРМ)
#@ obs.window = +-6.0 кэВ = 12 каналов (счёт в каналах; ширина не зависит от дробной части E)
#@ obs.shelf = односторонняя [E-25; E-10] = 15 каналов; множитель вычитания 12/15
#@ obs.blurred = нет (депозит как есть; на ПШПВ не нормируется)
#@ obs.cone = конусные сетки приведены делением на долю телесного угла из шапки спектра
#@ obs.density_assumption = плотность объёмных проб в аттестации не совпадает с сеткой; дана вилка 0;60 и 1;60 г/см3
#@ obs.sequence = точка 5 см -> Петри 60 мл -> Дента 120 мл -> Маринелли 1 л
# Отклик двух групп кривых на смену геометрии в последовательности точка -> Петри -> Дента -> Маринелли.
# block=группы: наша/ЛСРМ по общим узлам в каждой геометрии.
# block=отклик: отношение кривой к ПРЕДЫДУЩЕЙ геометрии внутри своей группы (форма отклика;
#   всё; что от геометрии не зависит; сокращается).
# block=корреляция: value — наклон нашего отклика по ln E; sigma — наклон отклика ЛСРМ.
# Обе группы — эффективность НА ИСПУЩЕННЫЙ КВАНТ; выход линии не участвует.
# Плотность объёмных проб в аттестации против нашей сетки — ДОПУЩЕНИЕ; отклик дан вилкой 0;60/1;60.
block,case,series,E_keV,value,sigma
группы,точка 5 см,p5cm,59.500,0.91834,0.04269
группы,точка 5 см,p5cm,88.000,1.02906,0.04008
группы,точка 5 см,p5cm,122.100,1.00576,0.04767
группы,точка 5 см,p5cm,238.600,1.23775,0.10257
группы,точка 5 см,p5cm,583.200,1.08795,0.01858
группы,точка 5 см,p5cm,661.700,1.04206,0.01789
группы,точка 5 см,p5cm,2614.500,1.23336,0.02474
группы,Петри 60 мл,petri1.60,122.100,0.75324,0.04078
группы,Петри 60 мл,petri1.60,238.600,0.87105,0.03130
группы,Петри 60 мл,petri1.60,242.000,0.63544,0.02612
группы,Петри 60 мл,petri1.60,295.200,1.03224,0.04216
группы,Петри 60 мл,petri1.60,338.300,0.80874,0.03075
группы,Петри 60 мл,petri1.60,351.900,0.99135,0.03530
группы,Петри 60 мл,petri1.60,583.200,0.90165,0.03038
группы,Петри 60 мл,petri1.60,609.300,1.02654,0.03370
группы,Петри 60 мл,petri1.60,661.700,0.99338,0.02703
группы,Петри 60 мл,petri1.60,911.200,0.82847,0.03254
группы,Петри 60 мл,petri1.60,1120.300,0.91076,0.03672
группы,Петри 60 мл,petri1.60,1460.800,0.86548,0.03821
группы,Петри 60 мл,petri1.60,1764.500,1.10783,0.04815
группы,Петри 60 мл,petri1.60,2614.500,1.13172,0.04177
группы,Петри 60 мл,petri0.60,122.100,0.88626,0.04792
группы,Петри 60 мл,petri0.60,238.600,0.95695,0.03433
группы,Петри 60 мл,petri0.60,242.000,0.69707,0.02862
группы,Петри 60 мл,petri0.60,295.200,1.11829,0.04563
группы,Петри 60 мл,petri0.60,338.300,0.87802,0.03334
группы,Петри 60 мл,petri0.60,351.900,1.06455,0.03786
группы,Петри 60 мл,petri0.60,583.200,0.96584,0.03248
группы,Петри 60 мл,petri0.60,609.300,1.09704,0.03594
группы,Петри 60 мл,petri0.60,661.700,1.06089,0.02878
группы,Петри 60 мл,petri0.60,911.200,0.86879,0.03407
группы,Петри 60 мл,petri0.60,1120.300,0.95694,0.03852
группы,Петри 60 мл,petri0.60,1460.800,0.91395,0.04028
группы,Петри 60 мл,petri0.60,1764.500,1.13885,0.04944
группы,Петри 60 мл,petri0.60,2614.500,1.16370,0.04283
группы,Дента 120 мл,denta1.60,238.600,0.89872,0.03306
группы,Дента 120 мл,denta1.60,242.000,0.66569,0.03068
группы,Дента 120 мл,denta1.60,295.200,1.08572,0.04252
группы,Дента 120 мл,denta1.60,338.300,0.71599,0.03091
группы,Дента 120 мл,denta1.60,351.900,1.04833,0.03682
группы,Дента 120 мл,denta1.60,583.200,1.01215,0.03624
группы,Дента 120 мл,denta1.60,609.300,1.12968,0.03800
группы,Дента 120 мл,denta1.60,661.700,1.10014,0.03022
группы,Дента 120 мл,denta1.60,911.200,0.92281,0.04172
группы,Дента 120 мл,denta1.60,1120.300,1.00612,0.03963
группы,Дента 120 мл,denta1.60,1460.800,0.88675,0.03512
группы,Дента 120 мл,denta1.60,1764.500,1.16545,0.04836
группы,Дента 120 мл,denta1.60,2614.500,1.12042,0.04620
группы,Дента 120 мл,denta0.60,238.600,1.08276,0.03969
группы,Дента 120 мл,denta0.60,242.000,0.81140,0.03731
группы,Дента 120 мл,denta0.60,295.200,1.28346,0.05011
группы,Дента 120 мл,denta0.60,338.300,0.84939,0.03656
группы,Дента 120 мл,denta0.60,351.900,1.21885,0.04265
группы,Дента 120 мл,denta0.60,583.200,1.15593,0.04121
группы,Дента 120 мл,denta0.60,609.300,1.24469,0.04171
группы,Дента 120 мл,denta0.60,661.700,1.24142,0.03385
группы,Дента 120 мл,denta0.60,911.200,1.01505,0.04577
группы,Дента 120 мл,denta0.60,1120.300,1.11602,0.04375
группы,Дента 120 мл,denta0.60,1460.800,0.94692,0.03736
группы,Дента 120 мл,denta0.60,1764.500,1.23595,0.05109
группы,Дента 120 мл,denta0.60,2614.500,1.21963,0.04990
группы,Маринелли 1 л,rho1.60,238.600,1.13566,0.03921
группы,Маринелли 1 л,rho1.60,242.000,0.96981,0.03535
группы,Маринелли 1 л,rho1.60,295.200,1.39723,0.05655
группы,Маринелли 1 л,rho1.60,338.300,1.25380,0.04838
группы,Маринелли 1 л,rho1.60,351.900,1.27063,0.04484
группы,Маринелли 1 л,rho1.60,463.000,1.22384,0.06558
группы,Маринелли 1 л,rho1.60,583.200,1.22998,0.04175
группы,Маринелли 1 л,rho1.60,609.300,1.31444,0.04261
группы,Маринелли 1 л,rho1.60,661.700,1.28336,0.03535
группы,Маринелли 1 л,rho1.60,768.400,1.30327,0.05820
группы,Маринелли 1 л,rho1.60,911.200,1.40800,0.07664
группы,Маринелли 1 л,rho1.60,1120.300,1.13432,0.04054
группы,Маринелли 1 л,rho1.60,1460.800,1.28637,0.04905
группы,Маринелли 1 л,rho1.60,1764.500,1.30108,0.04984
группы,Маринелли 1 л,rho1.60,2614.500,1.55562,0.05846
группы,Маринелли 1 л,rho1.00,238.600,1.26991,0.04371
группы,Маринелли 1 л,rho1.00,242.000,1.10200,0.04004
группы,Маринелли 1 л,rho1.00,295.200,1.54853,0.06255
группы,Маринелли 1 л,rho1.00,338.300,1.39092,0.05355
группы,Маринелли 1 л,rho1.00,351.900,1.39270,0.04902
группы,Маринелли 1 л,rho1.00,463.000,1.31139,0.07020
группы,Маринелли 1 л,rho1.00,583.200,1.36124,0.04601
группы,Маринелли 1 л,rho1.00,609.300,1.45199,0.04685
группы,Маринелли 1 л,rho1.00,661.700,1.40461,0.03844
группы,Маринелли 1 л,rho1.00,768.400,1.38909,0.06192
группы,Маринелли 1 л,rho1.00,911.200,1.49369,0.08119
группы,Маринелли 1 л,rho1.00,1120.300,1.20142,0.04279
группы,Маринелли 1 л,rho1.00,1460.800,1.32845,0.05054
группы,Маринелли 1 л,rho1.00,1764.500,1.33297,0.05095
группы,Маринелли 1 л,rho1.00,2614.500,1.57376,0.05905
отклик,Петри 60 мл / точка 5 см,ЛСРМ,121.782,2.61092,0.16060
отклик,Петри 60 мл / точка 5 см,ЛСРМ,238.632,3.19133,0.28731
отклик,Петри 60 мл / точка 5 см,ЛСРМ,344.279,2.38178,0.10526
отклик,Петри 60 мл / точка 5 см,ЛСРМ,583.187,2.94547,0.10712
отклик,Петри 60 мл / точка 5 см,ЛСРМ,661.657,2.57926,0.07821
отклик,Петри 60 мл / точка 5 см,ЛСРМ,964.079,2.12488,0.12320
отклик,Петри 60 мл / точка 5 см,ЛСРМ,1408.006,2.60339,0.13168
отклик,Петри 60 мл / точка 5 см,ЛСРМ,2614.511,2.89714,0.10626
отклик,Петри 60 мл / точка 5 см,petri0.60,45.300,1.17846,0.01061
отклик,Петри 60 мл / точка 5 см,petri0.60,56.100,1.61351,0.01220
отклик,Петри 60 мл / точка 5 см,petri0.60,59.500,1.68415,0.01245
отклик,Петри 60 мл / точка 5 см,petri0.60,88.000,1.97222,0.01416
отклик,Петри 60 мл / точка 5 см,petri0.60,122.100,2.21465,0.01510
отклик,Петри 60 мл / точка 5 см,petri0.60,165.900,2.37206,0.01596
отклик,Петри 60 мл / точка 5 см,petri0.60,238.600,2.46735,0.01728
отклик,Петри 60 мл / точка 5 см,petri0.60,242.000,2.49760,0.01761
отклик,Петри 60 мл / точка 5 см,petri0.60,295.200,2.52328,0.01885
отклик,Петри 60 мл / точка 5 см,petri0.60,338.300,2.53005,0.01979
отклик,Петри 60 мл / точка 5 см,petri0.60,351.900,2.54217,0.02018
отклик,Петри 60 мл / точка 5 см,petri0.60,463.000,2.58390,0.02320
отклик,Петри 60 мл / точка 5 см,petri0.60,583.200,2.61488,0.02611
отклик,Петри 60 мл / точка 5 см,petri0.60,609.300,2.62744,0.02677
отклик,Петри 60 мл / точка 5 см,petri0.60,661.700,2.62588,0.02768
отклик,Петри 60 мл / точка 5 см,petri0.60,768.400,2.60590,0.02949
отклик,Петри 60 мл / точка 5 см,petri0.60,911.200,2.62027,0.03208
отклик,Петри 60 мл / точка 5 см,petri0.60,1120.300,2.65409,0.03579
отклик,Петри 60 мл / точка 5 см,petri0.60,1460.800,2.68949,0.04088
отклик,Петри 60 мл / точка 5 см,petri0.60,1764.500,2.74599,0.04584
отклик,Петри 60 мл / точка 5 см,petri0.60,2614.500,2.73350,0.05548
отклик,Петри 60 мл / точка 5 см,petri0.60,3000.000,2.67420,0.05867
отклик,Петри 60 мл / точка 5 см,petri0.60,3304.800,2.66269,0.06098
отклик,Петри 60 мл / точка 5 см,petri0.60,3552.500,2.75882,0.06668
отклик,Петри 60 мл / точка 5 см,petri1.60,45.300,0.50985,0.00651
отклик,Петри 60 мл / точка 5 см,petri1.60,56.100,0.91482,0.00861
отклик,Петри 60 мл / точка 5 см,petri1.60,59.500,1.05924,0.00932
отклик,Петри 60 мл / точка 5 см,petri1.60,88.000,1.52247,0.01218
отклик,Петри 60 мл / точка 5 см,petri1.60,122.100,1.88226,0.01384
отклик,Петри 60 мл / точка 5 см,petri1.60,165.900,2.09280,0.01489
отклик,Петри 60 мл / точка 5 см,petri1.60,238.600,2.24586,0.01633
отклик,Петри 60 мл / точка 5 см,petri1.60,242.000,2.27678,0.01666
отклик,Петри 60 мл / точка 5 см,petri1.60,295.200,2.32912,0.01791
отклик,Петри 60 мл / точка 5 см,petri1.60,338.300,2.33042,0.01875
отклик,Петри 60 мл / точка 5 см,petri1.60,351.900,2.36737,0.01924
отклик,Петри 60 мл / точка 5 см,petri1.60,463.000,2.45310,0.02242
отклик,Петри 60 мл / точка 5 см,petri1.60,583.200,2.44109,0.02492
отклик,Петри 60 мл / точка 5 см,petri1.60,609.300,2.45860,0.02558
отклик,Петри 60 мл / точка 5 см,petri1.60,661.700,2.45878,0.02646
отклик,Петри 60 мл / точка 5 см,petri1.60,768.400,2.50830,0.02873
отклик,Петри 60 мл / точка 5 см,petri1.60,911.200,2.49866,0.03106
отклик,Петри 60 мл / точка 5 см,petri1.60,1120.300,2.52601,0.03459
отклик,Петри 60 мл / точка 5 см,petri1.60,1460.800,2.54685,0.03935
отклик,Петри 60 мл / точка 5 см,petri1.60,1764.500,2.67118,0.04495
отклик,Петри 60 мл / точка 5 см,petri1.60,2614.500,2.65837,0.05443
отклик,Петри 60 мл / точка 5 см,petri1.60,3000.000,2.64986,0.05831
отклик,Петри 60 мл / точка 5 см,petri1.60,3304.800,2.66520,0.06102
отклик,Петри 60 мл / точка 5 см,petri1.60,3552.500,2.75215,0.06656
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,238.632,0.71530,0.03620
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,241.995,0.69298,0.04232
отклик,Дента 120 мл / Петри 60 мл,ЛСРМ,295.223,0.70166,0.03914
