#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/point_recalc.py
#@ src.git = 65ed481-dirty
#@ src.tree_sha1 = 65977db81784
#@ src.inputs_verdict = unstamped
#@ src.inputs_n = 44
#@ src.inputs_sha1 = БЕЗ-ШТАМПА
#@ src.inputs_unstamped = 44
#@ obs.quantity = A_изм/A_пасп — отношение восстановленной активности к паспортной на дату измерения
#@ obs.area = пик полного поглощения; вычтена подложка по полкам
#@ obs.window = Point_5cm: +-1;0 ПШПВ | Point_25cm: +-6.0 кэВ = 12 каналов (счёт в каналах; ширина не зависит от дробной части E)
#@ obs.shelf = Point_5cm: симметричные по 1;0 ПШПВ с двух сторон; полосы вылета 28.6 кэВ исключены | Point_25cm: односторонняя [E-25; E-10] = 15 каналов; множитель вычитания 12/15
#@ obs.blurred = Point_5cm: да (модель размыта до приборного ПШПВ) | Point_25cm: нет (депозит как есть; на ПШПВ не нормируется)
#@ obs.escapes_keV = 28.60
#@ obs.pileup = учтён множителем exp(2*тау*R) по полной скорости счёта
#@ obs.split = наблюдаемая РАЗНАЯ по геометриям — см. три ключа выше; 5 и 25 см напрямую не сравнивать
# Активность по правилу ЛСРМ для точечных геометрий: средневзвешенное по ГОДНЫМ
# линиям (usable=1 в kit_recalc_point.csv), неопределённость — максимум из
# взвешенной и разброса (столбец estimate).
# Строка нуклида: линии сводятся по СТАТИСТИКЕ, затем в квадратуре добавлена
#   паспортная доля активности источника.
# nuclide=* — сводка по геометрии: по РЯДАМ НУКЛИДОВ, а не по линиям, потому
#   что паспортная неопределённость независима у каждого источника и поперёк
#   нуклидов она главная (статистика даёт 0,1–0,6 % на линию). n_lines у этой
#   строки — сколько ГОДНЫХ ЛИНИЙ стоит за сводкой.
# chi2_dof — мера СОГЛАСИЯ рядов между собой. Больше ~2 значит, что одним
#   числом набор не сводится, какой бы узкой ни вышла погрешность.
geometry,nuclide,n_lines,ratio,d_ratio,estimate,chi2_dof
Point_5cm,Am-241,1,0.9697,0.0485,взвеш.,
Point_5cm,Ba-133,1,1.0286,0.0206,взвеш.,
Point_5cm,Bi-207,2,1.0083,0.0367,разброс,
Point_5cm,Cd-109,1,1.0483,0.0215,взвеш.,
Point_5cm,Ce-139,1,0.9790,0.0296,взвеш.,
Point_5cm,Co-60,2,1.0381,0.0247,разброс,
Point_5cm,Cs-137,1,1.0416,0.0208,взвеш.,
Point_5cm,Eu-152,4,0.9962,0.0384,разброс,
Point_5cm,Mn-54,1,0.9993,0.0301,взвеш.,
Point_5cm,Na-22,1,1.0369,0.0312,взвеш.,
Point_5cm,Th-228,3,0.9738,0.0270,разброс,
Point_5cm,Y-88,2,0.9939,0.0383,разброс,
Point_5cm,Zn-65,1,0.9123,0.0301,взвеш.,
Point_5cm,*,21,1.0118,0.0107,разброс,1.90
Point_25cm,Am-241,1,1.0666,0.0536,взвеш.,
Point_25cm,Cd-109,1,1.2548,0.0926,взвеш.,
Point_25cm,Ce-139,1,1.0130,0.0456,взвеш.,
Point_25cm,Cs-137,1,0.9464,0.0284,взвеш.,
Point_25cm,Eu-152,1,1.1699,0.0243,взвеш.,
Point_25cm,Th-228,2,0.9578,0.0679,разброс,
Point_25cm,*,7,1.0664,0.0464,разброс,8.81
