#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/kit_recalc.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = активность нуклида по правилу ЛСРМ — средневзвешенное по ГОДНЫМ линиям; величина СВОДНАЯ; не построчная
#@ obs.area = площади тех же линий; что в построчной таблице
#@ obs.window = окно и полка в долях ПШПВ — та же конвенция
#@ obs.shelf = симметричные полки; вырез полос вылета НЕ применяется
#@ obs.blurred = измерение как есть; расчётная eps снята с размытой сетки
#@ obs.estimate = столбец estimate называет; какая из двух оценок ЛСРМ взята —  взвешенная или по разбросу
# Активность по правилу ЛСРМ: средневзвешенное по ГОДНЫМ линиям (usable=1),
# неопределённость — максимум из взвешенной и разброса (столбец estimate).
# nuclide=* — сводка по сосуду, тем же правилом по отношениям нуклидов;
#   у неё A_meas_Bq и A_pass_Bq не определены и записаны нулями.
# chi2_dof у строки * — мера согласия рядов между собой; больше ~2 значит,
#   что одним числом набор не сводится.
# Этот файл — ЕДИНСТВЕННЫЙ источник сводных чисел для отчёта и страницы.
geometry,nuclide,n_lines,A_meas_Bq,A_pass_Bq,ratio,d_ratio,estimate,chi2_dof
Marinelli_1L,Cs-137,1,8.1462e+02,1.0245e+03,0.7951,0.0400,взвеш.,
Marinelli_1L,K-40,1,1.2572e+03,1.6891e+03,0.7443,0.0758,взвеш.,
Marinelli_1L,Ra-226,2,9.4362e+02,1.1507e+03,0.8200,0.0585,взвеш.,
Marinelli_1L,Th-232,1,2.4725e+03,3.1040e+03,0.7966,0.0480,взвеш.,
Marinelli_1L,*,5,0.0000e+00,0.0000e+00,0.7945,0.0256,взвеш.,0.21
Denta_120mL,Cs-137,1,7.6903e+01,7.1360e+01,1.0777,0.0563,взвеш.,
Denta_120mL,Ra-226,2,1.5227e+02,1.3045e+02,1.1673,0.0528,взвеш.,
Denta_120mL,Th-232,1,4.0578e+02,3.7248e+02,1.0894,0.0683,взвеш.,
Denta_120mL,*,4,0.0000e+00,0.0000e+00,1.1167,0.0335,взвеш.,0.78
Petri_60mL,Cs-137,1,4.4783e+01,3.5682e+01,1.2551,0.0652,взвеш.,
Petri_60mL,Ra-226,2,8.5490e+01,6.5223e+01,1.3107,0.0602,взвеш.,
Petri_60mL,Th-232,1,2.2235e+02,1.8624e+02,1.1939,0.0723,взвеш.,
Petri_60mL,*,4,0.0000e+00,0.0000e+00,1.2602,0.0377,взвеш.,0.78
