#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/point_recalc.py
#@ src.git = acbdd63-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 42
#@ src.inputs_sha1 = bd17f9bea1e4
#@ obs.quantity = A_изм/A_пасп — отношение восстановленной активности к паспортной на дату измерения
#@ obs.area = пик полного поглощения; вычтена подложка по полкам
#@ obs.window = Point_5cm: +-1;0 ПШПВ | Point_25cm: +-6.0 кэВ = 12 каналов (счёт в каналах; ширина не зависит от дробной части E)
#@ obs.shelf = Point_5cm: симметричные по 1;0 ПШПВ с двух сторон; вырез полос вылета НЕ применяется (см. obs.escape_bias) | Point_25cm: односторонняя [E-25; E-10] = 15 каналов; множитель вычитания 12/15
#@ obs.blurred = Point_5cm: да (модель размыта до приборного ПШПВ) | Point_25cm: нет (депозит как есть; на ПШПВ не нормируется)
#@ obs.escape_bias = НЕ УСТРАНЕНА: пик вылета K-рентгена иода (28.6 кэВ) попадает в левую полку конвенции ±1 ПШПВ в полосе 54.3...217.4 кэВ (линии 59.5; 81.0; 88.0; 121.8; 122.1; 165.9). Обе стороны сравнения считаются ОДНИМ правилом без выреза; вырез сломан на измеренной стороне (задача 135)
#@ obs.pileup = учтён множителем exp(2*тау*R) по полной скорости счёта
#@ obs.split = наблюдаемая РАЗНАЯ по геометриям — см. три ключа выше; 5 и 25 см напрямую не сравнивать
# Пересчёт точечных записей комплекта поверки.
# A_изм = R_пика / eps_на_распад; A_пасп приведена на дату измерения.
# ratio = A_изм / A_пасп: больше единицы — модель ЗАНИЖАЕТ эффективность.
# C — поправка на суммирование; «прям.» значит, что она уже внутри прогона распада.
# Линии с загрязнёнными полками исключены и в файл не попадают, их список — в выводе скрипта.
# purity — доля выхода окна, приходящаяся на саму линию; usable=0 значит
#   линия плохо разделена и в активность НЕ ИДЁТ (порог 0.95). Такие строки
#   остаются в файле: на них проверяется деконволюция.
geometry,nuclide,E_keV,rate_cps,eps_per_decay,C,A_meas_Bq,A_pass_Bq,ratio,purity,usable
Point_5cm,Am-241,59.540,1763.0514,1.363351e-02,прям.,1.2932e+05,1.1754e+05,1.1002,0.999,1
Point_5cm,Ba-133,80.990,375.9470,1.324005e-02,прям.,2.8395e+04,2.6723e+04,1.0625,1.000,1
Point_5cm,Ba-133,356.010,315.8098,1.144430e-02,прям.,2.7595e+04,2.6723e+04,1.0326,0.872,0
Point_5cm,Bi-207,569.700,1247.0668,1.468234e-02,прям.,8.4937e+04,8.2425e+04,1.0305,1.000,1
Point_5cm,Bi-207,1063.660,502.8751,6.451222e-03,прям.,7.7950e+04,8.2425e+04,0.9457,1.000,1
Point_5cm,Cd-109,88.030,25.8862,1.476174e-03,прям.,1.7536e+04,1.5815e+04,1.1089,1.000,1
Point_5cm,Ce-139,165.860,65.2491,3.092846e-02,прям.,2.1097e+03,2.0751e+03,1.0167,1.000,1
Point_5cm,Co-57,122.060,3.2195,3.854309e-02,прям.,8.3529e+01,8.1778e+01,1.0214,0.892,0
Point_5cm,Co-60,1173.230,225.4884,5.818919e-03,прям.,3.8751e+04,3.9552e+04,0.9797,1.000,1
Point_5cm,Co-60,1332.490,196.8698,4.431441e-03,прям.,4.4426e+04,3.9552e+04,1.1232,1.000,1
Point_5cm,Cs-137,661.657,960.3498,1.172533e-02,прям.,8.1904e+04,7.9026e+04,1.0364,1.000,1
Point_5cm,Eu-152,121.780,342.5004,1.105654e-02,прям.,3.0977e+04,3.1587e+04,0.9807,1.000,1
Point_5cm,Eu-152,244.700,86.7423,2.210922e-03,прям.,3.9234e+04,3.1587e+04,1.2421,0.977,1
Point_5cm,Eu-152,344.280,207.4748,6.222564e-03,прям.,3.3342e+04,3.1587e+04,1.0556,0.958,1
Point_5cm,Eu-152,964.060,8.0961,3.819328e-04,прям.,2.1198e+04,3.1587e+04,0.6711,0.908,0
Point_5cm,Eu-152,1408.010,38.2658,1.204381e-03,прям.,3.1772e+04,3.1587e+04,1.0059,0.974,1
Point_5cm,Mn-54,834.850,338.3041,1.098422e-02,прям.,3.0799e+04,3.0573e+04,1.0074,1.000,1
