# Пересчёт объёмных записей комплекта поверки.
# A_изм = R_пика / eps_на_распад; A_пасп приведена на дату измерения.
# ratio = A_изм / A_пасп: меньше единицы — модель ЗАВЫШАЕТ эффективность.
# run — прогон распада, из которого взята eps_на_распад.
geometry,nuclide,E_keV,rate_cps,eps_per_decay,A_meas_Bq_kg,A_pass_Bq_kg,ratio,d_pass_pct,run
Marinelli_1L,Cs-137,661.657,16.5804,2.070582e-02,1404.8,1890,0.7816,5.0,decay_Cs137
Marinelli_1L,K-40,1460.822,1.5402,1.258009e-03,1841.1,2540,0.7248,10.0,decay_K40
Marinelli_1L,Ra-226,351.932,6.3558,6.840502e-03,1493.8,1850,0.8075,10.0,chain_Ra226
Marinelli_1L,Ra-226,609.320,9.1285,1.028784e-02,1426.5,1850,0.7711,10.0,chain_Ra226
Marinelli_1L,Ra-226,1120.294,1.4544,1.823964e-03,1281.9,1850,0.6929,10.0,chain_Ra226
Marinelli_1L,Th-232,583.187,13.8683,5.474125e-03,1583.4,1940,0.8162,6.0,chain_Th232
Marinelli_1L,Th-232,911.204,11.4810,4.175910e-03,1718.3,1940,0.8857,6.0,chain_Th232
Marinelli_1L,Th-232,2614.511,4.7379,1.917205e-03,1544.5,1940,0.7962,6.0,chain_Th232
Denta_120mL,Cs-137,661.657,1.6396,2.157337e-02,1117.7,1760,1.0651,5.0,cup_denta_Cs137
Denta_120mL,Ra-226,351.932,1.1746,8.118193e-03,1955.3,1780,1.1092,6.0,cup_denta_Ra226chain
Denta_120mL,Ra-226,609.320,1.6199,1.044714e-02,2095.3,1780,1.1887,6.0,cup_denta_Ra226chain
Denta_120mL,Ra-226,1120.294,0.2717,1.742236e-03,2107.4,1780,1.1955,6.0,cup_denta_Ra226chain
Denta_120mL,Th-232,583.187,2.3369,5.110494e-03,2381.7,1940,1.2277,6.0,cup_denta_Th232chain
Denta_120mL,Th-232,911.204,2.0058,3.931629e-03,2657.1,1940,1.3696,6.0,cup_denta_Th232chain
Denta_120mL,Th-232,2614.511,0.8053,1.983050e-03,2115.1,1940,1.0903,6.0,cup_denta_Th232chain
Petri_60mL,Cs-137,661.657,1.1648,2.606257e-02,1314.5,1760,1.2525,5.0,cup_petri_Cs137
Petri_60mL,Ra-226,351.932,0.8800,9.369483e-03,2538.5,1780,1.4400,6.0,cup_petri_Ra226chain
Petri_60mL,Ra-226,609.320,1.0869,1.292414e-02,2272.8,1780,1.2893,6.0,cup_petri_Ra226chain
Petri_60mL,Ra-226,1120.294,0.1807,2.097305e-03,2328.5,1780,1.3209,6.0,cup_petri_Ra226chain
Petri_60mL,Th-232,583.187,1.6314,6.219622e-03,2732.3,1940,1.4084,6.0,cup_petri_Th232chain
Petri_60mL,Th-232,911.204,1.3427,5.568035e-03,2512.0,1940,1.2948,6.0,cup_petri_Th232chain
Petri_60mL,Th-232,2614.511,0.5269,2.367867e-03,2318.1,1940,1.1949,6.0,cup_petri_Th232chain
