# Пайлап в аттестационных записях поверки 2024. Скорости счёта из .spe (TLIVE/TREAL и полная сумма отсчётов);
#   в .efr времени набора НЕТ — только геометрия и узлы eps.
# Доля пайлапа = полная скорость * tau; tau = 5 мкс — ОРИЕНТИР для тракта NaI+ADC ЛСРМ; точное значение из паспорта не
#   извлекается; поэтому это оценка порядка; а не поправка.
# Мёртвое время измеренное: 1 - TLIVE/TREAL.
# На записях наших выводов пайлап единицы процентов (Th-228 точечная 5 см 3;7 %; Ba-133 0;7 %; Am-241 0;9 %).
geometry,record,tlive_s,treal_s,dead_pct,total_rate_cps,pileup_pct
Точечная-5см,Am-241 №SRC-17 02.2019_Точечная-5см_5cm,1811.47,1818.40,0.38,1889,0.94
Точечная-5см,Ba-133 #SRC-07_Точечная-5см_5cm,6049.95,6070.08,0.33,1445,0.72
Точечная-5см,Bi-207 #SRC-11 04.2017_Точечная-5см_5cm,1800.23,1837.40,2.02,8337,4.17
Точечная-5см,Cd-109 #SRC-15 04.2017_Точечная-5см_5cm,1800.00,1800.77,0.04,41,0.02
Точечная-5см,Co-60 №SRC-10 02.2019_Точечная-5см_5cm,1800.01,1815.70,0.86,2961,1.48
Точечная-5см,Cs-137 №SRC-01,1799.99,1814.69,0.81,3012,1.51
Точечная-5см,Eu-152 №SRC-09_Точечная-5см_5cm,4168.43,4274.40,2.48,10616,5.31
Точечная-5см,Na-22 #SRC-12,1799.57,1877.56,4.15,15608,7.80
Точечная-5см,Th-228 №SRC-13_Точечная-5см_5cm,4904.97,4997.17,1.85,7487,3.74
Точечная-5см,Y-88 №SRC-02_Точечная-5см_5cm,2217.84,2229.96,0.54,1809,0.90
Точечная-5см,Zn-65 #SRC-08_Точечная-5см_5cm,2072.02,2072.88,0.04,22,0.01
Точечная-25см,Cs-137 №SRC-01_Точечная-25см_25cm,3434.77,3438.83,0.12,322,0.16
Точечная-25см,Na-22 #SRC-12_Точечная-25см_25cm,3187.19,3201.40,0.44,1550,0.77
Точечная-25см,Th-228 №SRC-03_Точечная-25см_25cm,7634.37,7641.74,0.10,250,0.12
Точечная-25см,Y-88 №SRC-02_Точечная-25см_25cm,2905.14,2907.95,0.10,218,0.11
Маринелли,Cs137_420-7-14_Маринелли_0cm,7577.54,7581.05,0.05,43,0.02
Маринелли,Cs137_420-7-15_Маринелли_0cm,11130.60,11137.99,0.07,119,0.06
Маринелли,K40_420-7-20_Маринелли_0cm,8627.51,8630.99,0.04,19,0.01
Маринелли,K40_420-7-21_Маринелли_0cm,6813.87,6816.87,0.04,32,0.02
Маринелли,Ra226_420-7-18_Маринелли_0cm,5242.53,5246.91,0.08,193,0.10
Маринелли,Ra226_420-7-19_Маринелли_0cm,5813.73,5823.67,0.17,534,0.27
Маринелли,Th-232_SRC-23_Маринелли_0cm,4284.60,4287.66,0.07,146,0.07
Маринелли,Th232_420-7-17_Маринелли_0cm,11359.16,11382.97,0.21,705,0.35
Петри-60мл,Cs137_420-7-14_Петри-60мл_0cm,9073.69,9077.14,0.04,11,0.01
Петри-60мл,Cs137_420-7-15_Петри-60мл_0cm,11415.82,11420.36,0.04,17,0.01
Петри-60мл,K40_420-7-20_Петри-60мл_0cm,58042.85,58064.68,0.04,8,0.00
Петри-60мл,K40_420-7-21_Петри-60мл_0cm,9758.08,9761.77,0.04,10,0.00
Петри-60мл,Ra226_420-7-18_Петри-60мл_0cm,9050.70,9054.46,0.04,24,0.01
Петри-60мл,Ra226_420-7-19_Петри-60мл_0cm,13301.42,13308.00,0.05,56,0.03
Петри-60мл,Th-232_SRC-23_Петри-60мл_0cm,55933.98,55956.60,0.04,20,0.01
Петри-60мл,Th232_420-7-17_Петри-60мл_0cm,61929.40,61963.34,0.05,77,0.04
