#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/shelf_window_effect.py
#@ src.git = 881509e-dirty
#@ src.tree_sha1 = bb5675dc3413
#@ src.inputs_verdict = unstamped
#@ src.inputs_n = 48
#@ src.inputs_sha1 = БЕЗ-ШТАМПА
#@ src.inputs_unstamped = 48
#@ obs.quantity = eps сетки моноэнергий при четырёх правилах съёма площади; отношения к прежнему правилу
#@ obs.area = пик полного поглощения в депозит-спектре
#@ obs.window = ±6;0 кэВ
#@ obs.shelf = сравниваются [E-30; E-10] и [E-25; E-10] односторонние
#@ obs.blurred = нет (депозит как есть)
#@ obs.cone = приведено делением на долю телесного угла из <сетка>_solidangle.txt
# Влияние двух правок окна съёма площади на eps сеток моноэнергий; прогоны НЕ переделывались.
# d_window25_pct — только край полки 30 -> 25 кэВ (пик вылета K-рентгена иода уходит из окна полки).
# d_channels_pct — только ширина окна пика: 2*win+1 = 13 каналов -> nchan() = 12 (сетка смещена на полканала).
# Обе правки только УМЕНЬШАЮТ вычитаемую полку; отсюда знак плюс и рост эффекта к мягкому краю.
grid,E_keV,eps_old,eps_new,d_window25_pct,d_channels_pct,d_both_pct
p5cm,45.3,3.080288e-02,3.415937e-02,+10.862,+0.870,+10.897
p5cm,56.1,3.728972e-02,3.996800e-02,+7.097,+0.631,+7.182
p5cm,59.5,3.863150e-02,4.098734e-02,+5.986,+0.371,+6.098
p5cm,88.0,4.290756e-02,4.397350e-02,+2.154,+0.496,+2.484
p5cm,122.1,4.255809e-02,4.313188e-02,+0.996,+0.429,+1.348
p5cm,165.9,4.009022e-02,4.047525e-02,+0.681,+0.332,+0.960
p5cm,238.6,3.466059e-02,3.487100e-02,+0.461,+0.182,+0.607
p5cm,242.0,3.406528e-02,3.429062e-02,+0.509,+0.191,+0.662
p5cm,295.2,3.012278e-02,3.025700e-02,+0.340,+0.131,+0.446
p5cm,338.3,2.685581e-02,2.696375e-02,+0.320,+0.107,+0.402
p5cm,351.9,2.614869e-02,2.624037e-02,+0.274,+0.097,+0.351
p5cm,463.0,2.009403e-02,2.015338e-02,+0.251,+0.063,+0.295
p5cm,583.2,1.592622e-02,1.596500e-02,+0.213,+0.047,+0.244
p5cm,609.3,1.534453e-02,1.537475e-02,+0.170,+0.040,+0.197
p5cm,661.7,1.407056e-02,1.410275e-02,+0.206,+0.039,+0.229
p5cm,768.4,1.240434e-02,1.242637e-02,+0.160,+0.029,+0.178
p5cm,911.2,1.048203e-02,1.050525e-02,+0.203,+0.034,+0.222
p5cm,1120.3,8.591719e-03,8.606625e-03,+0.162,+0.024,+0.173
p5cm,1460.8,6.709969e-03,6.724125e-03,+0.200,+0.027,+0.211
p5cm,1764.5,5.606625e-03,5.617695e-03,+0.193,+0.012,+0.197
p5cm,2614.5,3.695562e-03,3.704805e-03,+0.242,+0.018,+0.250
p5cm,3000.0,3.249375e-03,3.255500e-03,+0.183,+0.019,+0.188
p5cm,3304.8,2.910250e-03,2.918500e-03,+0.279,+0.026,+0.283
p5cm,3552.5,2.756625e-03,2.761094e-03,+0.157,+0.011,+0.162
p25cm,45.3,2.028518e-03,2.241596e-03,+10.462,+0.847,+10.504
p25cm,56.1,2.470961e-03,2.643520e-03,+6.872,+0.640,+6.983
p25cm,59.5,2.549645e-03,2.706967e-03,+6.013,+0.406,+6.170
p25cm,88.0,2.763770e-03,2.816950e-03,+1.298,+0.726,+1.924
p25cm,122.1,2.737403e-03,2.782518e-03,+0.981,+0.743,+1.648
p25cm,165.9,2.722347e-03,2.757901e-03,+0.904,+0.472,+1.306
p25cm,238.6,2.576884e-03,2.590466e-03,+0.318,+0.233,+0.527
p25cm,242.0,2.552643e-03,2.566953e-03,+0.340,+0.247,+0.561
p25cm,295.2,2.351723e-03,2.361537e-03,+0.272,+0.167,+0.417
p25cm,338.3,2.163899e-03,2.173135e-03,+0.330,+0.122,+0.427
p25cm,351.9,2.109145e-03,2.117201e-03,+0.286,+0.118,+0.382
p25cm,463.0,1.663864e-03,1.669893e-03,+0.314,+0.072,+0.362
p25cm,583.2,1.351293e-03,1.356191e-03,+0.341,+0.048,+0.363
p25cm,609.3,1.310900e-03,1.314492e-03,+0.252,+0.042,+0.274
p25cm,661.7,1.250578e-03,1.254639e-03,+0.299,+0.049,+0.325
p25cm,768.4,1.053040e-03,1.055519e-03,+0.221,+0.032,+0.235
p25cm,911.2,8.952350e-04,8.968260e-04,+0.170,+0.021,+0.178
p25cm,1120.3,7.715848e-04,7.733349e-04,+0.221,+0.023,+0.227
p25cm,1460.8,5.899237e-04,5.911294e-04,+0.197,+0.023,+0.204
p25cm,1764.5,5.065663e-04,5.073555e-04,+0.150,+0.011,+0.156
p25cm,2614.5,3.378756e-04,3.386103e-04,+0.204,+0.020,+0.217
p25cm,3000.0,2.992825e-04,2.996677e-04,+0.121,+0.017,+0.129
p25cm,3304.8,2.571977e-04,2.578006e-04,+0.226,+0.026,+0.234
p25cm,3552.5,2.546187e-04,2.549181e-04,+0.114,+0.008,+0.118
