# Извлечено 2026-08-09 из IAEA Live Chart of Nuclides (nds.iaea.org/relnsd/v1/data?fields=gammas), схема уровней ВНЕ распада (ADOPTED LEVELS ENSDF), не decay_rads.
# Роль — ПЕРЕКРЁСТНАЯ ПРОВЕРКА к data/conversion_coeff_sum_peak_levels.csv, не замена: полнота tot_conv_coeff ниже (см. докстринг tools/fetch_adopted_gammas.py). Сверка — tools/check_cc_cross_source.py.
nuclide,E_keV,level,start_jp,end_jp,relative_intensity,multipolarity,mixing_ratio,tot_conv_coeff,tce_unc,source
Ac228,6.28,6.28->0,1-,3+,,(M2),,6680000.0,190000,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=KHALIFEH ABUSALEEM"
Ac228,6.67,6.67->0,1+,3+,,E2,,1560000.0,40000,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=KHALIFEH ABUSALEEM"
Ac228,12.75,33.07->20.19,1+,1-,,[E1+M2],,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=KHALIFEH ABUSALEEM"
Ac228,13.52,20.19->6.67,1-,1+,,E1,,5.86,0.09,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=KHALIFEH ABUSALEEM"
Ac228,26.4,33.07->6.67,1+,1+,,M1+E2,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=KHALIFEH ABUSALEEM"
Bi212,37.6,250.7->213.1,(4-),(3-),100,M1,,33.5,1.2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=K. Auranen and E.A. McCutchan"
Bi212,97.9,213.1->115.183,(3-),2(-),100,M1(+E2),,9.1,1.7,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=K. Auranen and E.A. McCutchan"
Bi212,115.183,115.183->0,2(-),1(-),100,M1,,6.8,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=K. Auranen and E.A. McCutchan"
Bi212,123.5,238.632->115.183,0(-),2(-),,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=K. Auranen and E.A. McCutchan"
Bi212,176.68,415.272->238.632,1(-),0(-),1.6,M1,,2.02,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=K. Auranen and E.A. McCutchan"
Bi212,204.8,417.9->213.1,,(3-),7.7,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=K. Auranen and E.A. McCutchan"
Bi212,238.632,238.632->0,0(-),1(-),100,M1,,0.872,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=K. Auranen and E.A. McCutchan"
Bi212,300.087,415.272->115.183,1(-),2(-),100,M1,,0.464,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=K. Auranen and E.A. McCutchan"
