# Извлечено 2026-08-09 из IAEA Live Chart of Nuclides (nds.iaea.org/relnsd/v1/data?fields=decay_rads&rad_types=g).
# Только строки с непустыми start_level_energy/end_level_energy (нуклидные гамма-переходы, не характеристический рентген).
# Назначение: F_B в export_data.py._sum_peaks_with_fb() и в tools/enumerate_sum_peaks.py (аудит Б1/Б4, коммит df5d178). Список нуклидов — ОБЕ цепочки целиком (Th-232 и Ra-226), см. докстринг tools/fetch_conversion_coeff.py.
nuclide,E_keV,I_percent,level,conversion_coeff,unc_cc,multipolarity,source
Ac228,18.4,0.014,1450.35->1431.981,6.47,,[E1],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,42.46,0.009,1688.398->1646.005,46.3,,[M1],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,57.766,0.47,57.763->0.0,153.1,,E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,77.34,0.026,1168.377->1091.020,0.232,,[E1],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,99.509,1.26,1531.478->1431.981,3.84,,M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,100.41,0.093,1122.949->1022.531,3.1,,(E1+M2),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,114.56,0.0098,1646.005->1531.478,9.0,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,129.065,2.42,186.827->57.763,3.74,,E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,135.54,0.018,1226.566->1091.020,0.238,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,141.02,0.05,519.195->378.178,0.217,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,145.849,0.158,1168.377->1022.531,0.2,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,153.977,0.722,1122.949->968.972,0.1757,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,168.65,0.003,1928.66->1760.17,2.7,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,168.65,0.01,1344.082->1175.45,0.1414,,[E1],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,173.964,0.035,1153.465->979.507,2.2,,M1+E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,184.54,0.07,1153.465->968.972,63.0,,E0+M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,191.353,0.123,378.178->186.827,0.776,,E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,199.407,0.315,1168.377->968.972,0.095,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,204.026,0.112,1226.566->1022.531,0.09,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,209.253,3.89,396.083->186.827,0.0848,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,214.85,0.029,2010.20->1795.65,0.516,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,214.85,0.76,1153.465->938.61,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,223.85,0.054,1450.35->1226.566,1.85,,M1+E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,231.42,0.025,1175.45->944.200,1.1,,[D E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,257.52,0.03,1431.981->1174.50,1.285,,(M1),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,263.58,0.04,1431.981->1168.377,0.0498,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,270.245,3.46,328.006->57.763,0.047,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,278.95,0.16,1153.465->874.48,0.6,,(M1 E2),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,278.95,0.031,1431.981->1153.465,0.211,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,282.0,0.072,1450.35->1168.377,0.83,,M1+E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,321.646,0.226,1153.465->831.822,0.1369,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,326.04,0.033,1758.24->1431.981,0.13,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,327.44,0.12,1450.35->1122.949,0.1299,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,328.0,2.95,328.006->0.0,0.0305,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,332.37,0.4,519.195->186.827,0.0297,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,338.32,11.27,396.083->57.763,0.0285,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,340.96,0.369,1431.981->1091.020,0.133,,E2+M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,356.94,0.017,1531.478->1174.50,0.1015,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,372.57,0.0067,2010.20->1638.283,0.28,,[D E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,377.99,0.025,1531.478->1153.465,0.27,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,384.63,0.0067,2022.64->1638.283,0.25,,[D E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,389.12,0.0103,1928.66->1539.24,0.25,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,397.94,0.027,1937.18->1539.24,,,[D E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,399.62,0.029,1743.87->1344.082,0.02,,[E1],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,409.462,1.92,1431.981->1022.531,0.08,,E2+M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,416.3,0.0132,1539.24->1122.949,0.0183,,[E1],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
