nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Am241,26.3446,2.27,0.12212817037850031,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,59.54090->33.19632,gamma
Am241,33.196,0.126,0.0032538592471094995,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,33.19632->0.0,gamma
Am241,42.704,0.0055,0.0011013741416975433,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,75.900->33.19632,gamma
Am241,43.42,0.073,0.008033237205510614,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,102.959->59.54090,gamma
Am241,51.01,2.6e-05,0.000012002816336177106,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,332.382->281.363,gamma
Am241,55.56,0.0181,0.001809077389168302,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,158.500->102.959,gamma
Am241,59.5409,35.9,0.3657608508301565,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,59.54090->0.0,gamma
Am241,64.83,0.000145,0.000018058308337161595,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,332.382->267.566,gamma
Am241,67.45,0.00042,0.00010008816113806868,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,226.005->158.500,gamma
Am241,69.76,0.0029,0.0004010498722104272,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,102.959->33.19632,gamma
Am241,75.8,0.00059,0.000059294266164613257,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,75.900->0.0,gamma
Am241,98.97,0.0203,0.0004485632619820754,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,158.500->59.54090,gamma
Am241,102.98,0.0195,0.000445,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,102.959->0.0,gamma
Am241,109.7,4.9e-06,0.000000049,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,434.12->324.421,gamma
