nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Bi214,13.292,0.608195,0.02669082815753011,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,,gamma
Bi214,76.862,0.412,0.010034670654013497,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,,gamma
Bi214,79.290,0.686095,0.01646459650923169,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,,gamma
Bi214,89.837,0.236204,0.00663553295181195,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,,gamma
Bi214,90.941,0.309663,0.008618642265255457,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,,gamma
Bi214,92.315,0.0734593,0.0023776999298982405,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,,gamma
Bi214,221.500,0.0027,0.0009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1764.520->1543.370,gamma
Bi214,230.000,0.0029,0.001,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1994.639->1764.520,gamma
Bi214,252.790,0.0123,0.0018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2017.315->1764.520,gamma
Bi214,268.600,0.0159,0.0018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1543.370->1274.765,gamma
Bi214,273.790,0.127,0.014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2482.460->2208.69,gamma
Bi214,280.970,0.064,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2728.617->2447.701,gamma
Bi214,282.000,0.01,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2826.82->2544.92,gamma
