nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Th232,63.81,0.263,0.013,IAEA-NDS/ENSDF;decay=A;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,63.810->0,gamma
Th232,140.88,0.021,0.004,IAEA-NDS/ENSDF;decay=A;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,204.690->63.810,gamma
Th232,14.92,7.139185247404,0.4525909722248524,IAEA-NDS/ENSDF;decay=A;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=Xray-L,,xray
Th232,85.432,0.0017186919382840059,0.000328458913967966,IAEA-NDS/ENSDF;decay=A;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=Xray-KA2,,xray
Th232,88.471,0.002807402708729183,0.0005363997381827675,IAEA-NDS/ENSDF;decay=A;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=Xray-KA1,,xray
Th232,100.119,0.0009849708983334425,0.00018871802972065881,IAEA-NDS/ENSDF;decay=A;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=Xray-KpB1,,xray
Th232,101.37,0.0013080413529868117,0.00025056914994206594,IAEA-NDS/ENSDF;decay=A;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=Xray-KB,,xray
Th232,102.948,0.00032307045465336916,0.00006209512053333575,IAEA-NDS/ENSDF;decay=A;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=Xray-KpB2,,xray
Ac228,18.4,0.014,0.004,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1450.35->1431.981,gamma
Ac228,42.46,0.009,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1688.398->1646.005,gamma
Ac228,56.96,0.019,0.004,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,,gamma
Ac228,57.766,0.47,0.03,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,57.763->0.0,gamma
Ac228,77.34,0.026,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1168.377->1091.020,gamma
Ac228,99.509,1.26,0.07,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1531.478->1431.981,gamma
Ac228,100.41,0.093,0.013,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1122.949->1022.531,gamma
Ac228,114.56,0.0098,0.0021,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1646.005->1531.478,gamma
Ac228,129.065,2.42,0.09,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,186.827->57.763,gamma
Ac228,135.54,0.018,0.004,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1226.566->1091.020,gamma
Ac228,137.91,0.024,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,,gamma
Ac228,141.02,0.05,0.008,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,519.195->378.178,gamma
Ac228,145.849,0.158,0.008,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1168.377->1022.531,gamma
Ac228,153.977,0.722,0.021,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1122.949->968.972,gamma
Ac228,168.65,0.003,0.0007,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1928.66->1760.17,gamma
Ac228,168.65,0.01,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1344.082->1175.45,gamma
Ac228,173.964,0.035,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1153.465->979.507,gamma
Ac228,184.54,0.07,0.008,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1153.465->968.972,gamma
Ac228,191.353,0.123,0.008,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,378.178->186.827,gamma
Ac228,199.407,0.315,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1168.377->968.972,gamma
Ac228,204.026,0.112,0.015,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1226.566->1022.531,gamma
Ac228,209.253,3.89,0.07,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,396.083->186.827,gamma
Ac228,214.85,0.029,0.004,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,2010.20->1795.65,gamma
Ac228,214.85,0.76,0.11,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1153.465->938.61,gamma
Ac228,223.85,0.054,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1450.35->1226.566,gamma
Ac228,231.42,0.025,0.004,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1175.45->944.200,gamma
Ac228,257.52,0.03,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1431.981->1174.50,gamma
Ac228,263.58,0.04,0.004,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1431.981->1168.377,gamma
Ac228,270.245,3.46,0.06,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,328.006->57.763,gamma
Ac228,278.95,0.031,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1431.981->1153.465,gamma
Ac228,278.95,0.16,0.021,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1153.465->874.48,gamma
Ac228,282,0.072,0.019,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1450.35->1168.377,gamma
Ac228,321.646,0.226,0.011,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1153.465->831.822,gamma
Ac228,326.04,0.033,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1758.24->1431.981,gamma
Ac228,327.44,0.12,0.04,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1450.35->1122.949,gamma
Ac228,328,2.95,0.12,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,328.006->0.0,gamma
Ac228,332.37,0.4,0.04,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,519.195->186.827,gamma
Ac228,338.32,11.27,0.19,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,396.083->57.763,gamma
Ac228,340.96,0.369,0.021,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1431.981->1091.020,gamma
Ac228,356.94,0.017,0.0018,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1531.478->1174.50,gamma
Ac228,372.57,0.0067,0.0015,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,2010.20->1638.283,gamma
Ac228,377.99,0.025,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1531.478->1153.465,gamma
Ac228,384.63,0.0067,0.0015,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,2022.64->1638.283,gamma
Ac228,389.12,0.0103,0.0015,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1928.66->1539.24,gamma
Ac228,397.94,0.027,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1937.18->1539.24,gamma
