E_keV,fwhm_keV,d_fwhm_keV,source
59.541,7.4610,0.0170,Am-241 42.13
88.034,10.5100,0.0740,Cd-109 #SRC-07
122.061,13.5840,0.2850,Co-57 #SRC-07
356.013,28.3810,0.1000,Ba-133 #SRC-07
511.000,35.6690,0.0370,Na-22
1274.537,62.2850,0.1630,Na-22
661.657,41.8500,0.0370,Cs-137 #SRC-07
834.848,48.2350,0.1260,Mn-54
898.042,50.4230,0.9350,Y-88
1836.063,77.5290,2.0480,Y-88
1173.228,59.2450,0.0000,Co-60 #SRC-07
1332.492,63.9950,0.0000,Co-60 #SRC-07
344.279,27.7780,0.0960,Eu-152 #SRC-07
1408.013,66.1260,0.4620,Eu-152 #SRC-07
583.187,38.7280,0.0000,Th-228 #SRC-07
2614.511,95.8690,0.0000,Th-228 #SRC-07
