E_keV,measured,baseline,apparent
-3.71,2.858310e-04,0.000000e+00,0.000000e+00
-1.27,3.037975e-04,0.000000e+00,0.000000e+00
1.18,2.629645e-04,5.346891e-03,5.572331e-03
3.62,2.155982e-04,6.156081e-03,6.324722e-03
6.07,2.433646e-04,6.713505e-03,6.998673e-03
8.52,1.287056e-03,7.245033e-03,7.663880e-03
10.97,7.888934e-03,7.733500e-03,8.120194e-03
13.41,1.881421e-02,8.237012e-03,8.573305e-03
15.86,2.607758e-02,8.712446e-03,9.092860e-03
18.31,2.929522e-02,9.204159e-03,9.688656e-03
20.76,3.132707e-02,9.670148e-03,1.026081e-02
23.22,3.343732e-02,1.015226e-02,1.086488e-02
25.67,3.452675e-02,1.056889e-02,1.147427e-02
28.12,3.663373e-02,1.099106e-02,1.230421e-02
30.57,3.847775e-02,1.142166e-02,1.340635e-02
33.03,4.160719e-02,1.195885e-02,1.492262e-02
35.48,4.550592e-02,1.268221e-02,1.681120e-02
37.93,5.088934e-02,1.370122e-02,1.899969e-02
40.39,5.559004e-02,1.514846e-02,2.142815e-02
42.85,6.133279e-02,1.698585e-02,2.382077e-02
45.30,6.757697e-02,1.937045e-02,2.626482e-02
47.76,7.495304e-02,2.195910e-02,2.841268e-02
50.22,8.072519e-02,2.499587e-02,3.051782e-02
52.68,8.724867e-02,2.791577e-02,3.227121e-02
55.14,9.369212e-02,3.096261e-02,3.392948e-02
57.60,1.001094e-01,3.370833e-02,3.535328e-02
60.06,1.057101e-01,3.628379e-02,3.669208e-02
62.52,1.101788e-01,3.851156e-02,3.788956e-02
64.98,1.144875e-01,4.043910e-02,3.895759e-02
67.44,1.176137e-01,4.206328e-02,3.984973e-02
69.91,1.204557e-01,4.334443e-02,4.050056e-02
72.37,1.212952e-01,4.433206e-02,4.091492e-02
74.84,1.208118e-01,4.495378e-02,4.107540e-02
77.30,1.200082e-01,4.527898e-02,4.103349e-02
79.77,1.181102e-01,4.531179e-02,4.084769e-02
82.23,1.164671e-01,4.510788e-02,4.054049e-02
84.70,1.136938e-01,4.474884e-02,4.019552e-02
87.17,1.108959e-01,4.421956e-02,3.978672e-02
89.64,1.089147e-01,4.359379e-02,3.937471e-02
92.11,1.061151e-01,4.280730e-02,3.892272e-02
94.58,1.042499e-01,4.192226e-02,3.846966e-02
97.05,1.009931e-01,4.089934e-02,3.798826e-02
99.52,9.893508e-02,3.980687e-02,3.749363e-02
