# Feng et al., arXiv:2312.16658
# Fig. 11. Comparison of the light yield non-linearity of LaBr3(Ce), LaBr3(Ce,Sr), and NaI(Tl) crystals for 3-400 keV Compton electrons (page 8)
# Маркер этого набора: blue
# Способ: оцифровка растрового изображения
# Множитель рендера: 6.0
# Дата генерации: 2026-09-07
# Оцифровка графика, НЕ табличные данные автора
E_keV,rel_light_yield
4.11,0.8217
4.12,0.8699
5.13,0.9569
6.12,1.0132
6.13,0.9876
7.12,1.0221
8.14,1.0442
9.14,1.0665
10.11,1.0905
11.14,1.0832
12.18,1.1135
13.13,1.1286
14.11,1.1554
16.69,1.1339
18.68,1.1269
21.66,1.1366
26.64,1.1055
31.68,1.1076
36.72,1.0898
41.64,1.0733
46.69,1.0626
51.72,1.0596
56.85,1.0516
61.74,1.0506
66.84,1.0507
76.65,1.0449
86.65,1.0395
96.91,1.0390
106.81,1.0364
116.70,1.0341
126.56,1.0340
136.66,1.0381
146.29,1.0320
156.78,1.0291
166.73,1.0299
176.30,1.0408
187.53,1.0286
199.65,1.0171
212.83,1.0132
225.99,1.0126
239.13,1.0090
252.99,1.0084
269.40,1.0082
289.77,1.0066
309.88,1.0080
331.76,1.0113
350.01,1.0083
372.25,1.0092
