# Feng et al., arXiv:2312.16658
# Fig. 16. The light yield non-linearity of NaI(Tl) crystal for Compton electrons, gamma rays and X-rays (page 9)
# Маркер этого набора: black
# Способ: оцифровка растрового изображения
# Множитель рендера: 6.0
# Дата генерации: 2026-09-07
# Оцифровка графика, НЕ табличные данные автора
E_keV,rel_light_yield
4.13,0.8612
4.15,0.9017
5.13,0.9527
6.14,1.0060
7.13,1.0336
7.15,1.0165
8.14,1.0460
9.16,1.0673
10.10,1.0891
11.12,1.0732
11.16,1.0849
12.14,1.1166
13.12,1.1327
14.09,1.1557
16.58,1.1348
18.69,1.1254
21.76,1.1361
26.69,1.1079
31.52,1.1083
36.75,1.0892
41.74,1.0742
46.51,1.0623
51.75,1.0603
56.45,1.0513
61.74,1.0508
66.87,1.0511
76.73,1.0465
86.91,1.0410
96.32,1.0403
106.29,1.0370
116.89,1.0344
127.16,1.0344
135.36,1.0396
141.20,1.0363
148.92,1.0319
156.74,1.0301
165.49,1.0301
180.64,1.0372
196.42,1.0196
206.77,1.0153
217.97,1.0131
230.13,1.0108
240.52,1.0096
251.43,1.0086
265.05,1.0083
281.08,1.0073
304.16,1.0080
329.82,1.0117
345.28,1.0119
363.17,1.0105
379.45,1.0099
