# Температура: 26.0 °C
# Способ: линейная интерполяция по значениям
# Проверка линейности: max|откл.| = 0.014904, порог = 0.005
# Источник: Payne S.A. et al., IEEE TNS 61 (2014) 2771, OSTI 1762905
# Оцифровка графика, не табличные данные автора
E_keV,rel_light_yield
6.517000,1.137226
7.004040,1.143757
7.527479,1.150306
8.090036,1.155378
8.694635,1.159852
9.344418,1.161812
10.042761,1.163603
10.793295,1.164668
11.599919,1.164730
12.466825,1.164730
13.398518,1.162735
14.399840,1.158096
15.475994,1.156268
16.632574,1.154839
17.875589,1.150151
19.211500,1.146500
20.647248,1.138849
22.190295,1.134166
23.848660,1.130640
25.630960,1.126584
27.546459,1.120904
29.605110,1.112993
31.817612,1.109009
34.195463,1.105924
36.751019,1.102045
39.497562,1.094008
42.449365,1.092018
45.621767,1.086089
49.031254,1.080879
52.695546,1.077827
56.633683,1.071310
60.866133,1.068390
65.414890,1.062779
70.303592,1.058263
75.557646,1.053426
81.204355,1.050585
87.273064,1.044285
93.795311,1.042022
100.804990,1.038020
108.338529,1.035819
116.435078,1.032051
125.136712,1.029011
134.488653,1.024843
144.539499,1.020911
155.341484,1.017568
166.950741,1.015727
179.427603,1.013367
192.836907,1.010226
207.248340,1.008156
222.736794,1.004515
239.382758,1.003535
257.272739,1.001380
276.499705,1.000383
297.163576,0.996952
319.371735,0.994003
343.239595,0.992325
368.891191,0.991339
396.459827,0.990213
426.088772,0.989558
457.932000,0.986800
