# Температура: 26.0 °C
# Способ: линейная интерполяция по значениям
# Проверка линейности: max|откл.| = 0.014904, порог = 0.005
# Источник: Payne S.A. et al., IEEE TNS 61 (2014) 2771, OSTI 1762905
# Оцифровка графика, не табличные данные автора
E_keV,rel_light_yield
6.505000,1.083724
6.986293,1.092390
7.503196,1.100588
8.058344,1.104367
8.654567,1.110782
9.294902,1.120485
9.982615,1.127529
10.721211,1.134320
11.514454,1.143799
12.366387,1.143385
13.281354,1.142564
14.264017,1.142485
15.319386,1.138704
16.452840,1.140265
17.670156,1.143507
18.977539,1.140470
20.381652,1.139833
21.889654,1.136540
23.509230,1.131851
25.248635,1.127416
27.116736,1.126641
29.123054,1.128475
31.277816,1.117740
33.592005,1.112909
36.077417,1.113261
38.746719,1.112697
41.613519,1.108815
44.692428,1.104598
47.999140,1.100100
51.550509,1.093730
55.364638,1.088277
59.460967,1.081565
63.860376,1.076376
68.585290,1.073975
73.659791,1.065275
79.109746,1.060699
84.962933,1.057398
91.249186,1.055405
98.000548,1.046305
105.251432,1.041946
113.038794,1.035717
121.402330,1.032298
130.384669,1.027498
140.031594,1.025363
150.392278,1.019884
161.519531,1.018728
173.470068,1.013097
186.304804,1.011106
200.089160,1.009100
214.893394,1.004661
230.792967,1.001632
247.868921,1.000348
266.208294,0.999217
285.904563,0.998367
307.058124,0.994950
329.776799,0.993164
354.176387,0.991428
380.381256,0.987130
408.524977,0.986256
438.751000,0.975578
