# Источник: Payne S.A. et al., IEEE TNS 61 (2014) 2771, DOI 10.1109/TNS.2014.2343572, OSTI 1762905
# Панель: CsI(Tl)
# Температура: T_m40
# Способ: извлечение векторных путей PDF
# Дата генерации: 2026-09-03 22:20:49
# Оцифровка графика, не табличные данные автора
# ВНИМАНИЕ: данные Fig. 2 обрываются около 458 кэВ, поэтому
#   колонка rel_to_662 ПУСТА: нормировка на 662 кэВ из этого
#   рисунка недостижима. rel_to_max_E — нормировка на самую
#   высокую энергию кривой. К какой точке нормировал автор,
#   в тексте статьи не сказано (проверено поиском по тексту).
E_keV,rel_light_yield,rel_to_662,rel_to_max_E
5.754,1.1104,,1.1293
6.431,1.1327,,1.1520
7.452,1.1549,,1.1746
8.384,1.1676,,1.1876
9.433,1.1804,,1.2005
10.614,1.1740,,1.1940
11.595,1.1804,,1.2005
12.667,1.1772,,1.1973
13.436,1.1867,,1.2070
14.678,1.1804,,1.2005
15.570,1.1868,,1.2071
16.515,1.1804,,1.2005
17.518,1.1740,,1.1940
18.581,1.1740,,1.1940
19.710,1.1772,,1.1973
20.906,1.1676,,1.1876
22.839,1.1645,,1.1843
24.950,1.1549,,1.1746
27.257,1.1517,,1.1714
28.912,1.1454,,1.1649
30.668,1.1390,,1.1584
33.503,1.1295,,1.1487
35.537,1.1358,,1.1552
36.600,1.1231,,1.1423
38.822,1.1358,,1.1552
41.180,1.1295,,1.1487
43.680,1.1295,,1.1487
44.986,1.1231,,1.1423
47.718,1.1231,,1.1423
49.145,1.1136,,1.1326
50.615,1.1136,,1.1326
53.689,1.1136,,1.1326
55.295,1.1040,,1.1229
56.949,1.1072,,1.1261
58.652,1.0945,,1.1132
60.407,1.0977,,1.1164
62.214,1.0913,,1.1099
65.991,1.0913,,1.1099
67.965,1.0882,,1.1067
69.998,1.0882,,1.1067
72.092,1.0834,,1.1019
74.248,1.0850,,1.1035
76.469,1.0786,,1.0970
78.756,1.0754,,1.0938
81.112,1.0786,,1.0970
83.538,1.0723,,1.0905
86.037,1.0675,,1.0857
88.611,1.0659,,1.0841
91.261,1.0659,,1.0841
93.991,1.0675,,1.0857
96.803,1.0627,,1.0808
99.698,1.0532,,1.0711
102.681,1.0564,,1.0744
105.752,1.0405,,1.0582
108.915,1.0468,,1.0647
112.173,1.0452,,1.0631
115.528,1.0405,,1.0582
118.984,1.0436,,1.0614
122.543,1.0373,,1.0550
126.209,1.0405,,1.0582
129.984,1.0373,,1.0550
133.872,1.0309,,1.0485
137.876,1.0262,,1.0437
142.001,1.0357,,1.0534
146.248,1.0293,,1.0469
150.623,1.0246,,1.0420
155.128,1.0309,,1.0485
159.768,1.0293,,1.0469
164.547,1.0182,,1.0356
169.469,1.0277,,1.0453
174.539,1.0198,,1.0372
179.759,1.0246,,1.0420
202.252,1.0118,,1.0291
208.302,1.0150,,1.0323
214.532,1.0150,,1.0323
220.950,1.0087,,1.0259
227.559,1.0087,,1.0259
234.365,1.0118,,1.0291
241.376,1.0071,,1.0243
248.596,1.0055,,1.0226
256.032,1.0103,,1.0275
263.690,1.0023,,1.0194
314.699,1.0055,,1.0226
324.113,0.9959,,1.0129
333.807,0.9959,,1.0129
343.792,0.9944,,1.0113
354.076,0.9959,,1.0129
364.667,0.9880,,1.0049
375.575,0.9864,,1.0032
386.809,0.9880,,1.0049
398.380,0.9864,,1.0032
410.296,0.9843,,1.0011
422.568,0.9843,,1.0011
435.209,0.9822,,0.9989
448.227,0.9880,,1.0049
458.752,0.9832,,1.0000
