# Источник: Payne S.A. et al., IEEE TNS 61 (2014) 2771, DOI 10.1109/TNS.2014.2343572, OSTI 1762905
# Панель: CsI(Tl)
# Температура: T_p40
# Способ: извлечение векторных путей PDF
# Дата генерации: 2026-09-03 22:20:49
# Оцифровка графика, не табличные данные автора
# ВНИМАНИЕ: данные Fig. 2 обрываются около 458 кэВ, поэтому
#   колонка rel_to_662 ПУСТА: нормировка на 662 кэВ из этого
#   рисунка недостижима. rel_to_max_E — нормировка на самую
#   высокую энергию кривой. К какой точке нормировал автор,
#   в тексте статьи не сказано (проверено поиском по тексту).
E_keV,rel_light_yield,rel_to_662,rel_to_max_E
6.505,1.0754,,1.1076
7.452,1.0913,,1.1239
8.384,1.1009,,1.1338
9.433,1.1136,,1.1469
10.614,1.1263,,1.1600
11.595,1.1358,,1.1698
12.667,1.1327,,1.1665
13.436,1.1358,,1.1698
14.678,1.1358,,1.1698
15.570,1.1295,,1.1632
16.515,1.1327,,1.1665
17.518,1.1399,,1.1739
18.581,1.1327,,1.1665
19.710,1.1327,,1.1665
20.906,1.1327,,1.1665
22.839,1.1295,,1.1632
24.950,1.1231,,1.1567
27.257,1.1199,,1.1534
28.912,1.1231,,1.1567
30.668,1.1136,,1.1469
33.503,1.1072,,1.1403
35.537,1.1104,,1.1436
36.600,1.1040,,1.1370
38.822,1.1072,,1.1403
41.180,1.1040,,1.1370
43.680,1.1009,,1.1338
44.986,1.0977,,1.1305
47.718,1.0945,,1.1272
49.145,1.0913,,1.1239
50.615,1.0882,,1.1207
53.689,1.0882,,1.1207
55.295,1.0850,,1.1174
56.949,1.0850,,1.1174
58.652,1.0754,,1.1076
60.407,1.0754,,1.1076
62.214,1.0723,,1.1043
65.991,1.0723,,1.1043
67.965,1.0691,,1.1010
69.998,1.0691,,1.1010
72.092,1.0627,,1.0945
74.248,1.0564,,1.0879
76.469,1.0659,,1.0977
78.756,1.0564,,1.0879
81.112,1.0532,,1.0846
83.538,1.0595,,1.0912
86.037,1.0500,,1.0814
88.611,1.0532,,1.0846
91.261,1.0532,,1.0846
93.991,1.0484,,1.0797
96.803,1.0436,,1.0748
99.698,1.0405,,1.0715
102.681,1.0405,,1.0715
105.752,1.0405,,1.0715
108.915,1.0373,,1.0683
112.173,1.0357,,1.0666
115.528,1.0325,,1.0634
118.984,1.0341,,1.0650
122.543,1.0309,,1.0617
126.209,1.0246,,1.0552
129.984,1.0277,,1.0584
133.872,1.0230,,1.0535
137.876,1.0246,,1.0552
142.001,1.0230,,1.0535
146.248,1.0166,,1.0470
150.623,1.0182,,1.0486
155.128,1.0171,,1.0475
159.768,1.0182,,1.0486
164.547,1.0166,,1.0470
169.469,1.0118,,1.0421
179.759,1.0118,,1.0421
185.137,1.0087,,1.0388
190.674,1.0118,,1.0421
196.378,1.0134,,1.0437
202.252,1.0087,,1.0388
208.302,1.0055,,1.0355
214.532,1.0023,,1.0323
220.950,1.0039,,1.0339
227.559,0.9991,,1.0290
234.365,0.9991,,1.0290
241.376,0.9991,,1.0290
248.596,0.9975,,1.0273
256.032,1.0007,,1.0306
263.690,0.9991,,1.0290
271.578,0.9944,,1.0241
279.701,0.9928,,1.0224
305.559,0.9912,,1.0208
314.699,0.9928,,1.0224
324.113,0.9912,,1.0208
333.807,0.9885,,1.0181
343.792,0.9864,,1.0159
354.076,0.9912,,1.0208
364.667,0.9896,,1.0192
375.575,0.9896,,1.0192
386.809,0.9880,,1.0175
398.380,0.9864,,1.0159
410.296,0.9864,,1.0159
422.568,0.9864,,1.0159
435.209,0.9848,,1.0142
438.751,0.9710,,1.0000
