metric,value
n_events,100000000
n_hits_in_crystal,27097
n_hits_direct,27097
n_hits_pb_scat,0
n_hits_pb_born,0
flux_total_cm2_s,0.09173247
surface_cm2,11309.73355
rate_per_s,259.3674485
t_run_s,385553.3938
cps_total,0.07028079751
shield,0
shield_pb_mm,0
shield_cavity_mm,none
stand_mm,25
device_z_mm,0
screen_up,1
em_cut_mm,0.05
em_deex,deex

bin_keV,counts,cps,counts_direct,counts_pb_scat,counts_pb_born
0,13,3.37177683e-05,13,0,0
1,28,7.262288557e-05,28,0,0
2,30,7.781023454e-05,30,0,0
3,27,7.002921108e-05,27,0,0
4,30,7.781023454e-05,30,0,0
5,25,6.484186212e-05,25,0,0
6,33,8.559125799e-05,33,0,0
7,34,8.818493248e-05,34,0,0
8,27,7.002921108e-05,27,0,0
9,31,8.040390902e-05,31,0,0
10,28,7.262288557e-05,28,0,0
11,33,8.559125799e-05,33,0,0
12,31,8.040390902e-05,31,0,0
13,28,7.262288557e-05,28,0,0
14,51,0.0001322773987,51,0,0
15,34,8.818493248e-05,34,0,0
16,47,0.0001219027008,47,0,0
17,33,8.559125799e-05,33,0,0
18,60,0.0001556204691,60,0,0
19,15,3.890511727e-05,15,0,0
20,52,0.0001348710732,52,0,0
21,28,7.262288557e-05,28,0,0
22,70,0.0001815572139,70,0,0
23,28,7.262288557e-05,28,0,0
24,42,0.0001089343284,42,0,0
25,29,7.521656005e-05,29,0,0
26,59,0.0001530267946,59,0,0
27,21,5.446716418e-05,21,0,0
28,61,0.0001582141436,61,0,0
29,35,9.077860696e-05,35,0,0
30,63,0.0001634014925,63,0,0
31,29,7.521656005e-05,29,0,0
32,46,0.0001193090263,46,0,0
33,29,7.521656005e-05,29,0,0
34,59,0.0001530267946,59,0,0
35,39,0.0001011533049,39,0,0
36,89,0.0002308370291,89,0,0
37,33,8.559125799e-05,33,0,0
38,87,0.0002256496802,87,0,0
39,36,9.337228145e-05,36,0,0
40,70,0.0001815572139,70,0,0
41,56,0.0001452457711,56,0,0
42,76,0.0001971192608,76,0,0
43,42,0.0001089343284,42,0,0
44,100,0.0002593674485,100,0,0
45,51,0.0001322773987,51,0,0
46,95,0.000246399076,95,0,0
47,84,0.0002178686567,84,0,0
48,95,0.000246399076,95,0,0
49,88,0.0002282433546,88,0,0
50,117,0.0003034599147,117,0,0
51,97,0.000251586425,97,0,0
52,153,0.0003968321961,153,0,0
53,118,0.0003060535892,118,0,0
54,142,0.0003683017768,142,0,0
55,124,0.0003216156361,124,0,0
56,168,0.0004357373134,168,0,0
57,116,0.0003008662402,116,0,0
58,145,0.0003760828003,145,0,0
59,128,0.000331990334,128,0,0
60,110,0.0002853041933,110,0,0
61,199,0.0005161412224,199,0,0
62,105,0.0002723358209,105,0,0
63,229,0.000593951457,229,0,0
64,110,0.0002853041933,110,0,0
65,220,0.0005706083866,220,0,0
66,120,0.0003112409382,120,0,0
67,281,0.0007288225302,281,0,0
68,94,0.0002438054016,94,0,0
69,254,0.0006587933191,254,0,0
70,107,0.0002775231699,107,0,0
71,292,0.0007573529495,292,0,0
72,215,0.0005576400142,215,0,0
73,176,0.0004564867093,176,0,0
74,198,0.000513547548,198,0,0
75,229,0.000593951457,229,0,0
76,176,0.0004564867093,176,0,0
77,201,0.0005213285714,201,0,0
78,179,0.0004642677327,179,0,0
79,234,0.0006069198294,234,0,0
80,187,0.0004850171286,187,0,0
81,241,0.0006250755508,241,0,0
82,194,0.00050317285,194,0,0
83,206,0.0005342969438,206,0,0
84,195,0.0005057665245,195,0,0
85,191,0.0004953918266,191,0,0
86,176,0.0004564867093,176,0,0
87,194,0.00050317285,194,0,0
88,130,0.000337177683,130,0,0
89,297,0.0007703213219,297,0,0
90,88,0.0002282433546,88,0,0
91,289,0.0007495719261,289,0,0
92,118,0.0003060535892,118,0,0
93,311,0.0008066327647,311,0,0
94,109,0.0002827105188,109,0,0
95,252,0.0006536059701,252,0,0
96,91,0.0002360243781,91,0,0
97,242,0.0006276692253,242,0,0
98,88,0.0002282433546,88,0,0
99,296,0.0007677276475,296,0,0
100,98,0.0002541800995,98,0,0
101,274,0.0007106668088,274,0,0
102,117,0.0003034599147,117,0,0
103,260,0.000674355366,260,0,0
104,181,0.0004694550817,181,0,0
105,150,0.0003890511727,150,0,0
106,173,0.0004487056858,173,0,0
107,135,0.0003501460554,135,0,0
108,195,0.0005057665245,195,0,0
109,125,0.0003242093106,125,0,0
110,167,0.0004331436389,167,0,0
111,149,0.0003864574982,149,0,0
112,157,0.0004072068941,157,0,0
113,131,0.0003397713575,131,0,0
114,173,0.0004487056858,173,0,0
115,126,0.0003268029851,126,0,0
116,144,0.0003734891258,144,0,0
117,138,0.0003579270789,138,0,0
118,143,0.0003708954513,143,0,0
119,133,0.0003449587065,133,0,0
120,77,0.0001997129353,77,0,0
121,240,0.0006224818763,240,0,0
122,67,0.0001737761905,67,0,0
123,225,0.000583576759,225,0,0
124,67,0.0001737761905,67,0,0
125,194,0.00050317285,194,0,0
126,44,0.0001141216773,44,0,0
127,219,0.0005680147121,219,0,0
128,45,0.0001167153518,45,0,0
129,232,0.0006017324804,232,0,0
130,56,0.0001452457711,56,0,0
131,229,0.000593951457,229,0,0
132,37,9.596595593e-05,37,0,0
133,182,0.0004720487562,182,0,0
134,37,9.596595593e-05,37,0,0
135,194,0.00050317285,194,0,0
136,51,0.0001322773987,51,0,0
137,181,0.0004694550817,181,0,0
138,45,0.0001167153518,45,0,0
139,182,0.0004720487562,182,0,0
140,42,0.0001089343284,42,0,0
141,174,0.0004512993603,174,0,0
142,47,0.0001219027008,47,0,0
143,173,0.0004487056858,173,0,0
144,48,0.0001244963753,48,0,0
145,172,0.0004461120114,172,0,0
146,50,0.0001296837242,50,0,0
147,161,0.000417581592,161,0,0
148,54,0.0001400584222,54,0,0
149,140,0.0003631144278,140,0,0
150,55,0.0001426520967,55,0,0
151,138,0.0003579270789,138,0,0
152,37,9.596595593e-05,37,0,0
153,131,0.0003397713575,131,0,0
154,48,0.0001244963753,48,0,0
155,111,0.0002878978678,111,0,0
156,44,0.0001141216773,44,0,0
157,133,0.0003449587065,133,0,0
158,74,0.0001919319119,74,0,0
159,124,0.0003216156361,124,0,0
160,66,0.000171182516,66,0,0
161,90,0.0002334307036,90,0,0
162,65,0.0001685888415,65,0,0
163,100,0.0002593674485,100,0,0
164,56,0.0001452457711,56,0,0
165,100,0.0002593674485,100,0,0
166,56,0.0001452457711,56,0,0
167,76,0.0001971192608,76,0,0
168,55,0.0001426520967,55,0,0
169,99,0.000256773774,99,0,0
170,58,0.0001504331201,58,0,0
171,83,0.0002152749822,83,0,0
172,56,0.0001452457711,56,0,0
173,81,0.0002100876333,81,0,0
174,63,0.0001634014925,63,0,0
175,87,0.0002256496802,87,0,0
176,28,7.262288557e-05,28,0,0
177,111,0.0002878978678,111,0,0
178,24,6.224818763e-05,24,0,0
179,98,0.0002541800995,98,0,0
180,29,7.521656005e-05,29,0,0
181,111,0.0002878978678,111,0,0
182,28,7.262288557e-05,28,0,0
183,100,0.0002593674485,100,0,0
184,23,5.965451315e-05,23,0,0
185,106,0.0002749294954,106,0,0
186,20,5.187348969e-05,20,0,0
187,96,0.0002489927505,96,0,0
188,19,4.927981521e-05,19,0,0
189,100,0.0002593674485,100,0,0
190,21,5.446716418e-05,21,0,0
191,74,0.0001919319119,74,0,0
192,22,5.706083866e-05,22,0,0
193,90,0.0002334307036,90,0,0
194,23,5.965451315e-05,23,0,0
195,89,0.0002308370291,89,0,0
196,27,7.002921108e-05,27,0,0
197,85,0.0002204623312,85,0,0
198,25,6.484186212e-05,25,0,0
199,75,0.0001945255863,75,0,0
200,25,6.484186212e-05,25,0,0
201,85,0.0002204623312,85,0,0
202,21,5.446716418e-05,21,0,0
203,75,0.0001945255863,75,0,0
204,18,4.668614072e-05,18,0,0
205,77,0.0001997129353,77,0,0
206,21,5.446716418e-05,21,0,0
207,73,0.0001893382374,73,0,0
208,33,8.559125799e-05,33,0,0
209,47,0.0001219027008,47,0,0
210,39,0.0001011533049,39,0,0
211,51,0.0001322773987,51,0,0
212,33,8.559125799e-05,33,0,0
213,47,0.0001219027008,47,0,0
214,31,8.040390902e-05,31,0,0
215,50,0.0001296837242,50,0,0
216,26,6.74355366e-05,26,0,0
217,42,0.0001089343284,42,0,0
218,41,0.0001063406539,41,0,0
219,45,0.0001167153518,45,0,0
220,36,9.337228145e-05,36,0,0
221,48,0.0001244963753,48,0,0
222,31,8.040390902e-05,31,0,0
223,54,0.0001400584222,54,0,0
224,36,9.337228145e-05,36,0,0
225,41,0.0001063406539,41,0,0
226,39,0.0001011533049,39,0,0
227,38,9.855963042e-05,38,0,0
228,31,8.040390902e-05,31,0,0
229,29,7.521656005e-05,29,0,0
230,25,6.484186212e-05,25,0,0
231,44,0.0001141216773,44,0,0
232,13,3.37177683e-05,13,0,0
233,33,8.559125799e-05,33,0,0
234,32,8.299758351e-05,32,0,0
235,33,8.559125799e-05,33,0,0
236,32,8.299758351e-05,32,0,0
237,40,0.0001037469794,40,0,0
238,27,7.002921108e-05,27,0,0
239,22,5.706083866e-05,22,0,0
240,15,3.890511727e-05,15,0,0
241,32,8.299758351e-05,32,0,0
242,8,2.074939588e-05,8,0,0
243,43,0.0001115280028,43,0,0
244,13,3.37177683e-05,13,0,0
245,38,9.855963042e-05,38,0,0
246,24,6.224818763e-05,24,0,0
247,40,0.0001037469794,40,0,0
248,16,4.149879175e-05,16,0,0
249,34,8.818493248e-05,34,0,0
250,12,3.112409382e-05,12,0,0
251,40,0.0001037469794,40,0,0
252,9,2.334307036e-05,9,0,0
253,30,7.781023454e-05,30,0,0
254,5,1.296837242e-05,5,0,0
255,41,0.0001063406539,41,0,0
256,15,3.890511727e-05,15,0,0
257,43,0.0001115280028,43,0,0
258,11,2.853041933e-05,11,0,0
259,22,5.706083866e-05,22,0,0
260,11,2.853041933e-05,11,0,0
261,28,7.262288557e-05,28,0,0
262,14,3.631144278e-05,14,0,0
263,44,0.0001141216773,44,0,0
264,9,2.334307036e-05,9,0,0
265,25,6.484186212e-05,25,0,0
266,8,2.074939588e-05,8,0,0
267,33,8.559125799e-05,33,0,0
