metric,value
n_events,100000000
n_hits_in_crystal,27021
n_hits_direct,27021
n_hits_pb_scat,0
n_hits_pb_born,0
flux_total_cm2_s,0.09173247
surface_cm2,11309.73355
rate_per_s,259.3674485
t_run_s,385553.3938
cps_total,0.07008367825
shield,0
shield_pb_mm,0
shield_cavity_mm,none
stand_mm,25
device_z_mm,0
screen_up,1
em_cut_mm,0.05
em_deex,std

bin_keV,counts,cps,counts_direct,counts_pb_scat,counts_pb_born
0,23,5.965451315e-05,23,0,0
1,24,6.224818763e-05,24,0,0
2,25,6.484186212e-05,25,0,0
3,25,6.484186212e-05,25,0,0
4,33,8.559125799e-05,33,0,0
5,32,8.299758351e-05,32,0,0
6,39,0.0001011533049,39,0,0
7,40,0.0001037469794,40,0,0
8,42,0.0001089343284,42,0,0
9,24,6.224818763e-05,24,0,0
10,38,9.855963042e-05,38,0,0
11,27,7.002921108e-05,27,0,0
12,45,0.0001167153518,45,0,0
13,25,6.484186212e-05,25,0,0
14,45,0.0001167153518,45,0,0
15,30,7.781023454e-05,30,0,0
16,37,9.596595593e-05,37,0,0
17,23,5.965451315e-05,23,0,0
18,46,0.0001193090263,46,0,0
19,28,7.262288557e-05,28,0,0
20,55,0.0001426520967,55,0,0
21,40,0.0001037469794,40,0,0
22,47,0.0001219027008,47,0,0
23,32,8.299758351e-05,32,0,0
24,43,0.0001115280028,43,0,0
25,25,6.484186212e-05,25,0,0
26,60,0.0001556204691,60,0,0
27,28,7.262288557e-05,28,0,0
28,73,0.0001893382374,73,0,0
29,38,9.855963042e-05,38,0,0
30,46,0.0001193090263,46,0,0
31,33,8.559125799e-05,33,0,0
32,66,0.000171182516,66,0,0
33,40,0.0001037469794,40,0,0
34,52,0.0001348710732,52,0,0
35,32,8.299758351e-05,32,0,0
36,88,0.0002282433546,88,0,0
37,38,9.855963042e-05,38,0,0
38,74,0.0001919319119,74,0,0
39,36,9.337228145e-05,36,0,0
40,72,0.0001867445629,72,0,0
41,50,0.0001296837242,50,0,0
42,75,0.0001945255863,75,0,0
43,61,0.0001582141436,61,0,0
44,64,0.000165995167,64,0,0
45,82,0.0002126813077,82,0,0
46,69,0.0001789635394,69,0,0
47,100,0.0002593674485,100,0,0
48,74,0.0001919319119,74,0,0
49,133,0.0003449587065,133,0,0
50,73,0.0001893382374,73,0,0
51,141,0.0003657081023,141,0,0
52,82,0.0002126813077,82,0,0
53,143,0.0003708954513,143,0,0
54,105,0.0002723358209,105,0,0
55,157,0.0004072068941,157,0,0
56,123,0.0003190219616,123,0,0
57,181,0.0004694550817,181,0,0
58,118,0.0003060535892,118,0,0
59,166,0.0004305499644,166,0,0
60,57,0.0001478394456,57,0,0
61,268,0.0006951047619,268,0,0
62,61,0.0001582141436,61,0,0
63,272,0.0007054794598,272,0,0
64,74,0.0001919319119,74,0,0
65,292,0.0007573529495,292,0,0
66,56,0.0001452457711,56,0,0
67,293,0.000759946624,293,0,0
68,77,0.0001997129353,77,0,0
69,300,0.0007781023454,300,0,0
70,68,0.000176369865,68,0,0
71,303,0.0007858833688,303,0,0
72,95,0.000246399076,95,0,0
73,276,0.0007158541578,276,0,0
74,111,0.0002878978678,111,0,0
75,295,0.000765133973,295,0,0
76,111,0.0002878978678,111,0,0
77,299,0.0007755086709,299,0,0
78,100,0.0002593674485,100,0,0
79,322,0.0008351631841,322,0,0
80,107,0.0002775231699,107,0,0
81,300,0.0007781023454,300,0,0
82,103,0.0002671484719,103,0,0
83,283,0.0007340098791,283,0,0
84,109,0.0002827105188,109,0,0
85,277,0.0007184478322,277,0,0
86,89,0.0002308370291,89,0,0
87,281,0.0007288225302,281,0,0
88,69,0.0001789635394,69,0,0
89,391,0.001014126723,391,0,0
90,73,0.0001893382374,73,0,0
91,324,0.000840350533,324,0,0
92,59,0.0001530267946,59,0,0
93,349,0.0009051923951,349,0,0
94,60,0.0001556204691,60,0,0
95,316,0.0008196011371,316,0,0
96,61,0.0001582141436,61,0,0
97,288,0.0007469782516,288,0,0
98,59,0.0001530267946,59,0,0
99,266,0.0006899174129,266,0,0
100,60,0.0001556204691,60,0,0
101,286,0.0007417909026,286,0,0
102,40,0.0001037469794,40,0,0
103,290,0.0007521656005,290,0,0
104,165,0.00042795629,165,0,0
105,203,0.0005265159204,203,0,0
106,159,0.0004123942431,159,0,0
107,160,0.0004149879175,160,0,0
108,139,0.0003605207534,139,0,0
109,162,0.0004201752665,162,0,0
110,130,0.000337177683,130,0,0
111,166,0.0004305499644,166,0,0
112,160,0.0004149879175,160,0,0
113,174,0.0004512993603,174,0,0
114,145,0.0003760828003,145,0,0
115,143,0.0003708954513,143,0,0
116,120,0.0003112409382,120,0,0
117,148,0.0003838638237,148,0,0
118,117,0.0003034599147,117,0,0
119,152,0.0003942385217,152,0,0
120,51,0.0001322773987,51,0,0
121,247,0.0006406375977,247,0,0
122,56,0.0001452457711,56,0,0
123,229,0.000593951457,229,0,0
124,45,0.0001167153518,45,0,0
125,206,0.0005342969438,206,0,0
126,36,9.337228145e-05,36,0,0
127,199,0.0005161412224,199,0,0
128,32,8.299758351e-05,32,0,0
129,231,0.0005991388059,231,0,0
130,41,0.0001063406539,41,0,0
131,244,0.0006328565742,244,0,0
132,32,8.299758351e-05,32,0,0
133,209,0.0005420779673,209,0,0
134,39,0.0001011533049,39,0,0
135,196,0.000508360199,196,0,0
