metric,value
n_events,100000000
n_hits_in_crystal,26620
flux_total_cm2_s,0.1923274
surface_cm2,11309.73355
rate_per_s,543.7929122
t_run_s,183893.5333
cps_total,0.1447576732
shield,0
shield_pb_mm,0
shield_cavity_mm,none

bin_keV,counts,cps
0,19,0.0001033206533
1,21,0.0001141965116
2,25,0.0001359482281
3,23,0.0001250723698
4,22,0.0001196344407
5,20,0.0001087585824
6,39,0.0002120792358
7,28,0.0001522620154
8,32,0.0001740137319
9,35,0.0001903275193
10,39,0.0002120792358
11,31,0.0001685758028
12,41,0.000222955094
13,29,0.0001576999445
14,43,0.0002338309523
15,28,0.0001522620154
16,45,0.0002447068105
17,22,0.0001196344407
18,41,0.000222955094
19,33,0.000179451661
20,58,0.0003153998891
21,23,0.0001250723698
22,50,0.0002718964561
23,24,0.0001305102989
24,45,0.0002447068105
25,34,0.0001848895902
26,58,0.0003153998891
27,13,7.069307859e-05
28,60,0.0003262757473
29,35,0.0001903275193
30,62,0.0003371516056
31,36,0.0001957654484
32,68,0.0003697791803
33,30,0.0001631378737
34,72,0.0003915308968
35,31,0.0001685758028
36,72,0.0003915308968
37,32,0.0001740137319
38,59,0.0003208378182
39,36,0.0001957654484
40,68,0.0003697791803
41,41,0.000222955094
42,78,0.0004241584715
43,68,0.0003697791803
44,75,0.0004078446842
45,69,0.0003752171094
46,69,0.0003752171094
47,85,0.0004622239754
48,64,0.0003480274638
49,127,0.0006906169985
50,66,0.0003589033221
51,136,0.0007395583606
52,99,0.0005383549831
53,132,0.0007178066441
54,113,0.0006144859908
55,146,0.0007939376519
56,104,0.0005655446287
57,187,0.001016892746
58,103,0.0005601066996
59,188,0.001022330675
60,72,0.0003915308968
61,275,0.001495430509
62,73,0.0003969688259
63,289,0.001571561516
64,60,0.0003262757473
65,280,0.001522620154
66,59,0.0003208378182
67,273,0.00148455465
68,73,0.0003969688259
69,304,0.001653130453
70,78,0.0004241584715
71,369,0.002006595846
72,102,0.0005546687705
73,301,0.001636816666
74,110,0.0005981722035
75,306,0.001664006311
76,103,0.0005601066996
77,314,0.001707509744
78,100,0.0005437929122
79,306,0.001664006311
80,102,0.0005546687705
81,260,0.001413861572
82,102,0.0005546687705
83,297,0.001615064949
84,107,0.0005818584161
85,330,0.00179451661
86,87,0.0004730998336
87,276,0.001500868438
88,56,0.0003045240308
89,315,0.001712947674
90,62,0.0003371516056
91,328,0.001783640752
92,62,0.0003371516056
93,312,0.001696633886
94,50,0.0002718964561
95,304,0.001653130453
96,60,0.0003262757473
97,293,0.001593313233
98,56,0.0003045240308
99,260,0.001413861572
100,52,0.0002827723144
101,315,0.001712947674
102,59,0.0003208378182
103,325,0.001767326965
104,166,0.0009026962343
105,187,0.001016892746
106,134,0.0007286825024
107,162,0.0008809445178
108,153,0.0008320031557
109,165,0.0008972583052
110,138,0.0007504342189
111,178,0.0009679513838
112,164,0.0008918203761
113,172,0.000935323809
114,149,0.0008102514392
115,166,0.0009026962343
116,116,0.0006307997782
117,158,0.0008591928013
118,138,0.0007504342189
119,130,0.0007069307859
120,49,0.000266458527
121,260,0.001413861572
122,56,0.0003045240308
123,221,0.001201782336
124,51,0.0002773343852
125,212,0.001152840974
126,32,0.0001740137319
127,202,0.001098461683
128,35,0.0001903275193
129,210,0.001141965116
130,30,0.0001631378737
131,195,0.001060396179
132,25,0.0001359482281
133,221,0.001201782336
134,31,0.0001685758028
135,195,0.001060396179
136,31,0.0001685758028
137,207,0.001125651328
138,26,0.0001413861572
139,196,0.001065834108
140,29,0.0001576999445
141,187,0.001016892746
142,36,0.0001957654484
143,191,0.001038644462
144,59,0.0003208378182
145,135,0.0007341204315
146,33,0.000179451661
147,155,0.000842879014
148,32,0.0001740137319
149,154,0.0008374410848
150,44,0.0002392688814
151,128,0.0006960549277
152,44,0.0002392688814
153,157,0.0008537548722
154,34,0.0001848895902
155,151,0.0008211272975
156,30,0.0001631378737
157,135,0.0007341204315
158,49,0.000266458527
159,108,0.0005872963452
160,49,0.000266458527
161,96,0.0005220411957
162,46,0.0002501447396
163,105,0.0005709825578
164,42,0.0002283930231
165,104,0.0005655446287
166,48,0.0002610205979
167,73,0.0003969688259
168,48,0.0002610205979
169,85,0.0004622239754
170,38,0.0002066413066
171,84,0.0004567860463
172,50,0.0002718964561
173,82,0.000445910188
174,48,0.0002610205979
175,88,0.0004785377628
176,25,0.0001359482281
177,90,0.000489413621
178,21,0.0001141965116
179,108,0.0005872963452
180,17,9.244479508e-05
181,111,0.0006036101326
182,20,0.0001087585824
183,113,0.0006144859908
184,22,0.0001196344407
185,89,0.0004839756919
186,20,0.0001087585824
187,119,0.0006471135656
188,18,9.78827242e-05
189,111,0.0006036101326
190,12,6.525514947e-05
191,91,0.0004948515501
192,22,0.0001196344407
193,99,0.0005383549831
194,16,8.700686596e-05
195,87,0.0004730998336
196,20,0.0001087585824
197,80,0.0004350343298
198,20,0.0001087585824
199,73,0.0003969688259
200,15,8.156893683e-05
201,63,0.0003425895347
202,19,0.0001033206533
203,68,0.0003697791803
204,21,0.0001141965116
205,78,0.0004241584715
206,17,9.244479508e-05
207,55,0.0002990861017
208,37,0.0002012033775
209,39,0.0002120792358
210,26,0.0001413861572
211,43,0.0002338309523
212,27,0.0001468240863
213,42,0.0002283930231
