metric,value
n_events,10000000
n_hits_in_crystal,55771
flux_total_cm2_s,0.08786052
surface_cm2,615.7521601
rate_per_s,13.52507624
t_run_s,739367.3662
cps_total,0.07543070272

bin_keV,counts,cps
0,21,2.840266011e-05
1,41,5.54528126e-05
2,51,6.897788885e-05
3,44,5.951033548e-05
4,40,5.410030498e-05
5,63,8.520798034e-05
6,76,0.0001027905795
7,69,9.332302609e-05
8,77,0.0001041430871
9,66,8.926550321e-05
10,72,9.738054896e-05
11,52,7.033039647e-05
12,82,0.0001109056252
13,54,7.303541172e-05
14,91,0.0001230781938
15,67,9.061801084e-05
16,89,0.0001203731786
17,79,0.0001068481023
18,106,0.0001433658082
19,57,7.709293459e-05
20,117,0.0001582433921
21,59,7.979794984e-05
22,103,0.0001393082853
23,59,7.979794984e-05
24,125,0.0001690634531
25,59,7.979794984e-05
26,131,0.0001771784988
27,61,8.250296509e-05
28,125,0.0001690634531
29,49,6.62728736e-05
30,138,0.0001866460522
31,59,7.979794984e-05
32,135,0.0001825885293
33,55,7.438791934e-05
34,164,0.0002218112504
35,54,7.303541172e-05
36,137,0.0001852935445
37,85,0.0001149631481
38,155,0.0002096386818
39,80,0.00010820061
40,157,0.000212343697
41,111,0.0001501283463
42,164,0.0002218112504
43,125,0.0001690634531
44,143,0.0001934085903
45,136,0.0001839410369
46,146,0.0001974661132
47,191,0.0002583289563
48,150,0.0002028761437
49,261,0.00035300449
50,177,0.0002393938495
51,293,0.000396284734
52,202,0.0002732065401
53,263,0.0003557095052
54,250,0.0003381269061
55,395,0.0005342405117
56,226,0.0003056667231
57,408,0.0005518231108
58,245,0.000331364368
59,430,0.0005815782785
60,154,0.0002082861742
61,589,0.0007966269908
62,154,0.0002082861742
63,556,0.0007519942392
64,136,0.0001839410369
65,700,0.0009467553371
66,140,0.0001893510674
67,586,0.0007925694679
68,153,0.0002069336665
69,692,0.0009359352761
70,161,0.0002177537275
71,718,0.0009711004744
72,224,0.0003029617079
73,662,0.0008953600474
74,216,0.0002921416469
75,699,0.0009454028295
76,234,0.0003164867841
77,663,0.000896712555
78,240,0.0003246018299
79,713,0.0009643379362
80,250,0.0003381269061
81,688,0.0009305252456
82,228,0.0003083717384
83,653,0.0008831874788
84,251,0.0003394794137
85,627,0.0008480222805
86,214,0.0002894366316
87,603,0.0008155620975
88,124,0.0001677109454
89,804,0.00108741613
90,119,0.0001609484073
91,885,0.001196969248
92,138,0.0001866460522
93,892,0.001206436801
94,102,0.0001379557777
95,663,0.000896712555
96,107,0.0001447183158
97,658,0.0008899500169
98,145,0.0001961136055
99,763,0.001031963317
100,112,0.0001514808539
101,654,0.0008845399864
102,105,0.0001420133006
103,574,0.0007763393764
104,331,0.0004476800237
105,407,0.0005504706031
106,347,0.0004693201457
107,388,0.0005247729583
108,315,0.0004260399017
109,388,0.0005247729583
110,323,0.0004368599627
111,399,0.0005396505422
112,297,0.0004016947645
113,377,0.0005098953744
114,310,0.0004192773636
115,373,0.0005044853439
116,268,0.0003624720434
117,383,0.0005180104202
118,284,0.0003841121653
119,364,0.0004923127753
120,101,0.0001366032701
121,495,0.0006694912741
122,91,0.0001230781938
123,413,0.0005585856489
124,92,0.0001244307014
125,435,0.0005883408166
126,81,0.0001095531176
127,565,0.0007641668078
128,75,0.0001014380718
129,575,0.0007776918841
130,50,6.762538122e-05
131,450,0.000608628431
132,70,9.467553371e-05
133,465,0.0006289160454
134,67,9.061801084e-05
135,426,0.000576168248
136,47,6.356785835e-05
137,390,0.0005274779735
138,60,8.115045747e-05
139,403,0.0005450605727
140,62,8.385547272e-05
141,319,0.0004314499322
142,64,8.656048796e-05
143,369,0.0004990753134
144,79,0.0001068481023
145,296,0.0004003422568
146,91,0.0001230781938
147,326,0.0004409174856
148,78,0.0001054955947
149,293,0.000396284734
150,73,9.873305658e-05
151,296,0.0004003422568
152,83,0.0001122581328
153,371,0.0005017803287
154,77,0.0001041430871
155,273,0.0003692345815
156,74,0.0001000855642
157,311,0.0004206298712
158,119,0.0001609484073
159,217,0.0002934941545
160,119,0.0001609484073
161,232,0.0003137817689
162,133,0.0001798835141
163,223,0.0003016092003
164,93,0.0001257832091
165,171,0.0002312788038
166,101,0.0001366032701
167,176,0.0002380413419
168,93,0.0001257832091
169,171,0.0002312788038
170,82,0.0001109056252
