metric,value
n_events,10000000
n_hits_in_crystal,53909
flux_total_cm2_s,0.008878611
surface_cm2,615.7521601
rate_per_s,1.366755975
t_run_s,7316595.046
cps_total,0.007368044788

bin_keV,counts,cps
0,25,3.416889939e-06
1,50,6.833779877e-06
2,55,7.517157865e-06
3,44,6.013726292e-06
4,49,6.69710428e-06
5,68,9.293940633e-06
6,80,1.09340478e-05
7,52,7.107131073e-06
8,96,1.312085736e-05
9,48,6.560428682e-06
10,93,1.271083057e-05
11,64,8.747238243e-06
12,65,8.883913841e-06
13,62,8.473887048e-06
14,75,1.025066982e-05
15,56,7.653833463e-06
16,106,1.448761334e-05
17,46,6.287077487e-06
18,106,1.448761334e-05
19,55,7.517157865e-06
20,92,1.257415497e-05
21,56,7.653833463e-06
22,108,1.476096454e-05
23,49,6.69710428e-06
24,131,1.790450328e-05
25,47,6.423753085e-06
26,126,1.722112529e-05
27,54,7.380482268e-06
28,136,1.858788127e-05
29,59,8.063860255e-06
30,133,1.817785447e-05
31,78,1.066069661e-05
32,121,1.65377473e-05
33,84,1.148075019e-05
34,148,2.022798844e-05
35,80,1.09340478e-05
36,123,1.68110985e-05
37,70,9.567291828e-06
38,149,2.036466403e-05
39,227,3.102536064e-05
40,142,1.940793485e-05
41,58,7.927184658e-06
42,157,2.145806882e-05
43,94,1.284750617e-05
44,154,2.104804202e-05
45,226,3.088868505e-05
46,127,1.735780089e-05
47,233,3.184541423e-05
48,131,1.790450328e-05
49,295,4.031930128e-05
50,166,2.268814919e-05
51,239,3.266546781e-05
52,200,2.733511951e-05
53,304,4.154938165e-05
54,218,2.979528027e-05
55,308,4.209608405e-05
56,205,2.80184975e-05
57,299,4.086600367e-05
58,209,2.856519989e-05
59,304,4.154938165e-05
60,146,1.995463724e-05
61,475,6.492090884e-05
62,140,1.913458366e-05
63,505,6.902117676e-05
64,130,1.776782768e-05
65,615,8.405549249e-05
66,138,1.886123246e-05
67,603,8.241538532e-05
68,139,1.899790806e-05
69,614,8.39188169e-05
70,144,1.968128605e-05
71,910,0.0001243747938
72,305,4.168605725e-05
73,799,0.0001092038024
74,215,2.938525347e-05
75,542,7.407817387e-05
76,203,2.77451463e-05
77,606,8.282541211e-05
78,208,2.842852429e-05
79,575,7.858846859e-05
80,209,2.856519989e-05
81,664,9.075259677e-05
82,275,3.758578933e-05
83,917,0.000125331523
84,245,3.34855214e-05
85,704,9.621962067e-05
86,218,2.979528027e-05
87,520,7.107131073e-05
88,109,1.489764013e-05
89,730,9.977318621e-05
90,117,1.599104491e-05
91,688,9.403281111e-05
92,106,1.448761334e-05
93,616,8.419216809e-05
94,116,1.585436932e-05
95,742,0.0001014132934
96,115,1.571769372e-05
97,720,9.840643024e-05
98,117,1.599104491e-05
99,719,9.826975464e-05
100,130,1.776782768e-05
101,823,0.0001124840168
102,131,1.790450328e-05
103,573,7.83151174e-05
104,311,4.250611084e-05
105,345,4.715308115e-05
106,283,3.867919411e-05
107,389,5.316680745e-05
108,245,3.34855214e-05
109,257,3.512562857e-05
110,257,3.512562857e-05
111,287,3.92258965e-05
112,262,3.580900656e-05
113,333,4.551297398e-05
114,259,3.539897977e-05
115,330,4.510294719e-05
116,246,3.3622197e-05
117,318,4.346284002e-05
118,246,3.3622197e-05
119,259,3.539897977e-05
120,91,1.243747938e-05
121,443,6.054728971e-05
122,101,1.380423535e-05
123,533,7.284809349e-05
124,94,1.284750617e-05
125,545,7.448820066e-05
126,51,6.970455475e-06
127,299,4.086600367e-05
128,65,8.883913841e-06
129,324,4.428289361e-05
130,71,9.703967426e-06
131,446,6.095731651e-05
132,55,7.517157865e-06
133,391,5.344015864e-05
134,75,1.025066982e-05
135,558,7.626498343e-05
136,50,6.833779877e-06
137,353,4.824648593e-05
138,67,9.157265036e-06
139,432,5.904385814e-05
140,67,9.157265036e-06
141,426,5.822380456e-05
142,55,7.517157865e-06
143,358,4.892986392e-05
144,81,1.10707234e-05
145,268,3.662906014e-05
146,67,9.157265036e-06
147,251,3.430557498e-05
148,76,1.038734541e-05
149,297,4.059265247e-05
150,81,1.10707234e-05
151,343,4.687972996e-05
152,71,9.703967426e-06
153,307,4.195940845e-05
154,84,1.148075019e-05
155,272,3.717576253e-05
156,82,1.1207399e-05
157,265,3.621903335e-05
158,110,1.503431573e-05
159,184,2.514830995e-05
160,122,1.66744229e-05
161,219,2.993195586e-05
162,99,1.353088416e-05
163,171,2.337152718e-05
