metric,value
n_events,100000000
n_hits_in_crystal,498025
flux_total_cm2_s,0.1063184
surface_cm2,615.7521601
rate_per_s,16.36644611
t_run_s,6110061.971
cps_total,0.08150899326

bin_keV,counts,cps
0,307,5.024498957e-05
1,421,6.890273814e-05
2,438,7.168503398e-05
3,457,7.479465874e-05
4,515,8.428719749e-05
5,589,9.639836762e-05
6,596,9.754401884e-05
7,631,0.000103272275
8,657,0.000107527551
9,527,8.625117102e-05
10,642,0.0001050725841
11,549,8.985178917e-05
12,643,0.0001052362485
13,548,8.968812471e-05
14,736,0.0001204570434
15,493,8.068657935e-05
16,776,0.0001270036218
17,530,8.674216441e-05
18,860,0.0001407514366
19,588,9.623470315e-05
20,920,0.0001505713043
21,517,8.461452641e-05
22,990,0.0001620278165
23,572,9.361607178e-05
24,1062,0.0001738116577
25,575,9.410706516e-05
26,1105,0.0001808492296
27,546,8.936079579e-05
28,1171,0.000191651084
29,562,9.197942716e-05
30,1195,0.0001955790311
31,522,8.543284872e-05
32,1258,0.0002058898921
33,537,8.788781564e-05
34,1318,0.0002157097598
35,546,8.936079579e-05
36,1220,0.0001996706426
37,647,0.0001058909064
38,1304,0.0002134184573
39,699,0.0001144014583
40,1319,0.0002158734243
41,854,0.0001397694498
42,1305,0.0002135821218
43,1082,0.000177084947
44,1359,0.0002224200027
45,1282,0.0002098178392
46,1318,0.0002157097598
47,1693,0.0002770839327
48,1231,0.0002014709517
49,1887,0.0003088348382
50,1306,0.0002137457863
51,2515,0.0004116161198
52,1779,0.0002911590764
53,2518,0.0004121071132
54,1851,0.0003029429176
55,2843,0.000465298063
56,1983,0.0003245466265
57,3084,0.0005047411982
58,2003,0.0003278199157
59,3306,0.0005410747086
60,1356,0.0002219290093
61,4562,0.0007466372718
62,1196,0.0001957426955
63,5326,0.0008716769201
64,1202,0.0001967246823
65,5719,0.0009359970533
66,1248,0.0002042532475
67,5882,0.0009626743605
68,1196,0.0001957426955
69,6209,0.001016192639
70,1175,0.0001923057418
71,5884,0.0009630016894
72,1915,0.0003134174431
73,5334,0.0008729862358
74,1831,0.0002996696284
75,5646,0.0009240495476
76,2002,0.0003276562512
77,5490,0.0008985178917
78,1974,0.0003230736463
79,5406,0.000884770077
80,1985,0.0003248739554
81,5905,0.0009664386431
82,1906,0.0003119444629
83,5569,0.0009114473841
84,1928,0.0003155450811
85,5269,0.0008623480458
86,1936,0.0003168543968
87,5478,0.0008965539182
88,1073,0.0001756119668
89,6273,0.001026667165
90,1029,0.0001684107305
91,6183,0.001011937363
92,1008,0.0001649737768
93,6591,0.001078712463
94,999,0.0001635007967
95,5940,0.0009721668992
96,1044,0.0001708656974
97,5936,0.0009715122414
98,1015,0.0001661194281
99,5722,0.0009364880467
100,1073,0.0001756119668
101,5557,0.0009094834106
102,991,0.000162191481
103,4712,0.0007711869409
104,2844,0.0004654617275
105,3189,0.0005219259666
106,2889,0.0004728266283
107,3374,0.0005522038919
108,2502,0.0004094884818
109,2933,0.0004800278645
110,2899,0.0004744632729
111,3252,0.0005322368276
112,2698,0.0004415667162
113,3330,0.0005450026556
114,2526,0.0004134164289
115,3040,0.0004975399619
116,2538,0.0004153804024
117,3130,0.0005122697634
118,2623,0.0004292918816
119,3099,0.0005071961651
120,993,0.0001625188099
121,4562,0.0007466372718
122,992,0.0001623551455
123,4586,0.0007505652188
124,1035,0.0001693927173
125,4091,0.0006695513106
