metric,value
n_events,10000000
n_hits_in_crystal,45996
flux_total_cm2_s,0.009510101
surface_cm2,615.7521601
rate_per_s,1.463966308
t_run_s,6830758.292
cps_total,0.006733659432

bin_keV,counts,cps
0,30,4.391898925e-06
1,48,7.02703828e-06
2,53,7.759021434e-06
3,37,5.416675341e-06
4,42,6.148658495e-06
5,58,8.491004589e-06
6,59,8.637401219e-06
7,54,7.905418065e-06
8,52,7.612624804e-06
9,62,9.076591112e-06
10,46,6.734245019e-06
11,55,8.051814696e-06
12,60,8.78379785e-06
13,49,7.173434911e-06
14,67,9.808574266e-06
15,45,6.587848388e-06
16,77,1.127254057e-05
17,54,7.905418065e-06
18,88,1.288290351e-05
19,73,1.068695405e-05
20,108,1.581083613e-05
21,50,7.319831542e-06
22,76,1.112614394e-05
23,68,9.954970897e-06
24,104,1.522524961e-05
25,50,7.319831542e-06
26,121,1.771399233e-05
27,58,8.491004589e-06
28,112,1.639642265e-05
29,51,7.466228173e-06
30,102,1.493245635e-05
31,65,9.515781005e-06
32,105,1.537164624e-05
33,65,9.515781005e-06
34,124,1.815318222e-05
35,71,1.039416079e-05
36,101,1.478605971e-05
37,54,7.905418065e-06
38,113,1.654281928e-05
39,78,1.141893721e-05
40,130,1.903156201e-05
41,58,8.491004589e-06
42,126,1.844597549e-05
43,85,1.244371362e-05
44,103,1.507885298e-05
45,120,1.75675957e-05
46,131,1.917795864e-05
47,151,2.210589126e-05
48,130,1.903156201e-05
49,220,3.220725878e-05
50,109,1.595723276e-05
51,298,4.362619599e-05
52,145,2.122751147e-05
53,198,2.898653291e-05
54,151,2.210589126e-05
55,276,4.040547011e-05
56,178,2.605860029e-05
57,317,4.640773198e-05
58,242,3.542798466e-05
59,366,5.358116689e-05
60,131,1.917795864e-05
61,486,7.114876259e-05
62,116,1.698200918e-05
63,432,6.324334452e-05
64,103,1.507885298e-05
65,423,6.192577484e-05
66,107,1.56644395e-05
67,421,6.163298158e-05
68,120,1.75675957e-05
69,483,7.07095727e-05
70,104,1.522524961e-05
71,591,8.652040883e-05
72,156,2.283787441e-05
73,411,6.016901527e-05
74,176,2.576580703e-05
75,417,6.104739506e-05
76,187,2.737616997e-05
77,586,8.578842567e-05
78,159,2.32770643e-05
79,408,5.972982538e-05
80,151,2.210589126e-05
81,410,6.002261864e-05
82,148,2.166670136e-05
83,416,6.090099843e-05
84,164,2.400904746e-05
85,364,5.328837363e-05
86,153,2.239868452e-05
87,526,7.700462782e-05
88,94,1.37612833e-05
89,722,0.0001056983675
90,87,1.273650688e-05
91,660,9.662177635e-05
92,90,1.317569678e-05
93,571,8.359247621e-05
94,111,1.625002602e-05
95,734,0.000107455127
96,85,1.244371362e-05
97,426,6.236496474e-05
98,99,1.449326645e-05
99,585,8.564202904e-05
100,88,1.288290351e-05
101,445,6.514650072e-05
102,100,1.463966308e-05
103,568,8.315328632e-05
104,179,2.620499692e-05
105,181,2.649779018e-05
106,266,3.89415038e-05
107,305,4.465097241e-05
108,297,4.347979936e-05
109,292,4.27478162e-05
110,208,3.045049921e-05
111,262,3.835591728e-05
112,281,4.113745327e-05
113,314,4.596854208e-05
114,214,3.1328879e-05
115,228,3.337843183e-05
116,243,3.557438129e-05
117,252,3.689195097e-05
118,186,2.722977334e-05
119,232,3.396401835e-05
120,78,1.141893721e-05
121,368,5.387396015e-05
122,89,1.302930014e-05
123,414,6.060820517e-05
124,79,1.156533384e-05
125,386,5.65090995e-05
126,53,7.759021434e-06
127,345,5.050683764e-05
128,51,7.466228173e-06
129,261,3.820952065e-05
130,51,7.466228173e-06
131,414,6.060820517e-05
132,44,6.441451757e-06
133,366,5.358116689e-05
134,43,6.295055126e-06
135,340,4.977485449e-05
136,68,9.954970897e-06
137,463,6.778164008e-05
138,51,7.466228173e-06
139,272,3.981988359e-05
140,53,7.759021434e-06
141,319,4.670052524e-05
142,54,7.905418065e-06
143,350,5.123882079e-05
144,67,9.808574266e-06
145,282,4.12838499e-05
146,62,9.076591112e-06
147,248,3.630636445e-05
148,69,1.010136753e-05
149,262,3.835591728e-05
150,46,6.734245019e-06
151,172,2.51802205e-05
152,42,6.148658495e-06
153,280,4.099105663e-05
154,62,9.076591112e-06
155,256,3.747753749e-05
156,57,8.344607958e-06
157,128,1.873876875e-05
158,114,1.668921592e-05
159,212,3.103608574e-05
160,78,1.141893721e-05
161,161,2.356985757e-05
162,80,1.171173047e-05
163,179,2.620499692e-05
