metric,value
n_events,10000000
n_hits_in_crystal,48960
flux_total_cm2_s,0.1923274
surface_cm2,615.7521601
rate_per_s,29.606503
t_run_s,337763.6325
cps_total,0.1449534387

bin_keV,counts,cps
0,26,7.69769078e-05
1,40,0.000118426012
2,45,0.0001332292635
3,45,0.0001332292635
4,45,0.0001332292635
5,50,0.000148032515
6,57,0.0001687570671
7,64,0.0001894816192
8,62,0.0001835603186
9,58,0.0001717177174
10,62,0.0001835603186
11,58,0.0001717177174
12,87,0.0002575765761
13,57,0.0001687570671
14,73,0.0002161274719
15,48,0.0001421112144
16,89,0.0002634978767
17,58,0.0001717177174
18,84,0.0002486946252
19,54,0.0001598751162
20,92,0.0002723798276
21,54,0.0001598751162
22,109,0.0003227108827
23,48,0.0001421112144
24,120,0.000355278036
25,63,0.0001865209689
26,116,0.0003434354348
27,52,0.0001539538156
28,120,0.000355278036
29,48,0.0001421112144
30,108,0.0003197502324
31,56,0.0001657964168
32,114,0.0003375141342
33,69,0.0002042848707
34,120,0.000355278036
35,56,0.0001657964168
36,121,0.0003582386863
37,64,0.0001894816192
38,103,0.0003049469809
39,75,0.0002220487725
40,116,0.0003434354348
41,89,0.0002634978767
42,138,0.0004085697414
43,122,0.0003611993366
44,160,0.000473704048
45,119,0.0003523173857
46,116,0.0003434354348
47,183,0.0005417990049
48,133,0.0003937664899
49,236,0.0006987134708
50,123,0.0003641599869
51,258,0.0007638477774
52,180,0.000532917054
53,253,0.0007490445259
54,198,0.0005862087594
55,302,0.0008941163906
56,211,0.0006246972133
57,320,0.000947408096
58,232,0.0006868708696
59,348,0.001030306304
60,118,0.0003493567354
61,453,0.001341174586
62,124,0.0003671206372
63,510,0.001509931653
64,114,0.0003375141342
65,507,0.001501049702
66,126,0.0003730419378
67,524,0.001551380757
68,121,0.0003582386863
69,601,0.00177935083
70,117,0.0003463960851
71,640,0.001894816192
72,191,0.0005654842073
73,542,0.001604672463
74,180,0.000532917054
75,595,0.001761586928
76,211,0.0006246972133
77,531,0.001572105309
78,235,0.0006957528205
79,568,0.00168164937
80,182,0.0005388383546
81,508,0.001504010352
82,183,0.0005417990049
83,583,0.001726059125
84,205,0.0006069333115
85,618,0.001829681885
86,174,0.0005151531522
87,568,0.00168164937
88,97,0.0002871830791
89,560,0.001657964168
90,99,0.0002931043797
91,589,0.001743823027
92,94,0.0002783011282
93,628,0.001859288388
94,98,0.0002901437294
95,512,0.001515852954
96,114,0.0003375141342
97,560,0.001657964168
98,108,0.0003197502324
99,535,0.00158394791
100,98,0.0002901437294
101,495,0.001465521898
102,99,0.0002931043797
103,581,0.001720137824
104,288,0.0008526672864
105,338,0.001000699801
106,247,0.0007312806241
107,347,0.001027345654
108,257,0.0007608871271
109,299,0.0008852344397
110,268,0.0007934542804
111,297,0.0008793131391
112,257,0.0007608871271
113,368,0.00108951931
114,250,0.000740162575
115,279,0.0008260214337
116,261,0.0007727297283
117,303,0.0008970770409
118,241,0.0007135167223
119,294,0.0008704311882
120,81,0.0002398126743
121,421,0.001246433776
122,91,0.0002694191773
123,429,0.001270118979
124,83,0.0002457339749
125,377,0.001116165163
126,62,0.0001835603186
127,434,0.00128492223
128,42,0.0001243473126
129,398,0.001178338819
130,59,0.0001746783677
131,383,0.001133929065
132,51,0.0001509931653
133,383,0.001133929065
134,55,0.0001628357665
135,383,0.001133929065
136,53,0.0001569144659
137,340,0.001006621102
138,45,0.0001332292635
139,318,0.0009414867954
140,67,0.0001983635701
141,295,0.0008733918385
142,64,0.0001894816192
143,342,0.001012542403
144,65,0.0001924422695
145,262,0.0007756903786
146,58,0.0001717177174
147,267,0.0007904936301
148,86,0.0002546159258
149,297,0.0008793131391
150,77,0.0002279700731
151,295,0.0008733918385
152,77,0.0002279700731
153,293,0.0008674705379
154,73,0.0002161274719
155,260,0.000769769078
156,61,0.0001805996683
