metric,value
n_events,100000000
n_hits_in_crystal,486739
flux_total_cm2_s,0.1923274
surface_cm2,615.7521601
rate_per_s,29.606503
t_run_s,3377636.325
cps_total,0.1441063966

bin_keV,counts,cps
0,287,8.497066361e-05
1,411,0.0001216827273
2,490,0.0001450718647
3,415,0.0001228669874
4,447,0.0001323410684
5,556,0.0001646121567
6,629,0.0001862249039
7,625,0.0001850406437
8,691,0.0002045809357
9,541,0.0001601711812
10,595,0.0001761586928
11,550,0.0001628357665
12,685,0.0002028045455
13,522,0.0001545459457
14,729,0.0002158314069
15,530,0.0001569144659
16,808,0.0002392205442
17,526,0.0001557302058
18,820,0.0002427733246
19,564,0.0001669806769
20,884,0.0002617214865
21,537,0.0001589869211
22,977,0.0002892555343
23,534,0.000158098726
24,1105,0.0003271518581
25,521,0.0001542498806
26,1162,0.0003440275649
27,555,0.0001643160916
28,1218,0.0003606072065
29,527,0.0001560262708
30,1246,0.0003688970274
31,578,0.0001711255873
32,1215,0.0003597190114
33,583,0.0001726059125
34,1169,0.0003461000201
35,597,0.0001767508229
36,1243,0.0003680088323
37,597,0.0001767508229
38,1183,0.0003502449305
39,771,0.0002282661381
40,1220,0.0003611993366
41,833,0.00024662217
42,1414,0.0004186359524
43,1128,0.0003339613538
44,1281,0.0003792593034
45,1251,0.0003703773525
46,1256,0.0003718576777
47,1725,0.0005107121767
48,1266,0.000374818328
49,2138,0.0006329870341
50,1275,0.0003774829132
51,2445,0.0007238789983
52,1765,0.0005225547779
53,2524,0.0007472681357
54,1953,0.0005782150036
55,2927,0.0008665823428
56,2061,0.0006101900268
57,3147,0.0009317166494
58,2143,0.0006344673593
59,3464,0.001025569264
60,1353,0.0004005759856
61,4746,0.001405124632
62,1151,0.0003407708495
63,5244,0.001552565017
64,1135,0.000336033809
65,5207,0.001541610611
66,1184,0.0003505409955
67,5294,0.001567368269
68,1134,0.000335737744
69,5756,0.001704150313
70,1158,0.0003428433047
71,6218,0.001840932356
72,1903,0.0005634117521
73,5618,0.001663293338
74,1925,0.0005699251827
75,5811,0.001720433889
76,1925,0.0005699251827
77,5418,0.001604080333
78,1906,0.0005642999472
79,5403,0.001599639357
80,1794,0.0005311406638
81,5008,0.00148269367
82,1923,0.0005693330527
83,5475,0.001620956039
84,1979,0.0005859126944
85,5903,0.001747671872
86,1855,0.0005492006306
87,5457,0.001615626869
88,1025,0.0003034666557
89,5661,0.001676024135
90,1007,0.0002981374852
91,5987,0.001772541335
92,972,0.0002877752092
93,6159,0.00182346452
94,980,0.0002901437294
95,5497,0.00162746947
96,988,0.0002925122496
97,5561,0.001646417632
98,979,0.0002898476644
99,5094,0.001508155263
100,979,0.0002898476644
101,5408,0.001601119682
102,1054,0.0003120525416
103,5565,0.001647601892
104,2987,0.0008843462446
105,3531,0.001045405621
106,2574,0.0007620713872
107,3052,0.0009035904715
108,2541,0.0007523012412
109,2976,0.0008810895293
110,2629,0.0007783549639
111,3142,0.0009302363242
112,2590,0.0007668084277
113,3164,0.0009367497549
114,2398,0.0007099639419
115,2761,0.0008174355478
116,2495,0.0007386822498
117,2884,0.0008538515465
118,2373,0.0007025623162
119,2870,0.0008497066361
120,926,0.0002741562178
121,4260,0.001261237028
122,955,0.0002827421036
123,4183,0.00123844002
124,908,0.0002688270472
125,3995,0.001182779795
126,576,0.0001705334573
