metric,value
n_events,300000000
n_hits_in_crystal,81138
flux_total_cm2_s,0.09173247
surface_cm2,11309.73355
rate_per_s,259.3674485
t_run_s,1156660.181
cps_total,0.07014852011
shield,0
shield_pb_mm,0
shield_cavity_mm,none

bin_keV,counts,cps
0,50,4.322790808e-05
1,59,5.100893153e-05
2,76,6.570642028e-05
3,80,6.916465292e-05
4,72,6.224818763e-05
5,96,8.299758351e-05
6,111,9.596595593e-05
7,89,7.694567638e-05
8,119,0.0001028824212
9,83,7.175832741e-05
10,106,9.164316512e-05
11,88,7.608111822e-05
12,111,9.596595593e-05
13,87,7.521656005e-05
14,112,9.683051409e-05
15,95,8.213302535e-05
16,153,0.0001322773987
17,85,7.348744373e-05
18,144,0.0001244963753
19,88,7.608111822e-05
20,162,0.0001400584222
21,79,6.830009476e-05
22,155,0.000134006515
23,103,8.904949064e-05
24,196,0.0001694533997
25,91,7.86747927e-05
26,194,0.0001677242833
27,91,7.86747927e-05
28,157,0.0001357356314
29,75,6.484186212e-05
30,190,0.0001642660507
31,118,0.0001020178631
32,191,0.0001651306089
33,90,7.781023454e-05
34,226,0.0001953901445
35,93,8.040390902e-05
36,243,0.0002100876333
37,125,0.0001080697702
38,225,0.0001945255863
39,106,9.164316512e-05
40,232,0.0002005774935
41,158,0.0001366001895
42,191,0.0001651306089
43,169,0.0001461103293
44,231,0.0001997129353
45,257,0.0002221914475
46,224,0.0001936610282
47,270,0.0002334307036
48,213,0.0001841508884
49,385,0.0003328548922
50,219,0.0001893382374
51,418,0.0003613853115
52,320,0.0002766586117
53,420,0.0003631144278
54,336,0.0002904915423
55,475,0.0004106651267
56,324,0.0002801168443
57,556,0.0004806943378
58,325,0.0002809814025
59,558,0.0004824234541
60,242,0.0002092230751
61,770,0.0006657097844
62,199,0.0001720470741
63,797,0.0006890528547
64,207,0.0001789635394
65,886,0.0007659985311
66,198,0.000171182516
67,937,0.0008100909974
68,186,0.000160807818
69,905,0.0007824251362
70,187,0.0001616723762
71,892,0.0007711858801
72,290,0.0002507218668
73,923,0.0007979871831
74,363,0.0003138346126
75,954,0.0008247884861
76,314,0.0002714712627
77,891,0.0007703213219
78,327,0.0002827105188
79,959,0.0008291112769
80,328,0.000283575077
81,916,0.000791935276
82,322,0.000278387728
83,803,0.0006942402037
84,320,0.0002766586117
85,929,0.0008031745321
86,327,0.0002827105188
87,852,0.0007366035536
88,159,0.0001374647477
89,992,0.0008576416963
90,176,0.0001521622364
91,981,0.0008481315565
92,186,0.000160807818
93,1001,0.0008654227197
94,183,0.0001582141436
95,907,0.0007841542525
96,174,0.0001504331201
97,898,0.0007763732291
98,195,0.0001685888415
99,852,0.0007366035536
100,164,0.0001417875385
101,905,0.0007824251362
102,159,0.0001374647477
103,899,0.0007772377872
104,465,0.0004020195451
105,592,0.0005118184316
106,458,0.000395967638
107,523,0.0004521639185
108,420,0.0003631144278
109,521,0.0004504348022
110,423,0.0003657081023
111,549,0.0004746424307
112,426,0.0003683017768
113,494,0.0004270917318
114,461,0.0003985613125
115,501,0.0004331436389
116,420,0.0003631144278
117,481,0.0004158524757
118,396,0.000342365032
119,433,0.0003743536839
120,155,0.000134006515
121,711,0.0006147008529
122,150,0.0001296837242
123,703,0.0006077843876
124,133,0.0001149862355
125,632,0.0005464007581
126,91,7.86747927e-05
127,724,0.000625940109
128,85,7.348744373e-05
129,674,0.0005827122009
130,91,7.86747927e-05
131,721,0.0006233464345
132,101,8.732037432e-05
133,636,0.0005498589907
134,94,8.126846719e-05
135,578,0.0004997146174
136,97,8.386214167e-05
137,538,0.0004651322909
138,74,6.397730395e-05
139,565,0.0004884753613
140,95,8.213302535e-05
141,589,0.0005092247571
142,84,7.262288557e-05
143,541,0.0004677259654
144,127,0.0001097988865
145,490,0.0004236334992
146,132,0.0001141216773
147,455,0.0003933739635
148,109,9.423683961e-05
149,442,0.0003821347074
150,105,9.077860696e-05
151,431,0.0003726245676
152,119,0.0001028824212
153,370,0.0003198865198
154,106,9.164316512e-05
155,427,0.000369166335
156,105,9.077860696e-05
157,383,0.0003311257759
158,162,0.0001400584222
159,331,0.0002861687515
160,166,0.0001435166548
161,280,0.0002420762852
162,178,0.0001538913528
163,312,0.0002697421464
164,143,0.0001236318171
165,277,0.0002394826107
166,159,0.0001374647477
167,255,0.0002204623312
168,150,0.0001296837242
169,287,0.0002481281924
170,165,0.0001426520967
171,261,0.0002256496802
172,138,0.0001193090263
173,256,0.0002213268894
174,148,0.0001279546079
175,255,0.0002204623312
176,72,6.224818763e-05
177,314,0.0002714712627
178,66,5.706083866e-05
179,317,0.0002740649372
180,62,5.360260602e-05
181,345,0.0002982725657
182,66,5.706083866e-05
183,324,0.0002801168443
184,67,5.792539682e-05
185,303,0.0002619611229
186,60,5.187348969e-05
187,292,0.0002524509832
188,58,5.014437337e-05
189,278,0.0002403471689
190,64,5.533172234e-05
191,290,0.0002507218668
192,78,6.74355366e-05
193,252,0.0002178686567
194,65,5.61962805e-05
195,256,0.0002213268894
196,62,5.360260602e-05
197,270,0.0002334307036
198,44,3.804055911e-05
199,227,0.0001962547027
200,64,5.533172234e-05
201,239,0.0002066294006
202,68,5.878995498e-05
203,217,0.0001876091211
204,60,5.187348969e-05
205,216,0.0001867445629
206,49,4.236334992e-05
207,193,0.0001668597252
208,103,8.904949064e-05
209,163,0.0001409229803
210,103,8.904949064e-05
211,174,0.0001504331201
212,86,7.435200189e-05
213,167,0.000144381213
214,86,7.435200189e-05
215,140,0.0001210381426
216,101,8.732037432e-05
217,150,0.0001296837242
218,82,7.089376925e-05
219,142,0.0001227672589
220,85,7.348744373e-05
221,134,0.0001158507936
222,108,9.337228145e-05
223,150,0.0001296837242
224,89,7.694567638e-05
225,126,0.0001089343284
