metric,value
n_events,300000000
n_hits_in_crystal,91406
flux_total_cm2_s,0.04734521
surface_cm2,11309.73355
rate_per_s,133.8654275
t_run_s,2241056.601
cps_total,0.0407870109
shield,0
shield_pb_mm,0
shield_cavity_mm,none

bin_keV,counts,cps
0,51,2.275712268e-05
1,78,3.480501116e-05
2,73,3.25739207e-05
3,91,4.060584635e-05
4,84,3.748231971e-05
5,85,3.79285378e-05
6,110,4.908399009e-05
7,103,4.596046345e-05
8,126,5.622347956e-05
9,96,4.283693681e-05
10,139,6.202431475e-05
11,84,3.748231971e-05
12,132,5.890078811e-05
13,109,4.8637772e-05
14,156,6.961002231e-05
15,98,4.372937299e-05
16,167,7.451842132e-05
17,110,4.908399009e-05
18,187,8.344278316e-05
19,114,5.086886246e-05
20,175,7.808816606e-05
21,98,4.372937299e-05
22,206,9.19209269e-05
23,103,4.596046345e-05
24,222,9.906041637e-05
25,84,3.748231971e-05
26,214,9.549067164e-05
27,92,4.105206444e-05
28,218,9.7275544e-05
29,110,4.908399009e-05
30,230,0.0001026301611
31,102,4.551424536e-05
32,249,0.0001111083048
33,94,4.194450063e-05
34,218,9.7275544e-05
35,99,4.417559108e-05
36,222,9.906041637e-05
37,118,5.265373483e-05
38,243,0.0001084309963
39,155,6.916380422e-05
40,238,0.0001061999058
41,190,8.478143743e-05
42,265,0.0001182477943
43,208,9.281336309e-05
44,244,0.0001088772144
45,245,0.0001093234325
46,253,0.0001128931772
47,349,0.000155730114
48,283,0.00012627972
49,462,0.0002061527584
50,265,0.0001182477943
51,482,0.0002150771202
52,373,0.0001664393482
53,510,0.0002275712268
54,376,0.0001677780025
55,572,0.0002552367485
56,444,0.0001981208327
57,660,0.0002945039406
58,432,0.0001927662156
59,730,0.000325739207
60,255,0.0001137856134
61,874,0.0003899946122
62,293,0.0001307419009
63,966,0.0004310466766
64,266,0.0001186940124
65,1080,0.0004819155391
66,255,0.0001137856134
67,1121,0.0005002104809
68,265,0.0001182477943
69,1152,0.0005140432417
70,230,0.0001026301611
71,1299,0.0005796373012
72,353,0.0001575149864
73,1101,0.000491286119
74,396,0.0001767023643
75,1172,0.0005229676035
76,405,0.0001807183272
77,1159,0.0005171667683
78,415,0.0001851805081
79,1168,0.0005211827312
80,380,0.0001695628749
81,1073,0.0004787920125
82,367,0.0001637620397
83,1059,0.0004725449592
84,382,0.0001704553111
85,1035,0.000461835725
86,360,0.000160638513
87,1058,0.0004720987411
88,205,9.147470881e-05
89,1237,0.0005519717795
90,223,9.950663446e-05
91,1390,0.0006202431475
92,215,9.593688973e-05
93,1432,0.0006389843074
94,193,8.612009171e-05
95,1126,0.0005024415713
96,199,8.879740026e-05
97,1102,0.0004917323371
98,225,0.0001003990706
99,1151,0.0005135970236
100,191,8.522765553e-05
101,1039,0.0004636205973
102,199,8.879740026e-05
103,964,0.0004301542405
104,540,0.0002409577695
105,668,0.0002980736853
106,544,0.0002427426419
107,671,0.0002994123396
108,536,0.0002391728972
109,652,0.0002909341958
110,495,0.0002208779554
111,600,0.0002677308551
112,479,0.000213738466
113,592,0.0002641611103
114,481,0.0002146309021
115,562,0.0002507745676
116,456,0.0002034754498
117,630,0.0002811173978
118,466,0.0002079376308
119,544,0.0002427426419
120,179,7.987303842e-05
121,806,0.000359651782
122,168,7.496463942e-05
123,769,0.0003431417126
124,160,7.139489468e-05
125,787,0.0003511736382
126,122,5.443860719e-05
127,807,0.000360098
128,113,5.042264437e-05
129,941,0.0004198912243
130,98,4.372937299e-05
131,760,0.0003391257497
132,96,4.283693681e-05
133,661,0.0002949501587
134,105,4.685289963e-05
135,699,0.0003119064461
136,113,5.042264437e-05
137,648,0.0002891493235
138,92,4.105206444e-05
139,652,0.0002909341958
140,110,4.908399009e-05
141,601,0.0002681770731
142,113,5.042264437e-05
143,566,0.0002525594399
144,121,5.39923891e-05
145,568,0.0002534518761
146,125,5.577726147e-05
147,534,0.000238280461
148,144,6.425540521e-05
149,503,0.0002244477002
150,135,6.023944239e-05
151,482,0.0002150771202
152,141,6.291675094e-05
153,542,0.0002418502057
154,130,5.800835193e-05
155,413,0.0001842880719
156,125,5.577726147e-05
157,482,0.0002150771202
158,180,8.031925652e-05
159,321,0.0001432360075
160,181,8.076547461e-05
161,356,0.0001588536407
162,160,7.139489468e-05
163,322,0.0001436822255
164,169,7.541085751e-05
165,308,0.0001374351723
166,165,7.362598514e-05
167,356,0.0001588536407
168,156,6.961002231e-05
169,285,0.0001271721562
