metric,value
n_events,300000000
n_hits_in_crystal,89247
flux_total_cm2_s,0.004861497
surface_cm2,11309.73355
rate_per_s,13.74555893
t_run_s,21825231.07
cps_total,0.004089166327
shield,0
shield_pb_mm,0
shield_cavity_mm,none

bin_keV,counts,cps
0,42,1.924378251e-06
1,74,3.390571204e-06
2,80,3.665482383e-06
3,70,3.207297085e-06
4,86,3.940393561e-06
5,99,4.536034448e-06
6,130,5.956408872e-06
7,111,5.085856806e-06
8,152,6.964416527e-06
9,116,5.314949455e-06
10,134,6.139682991e-06
11,98,4.490215919e-06
12,133,6.093864461e-06
13,102,4.673490038e-06
14,131,6.002227401e-06
15,108,4.948401216e-06
16,184,8.43060948e-06
17,95,4.352760329e-06
18,164,7.514238884e-06
19,97,4.444397389e-06
20,220,1.008007655e-05
21,103,4.719308568e-06
22,188,8.613883599e-06
23,90,4.12366768e-06
24,196,8.980431837e-06
25,109,4.994219746e-06
26,211,9.667709784e-06
27,92,4.21530474e-06
28,224,1.026335067e-05
29,98,4.490215919e-06
30,215,9.850983903e-06
31,71,3.253115615e-06
32,222,1.017171361e-05
33,165,7.560057414e-06
34,222,1.017171361e-05
35,142,6.506231229e-06
36,233,1.067571744e-05
37,185,8.47642801e-06
38,291,1.333319217e-05
39,403,1.84648675e-05
40,266,1.218772892e-05
41,168,7.697513003e-06
42,256,1.172954362e-05
43,230,1.053826185e-05
44,282,1.29208254e-05
45,250,1.145463245e-05
46,256,1.172954362e-05
47,345,1.580739277e-05
48,275,1.260009569e-05
49,468,2.144307194e-05
50,253,1.159208803e-05
51,573,2.625401757e-05
52,314,1.438701835e-05
53,457,2.093906811e-05
54,396,1.814413779e-05
55,600,2.749111787e-05
56,397,1.818995632e-05
57,668,3.060677789e-05
58,382,1.750267838e-05
59,642,2.941549612e-05
60,253,1.159208803e-05
61,1199,5.493641721e-05
62,231,1.058408038e-05
63,768,3.518863087e-05
64,239,1.095062862e-05
65,1038,4.755963391e-05
66,244,1.117972127e-05
67,1202,5.50738728e-05
68,214,9.805165373e-06
69,1096,5.021710864e-05
70,236,1.081317303e-05
71,1370,6.27713858e-05
72,370,1.695285602e-05
73,1167,5.347022426e-05
74,366,1.67695819e-05
75,1042,4.774290803e-05
76,391,1.791504514e-05
77,1008,4.618507802e-05
78,363,1.663212631e-05
79,988,4.526870742e-05
80,381,1.745685985e-05
81,1077,4.934655658e-05
82,340,1.557830013e-05
83,1098,5.03087457e-05
84,331,1.516593336e-05
85,915,4.192395475e-05
86,318,1.457029247e-05
87,919,4.210722887e-05
88,172,7.880787122e-06
89,1262,5.782298458e-05
90,196,8.980431837e-06
91,1179,5.402004661e-05
92,192,8.797157718e-06
93,1175,5.383677249e-05
94,199,9.117887427e-06
95,1339,6.135101138e-05
96,214,9.805165373e-06
97,976,4.471888507e-05
98,186,8.522246539e-06
99,1107,5.072111247e-05
100,172,7.880787122e-06
101,850,3.894575031e-05
102,187,8.568065069e-06
103,919,4.210722887e-05
104,589,2.698711404e-05
105,631,2.891149229e-05
106,518,2.373399843e-05
107,608,2.785766611e-05
108,413,1.89230528e-05
109,487,2.2313624e-05
110,504,2.309253901e-05
111,573,2.625401757e-05
112,404,1.851068603e-05
113,474,2.171798312e-05
114,543,2.487946167e-05
115,614,2.813257729e-05
116,455,2.084743105e-05
117,495,2.268017224e-05
118,441,2.020597163e-05
119,523,2.396309108e-05
120,134,6.139682991e-06
121,694,3.179805967e-05
122,172,7.880787122e-06
123,774,3.546354205e-05
124,168,7.697513003e-06
125,693,3.175224114e-05
126,121,5.544042104e-06
127,790,3.619663853e-05
128,94,4.3069418e-06
129,674,3.088168907e-05
130,117,5.360767984e-06
131,700,3.207297085e-05
132,111,5.085856806e-06
133,625,2.863658111e-05
134,125,5.727316223e-06
135,857,3.926648002e-05
136,93,4.26112327e-06
137,681,3.120241878e-05
138,108,4.948401216e-06
139,623,2.854494405e-05
140,118,5.406586514e-06
141,597,2.735366228e-05
142,110,5.040038276e-06
143,658,3.01485926e-05
144,116,5.314949455e-06
145,487,2.2313624e-05
146,95,4.352760329e-06
147,458,2.098488664e-05
148,139,6.36877564e-06
149,482,2.208453135e-05
150,132,6.048045931e-06
151,506,2.318417607e-05
152,127,5.818953282e-06
153,500,2.290926489e-05
154,123,5.635679163e-06
155,469,2.148889047e-05
156,98,4.490215919e-06
157,400,1.832741191e-05
158,177,8.109879771e-06
159,330,1.512011483e-05
160,157,7.193509176e-06
161,304,1.392883305e-05
162,171,7.834968593e-06
163,288,1.319573658e-05
164,186,8.522246539e-06
165,297,1.360810335e-05
166,136,6.23132005e-06
167,279,1.278336981e-05
168,173,7.926605652e-06
169,328,1.502847777e-05
170,166,7.605875944e-06
171,341,1.562411866e-05
172,176,8.064061242e-06
173,333,1.525757042e-05
174,156,7.147690646e-06
175,262,1.20044548e-05
176,66,3.024022966e-06
177,299,1.36997404e-05
178,62,2.840748846e-06
179,309,1.41579257e-05
180,59,2.703293257e-06
181,339,1.55324816e-05
182,67,3.069841495e-06
183,323,1.479938512e-05
184,89,4.077849151e-06
185,365,1.672376337e-05
186,62,2.840748846e-06
187,233,1.067571744e-05
188,51,2.336745019e-06
189,256,1.172954362e-05
190,68,3.115660025e-06
191,314,1.438701835e-05
192,49,2.245107959e-06
193,184,8.43060948e-06
194,79,3.619663853e-06
195,275,1.260009569e-05
196,68,3.115660025e-06
197,288,1.319573658e-05
198,47,2.1534709e-06
199,193,8.842976248e-06
200,41,1.878559721e-06
201,249,1.140881392e-05
202,69,3.161478555e-06
203,271,1.241682157e-05
204,70,3.207297085e-06
205,234,1.072153597e-05
206,60,2.749111787e-06
207,198,9.072068897e-06
208,91,4.16948621e-06
209,120,5.498223574e-06
210,94,4.3069418e-06
211,178,8.155698301e-06
212,83,3.802937972e-06
213,161,7.376783295e-06
214,99,4.536034448e-06
215,155,7.101872116e-06
216,83,3.802937972e-06
217,176,8.064061242e-06
218,90,4.12366768e-06
219,113,5.177493865e-06
220,94,4.3069418e-06
221,146,6.689505348e-06
222,83,3.802937972e-06
223,111,5.085856806e-06
224,75,3.436389734e-06
225,126,5.773134753e-06
226,90,4.12366768e-06
227,114,5.223312395e-06
228,93,4.26112327e-06
229,115,5.269130925e-06
230,70,3.207297085e-06
231,141,6.460412699e-06
232,68,3.115660025e-06
233,159,7.285146235e-06
234,92,4.21530474e-06
235,131,6.002227401e-06
236,95,4.352760329e-06
237,98,4.490215919e-06
238,61,2.794930317e-06
239,112,5.131675336e-06
240,50,2.290926489e-06
241,98,4.490215919e-06
242,32,1.466192953e-06
243,99,4.536034448e-06
244,47,2.1534709e-06
245,138,6.32295711e-06
246,26,1.191281774e-06
247,134,6.139682991e-06
248,42,1.924378251e-06
249,112,5.131675336e-06
250,27,1.237100304e-06
251,143,6.552049759e-06
252,28,1.282918834e-06
253,129,5.910590342e-06
254,29,1.328737364e-06
255,110,5.040038276e-06
256,27,1.237100304e-06
257,120,5.498223574e-06
258,23,1.053826185e-06
259,115,5.269130925e-06
260,16,7.330964765e-07
261,78,3.573845323e-06
262,29,1.328737364e-06
263,150,6.872779467e-06
264,31,1.420374423e-06
265,111,5.085856806e-06
266,24,1.099644715e-06
267,94,4.3069418e-06
268,24,1.099644715e-06
269,104,4.765127097e-06
270,22,1.008007655e-06
271,114,5.223312395e-06
272,34,1.557830013e-06
273,126,5.773134753e-06
274,27,1.237100304e-06
275,87,3.986212091e-06
276,23,1.053826185e-06
277,105,4.810945627e-06
278,11,5.040038276e-07
279,78,3.573845323e-06
280,24,1.099644715e-06
281,104,4.765127097e-06
282,19,8.705520659e-07
283,71,3.253115615e-06
284,18,8.247335361e-07
285,74,3.390571204e-06
286,28,1.282918834e-06
287,104,4.765127097e-06
288,48,2.19928943e-06
289,159,7.285146235e-06
290,17,7.789150063e-07
291,36,1.649467072e-06
292,23,1.053826185e-06
293,50,2.290926489e-06
294,19,8.705520659e-07
295,60,2.749111787e-06
296,27,1.237100304e-06
297,49,2.245107959e-06
298,34,1.557830013e-06
299,59,2.703293257e-06
300,19,8.705520659e-07
301,59,2.703293257e-06
302,30,1.374555893e-06
303,57,2.611656198e-06
304,33,1.512011483e-06
305,51,2.336745019e-06
306,29,1.328737364e-06
307,55,2.520019138e-06
308,23,1.053826185e-06
309,59,2.703293257e-06
310,23,1.053826185e-06
311,43,1.970196781e-06
312,21,9.621891254e-07
313,60,2.749111787e-06
314,14,6.414594169e-07
315,47,2.1534709e-06
316,20,9.163705956e-07
317,28,1.282918834e-06
318,22,1.008007655e-06
319,60,2.749111787e-06
320,21,9.621891254e-07
321,64,2.932385906e-06
322,27,1.237100304e-06
323,31,1.420374423e-06
324,17,7.789150063e-07
325,41,1.878559721e-06
326,21,9.621891254e-07
327,45,2.06183384e-06
328,35,1.603648542e-06
329,68,3.115660025e-06
330,17,7.789150063e-07
331,27,1.237100304e-06
332,21,9.621891254e-07
333,46,2.10765237e-06
334,10,4.581852978e-07
335,30,1.374555893e-06
336,23,1.053826185e-06
337,51,2.336745019e-06
338,21,9.621891254e-07
339,28,1.282918834e-06
340,19,8.705520659e-07
341,33,1.512011483e-06
342,17,7.789150063e-07
343,34,1.557830013e-06
344,16,7.330964765e-07
345,50,2.290926489e-06
346,19,8.705520659e-07
347,30,1.374555893e-06
348,18,8.247335361e-07
349,34,1.557830013e-06
350,20,9.163705956e-07
351,39,1.786922661e-06
352,21,9.621891254e-07
353,33,1.512011483e-06
354,17,7.789150063e-07
355,30,1.374555893e-06
356,18,8.247335361e-07
357,38,1.741104132e-06
358,10,4.581852978e-07
359,30,1.374555893e-06
360,13,5.956408872e-07
361,41,1.878559721e-06
362,15,6.872779467e-07
363,28,1.282918834e-06
364,17,7.789150063e-07
365,27,1.237100304e-06
366,8,3.665482383e-07
367,21,9.621891254e-07
368,16,7.330964765e-07
369,51,2.336745019e-06
370,15,6.872779467e-07
371,40,1.832741191e-06
372,15,6.872779467e-07
373,33,1.512011483e-06
374,23,1.053826185e-06
375,30,1.374555893e-06
376,10,4.581852978e-07
377,25,1.145463245e-06
378,17,7.789150063e-07
379,38,1.741104132e-06
380,8,3.665482383e-07
381,15,6.872779467e-07
382,11,5.040038276e-07
383,39,1.786922661e-06
384,18,8.247335361e-07
385,33,1.512011483e-06
386,16,7.330964765e-07
387,25,1.145463245e-06
388,11,5.040038276e-07
389,19,8.705520659e-07
390,8,3.665482383e-07
391,12,5.498223574e-07
392,16,7.330964765e-07
393,31,1.420374423e-06
394,14,6.414594169e-07
395,16,7.330964765e-07
396,13,5.956408872e-07
397,18,8.247335361e-07
398,14,6.414594169e-07
399,22,1.008007655e-06
400,15,6.872779467e-07
401,21,9.621891254e-07
402,7,3.207297085e-07
403,12,5.498223574e-07
404,15,6.872779467e-07
405,24,1.099644715e-06
406,11,5.040038276e-07
407,20,9.163705956e-07
408,16,7.330964765e-07
409,9,4.12366768e-07
410,13,5.956408872e-07
411,26,1.191281774e-06
412,10,4.581852978e-07
413,19,8.705520659e-07
414,15,6.872779467e-07
415,24,1.099644715e-06
416,13,5.956408872e-07
417,27,1.237100304e-06
418,14,6.414594169e-07
419,22,1.008007655e-06
420,13,5.956408872e-07
421,14,6.414594169e-07
422,14,6.414594169e-07
423,18,8.247335361e-07
424,16,7.330964765e-07
425,15,6.872779467e-07
426,11,5.040038276e-07
427,35,1.603648542e-06
428,14,6.414594169e-07
429,20,9.163705956e-07
430,10,4.581852978e-07
431,12,5.498223574e-07
432,21,9.621891254e-07
433,28,1.282918834e-06
434,17,7.789150063e-07
435,19,8.705520659e-07
436,10,4.581852978e-07
437,29,1.328737364e-06
438,14,6.414594169e-07
439,15,6.872779467e-07
440,13,5.956408872e-07
441,16,7.330964765e-07
442,9,4.12366768e-07
443,25,1.145463245e-06
444,11,5.040038276e-07
445,33,1.512011483e-06
446,8,3.665482383e-07
447,22,1.008007655e-06
448,18,8.247335361e-07
449,13,5.956408872e-07
450,7,3.207297085e-07
451,12,5.498223574e-07
452,26,1.191281774e-06
453,40,1.832741191e-06
454,18,8.247335361e-07
455,20,9.163705956e-07
456,10,4.581852978e-07
457,15,6.872779467e-07
458,19,8.705520659e-07
459,22,1.008007655e-06
460,15,6.872779467e-07
461,15,6.872779467e-07
462,11,5.040038276e-07
463,15,6.872779467e-07
464,14,6.414594169e-07
465,10,4.581852978e-07
466,10,4.581852978e-07
467,11,5.040038276e-07
468,9,4.12366768e-07
469,23,1.053826185e-06
470,11,5.040038276e-07
471,12,5.498223574e-07
472,17,7.789150063e-07
473,7,3.207297085e-07
474,5,2.290926489e-07
475,20,9.163705956e-07
476,13,5.956408872e-07
477,14,6.414594169e-07
478,10,4.581852978e-07
479,16,7.330964765e-07
480,6,2.749111787e-07
481,13,5.956408872e-07
482,8,3.665482383e-07
483,12,5.498223574e-07
484,7,3.207297085e-07
485,9,4.12366768e-07
486,13,5.956408872e-07
487,23,1.053826185e-06
488,13,5.956408872e-07
489,13,5.956408872e-07
490,11,5.040038276e-07
491,20,9.163705956e-07
492,16,7.330964765e-07
493,19,8.705520659e-07
494,12,5.498223574e-07
495,15,6.872779467e-07
496,11,5.040038276e-07
497,10,4.581852978e-07
498,12,5.498223574e-07
499,14,6.414594169e-07
500,9,4.12366768e-07
501,16,7.330964765e-07
502,11,5.040038276e-07
503,19,8.705520659e-07
504,10,4.581852978e-07
505,12,5.498223574e-07
506,9,4.12366768e-07
507,15,6.872779467e-07
508,8,3.665482383e-07
509,19,8.705520659e-07
510,18,8.247335361e-07
511,23,1.053826185e-06
512,16,7.330964765e-07
513,14,6.414594169e-07
514,13,5.956408872e-07
515,13,5.956408872e-07
516,7,3.207297085e-07
517,20,9.163705956e-07
518,16,7.330964765e-07
519,16,7.330964765e-07
520,14,6.414594169e-07
521,12,5.498223574e-07
522,12,5.498223574e-07
523,2,9.163705956e-08
524,11,5.040038276e-07
525,14,6.414594169e-07
526,18,8.247335361e-07
527,21,9.621891254e-07
528,14,6.414594169e-07
529,9,4.12366768e-07
530,8,3.665482383e-07
531,11,5.040038276e-07
532,12,5.498223574e-07
533,14,6.414594169e-07
534,9,4.12366768e-07
535,10,4.581852978e-07
536,6,2.749111787e-07
537,10,4.581852978e-07
538,4,1.832741191e-07
539,10,4.581852978e-07
540,6,2.749111787e-07
541,9,4.12366768e-07
542,4,1.832741191e-07
543,12,5.498223574e-07
544,5,2.290926489e-07
545,8,3.665482383e-07
546,5,2.290926489e-07
547,15,6.872779467e-07
548,8,3.665482383e-07
549,10,4.581852978e-07
550,6,2.749111787e-07
551,6,2.749111787e-07
552,4,1.832741191e-07
553,11,5.040038276e-07
554,6,2.749111787e-07
555,10,4.581852978e-07
556,7,3.207297085e-07
557,6,2.749111787e-07
558,5,2.290926489e-07
559,13,5.956408872e-07
