metric,value
n_events,300000000
n_hits_in_crystal,110440
flux_total_cm2_s,0.0207926
surface_cm2,11309.73355
rate_per_s,58.78969147
t_run_s,5102935.438
cps_total,0.02164244509
shield,0
shield_pb_mm,0
shield_cavity_mm,none

bin_keV,counts,cps
0,42,8.230556806e-06
1,86,1.685304489e-05
2,106,2.077235765e-05
3,78,1.528531978e-05
4,90,1.763690744e-05
5,119,2.331991095e-05
6,111,2.175218584e-05
7,131,2.567149861e-05
8,156,3.057063956e-05
9,110,2.15562202e-05
10,156,3.057063956e-05
11,97,1.900866691e-05
12,171,3.351012414e-05
13,124,2.429973914e-05
14,167,3.272626158e-05
15,118,2.312394531e-05
16,176,3.448995233e-05
17,118,2.312394531e-05
18,222,4.350437169e-05
19,107,2.096832329e-05
20,235,4.605192498e-05
21,123,2.41037735e-05
22,257,5.036316902e-05
23,111,2.175218584e-05
24,307,6.016145094e-05
25,93,1.822480436e-05
26,298,5.839776019e-05
27,100,1.959656382e-05
28,292,5.722196636e-05
29,115,2.25360484e-05
30,315,6.172917604e-05
31,108,2.116428893e-05
32,333,6.525655753e-05
33,127,2.488763605e-05
34,311,6.094531349e-05
35,146,2.861098318e-05
36,367,7.191938923e-05
37,178,3.48818836e-05
38,350,6.858797338e-05
39,187,3.664557435e-05
40,344,6.741217955e-05
41,253,4.957930647e-05
42,380,7.446694253e-05
43,251,4.91873752e-05
44,393,7.701449582e-05
45,368,7.211535487e-05
46,442,8.66168121e-05
47,473,9.269174688e-05
48,400,7.838625529e-05
49,587,0.0001150318296
50,323,6.329690115e-05
51,792,0.0001552047855
52,517,0.000101314235
53,833,0.0001632393766
54,540,0.0001058214446
55,909,0.0001781327651
56,574,0.0001124842763
57,915,0.000179308559
58,607,0.0001189511424
59,1005,0.0001969454664
60,349,6.839200774e-05
61,1471,0.0002882654538
62,307,6.016145094e-05
63,1527,0.0002992395296
64,336,6.584445444e-05
65,1560,0.0003057063956
66,285,5.585020689e-05
67,1482,0.0002904210759
68,292,5.722196636e-05
69,1672,0.0003276545471
70,311,6.094531349e-05
71,1613,0.0003160925745
72,529,0.0001036658226
73,1588,0.0003111934335
74,601,0.0001177753486
75,2235,0.0004379832014
76,749,0.000146778263
77,2685,0.0005261677386
78,432,8.465715571e-05
79,1385,0.0002714124089
80,420,8.230556806e-05
81,1349,0.000264357646
82,444,8.700874337e-05
83,1279,0.0002506400513
84,397,7.779835838e-05
85,1266,0.000248092498
86,477,9.347560943e-05
87,1694,0.0003319657912
88,240,4.703175317e-05
89,1366,0.0002676890618
90,243,4.761965009e-05
91,1499,0.0002937524917
92,203,3.978102456e-05
93,1295,0.0002537755015
94,203,3.978102456e-05
95,1226,0.0002402538725
96,237,4.644385626e-05
97,1294,0.0002535795359
98,232,4.546402807e-05
99,1185,0.0002322192813
100,249,4.879544392e-05
101,1331,0.0002608302645
102,245,4.801158137e-05
103,1226,0.0002402538725
104,674,0.0001320808402
105,811,0.0001589281326
106,631,0.0001236543177
107,791,0.0001550088198
108,605,0.0001185592111
109,707,0.0001385477062
110,567,0.0001111125169
111,567,0.0001111125169
112,576,0.0001128762076
113,635,0.0001244381803
114,492,9.641509401e-05
115,555,0.0001087609292
116,503,9.857071603e-05
117,672,0.0001316889089
118,530,0.0001038617883
119,596,0.0001167955204
120,185,3.625364307e-05
121,872,0.0001708820365
122,192,3.762540254e-05
123,856,0.0001677465863
124,207,4.056488711e-05
125,877,0.0001718618647
126,139,2.723922371e-05
127,1016,0.0001991010884
128,134,2.625939552e-05
129,971,0.0001902826347
130,112,2.194815148e-05
131,918,0.0001798964559
132,116,2.273201403e-05
133,869,0.0001702941396
134,120,2.351587659e-05
135,823,0.0001612797203
136,115,2.25360484e-05
137,777,0.0001522653009
138,136,2.66513268e-05
139,815,0.0001597119952
140,114,2.234008276e-05
141,782,0.0001532451291
142,127,2.488763605e-05
143,778,0.0001524612665
144,180,3.527381488e-05
145,688,0.0001348243591
146,160,3.135450212e-05
147,730,0.0001430549159
148,179,3.507784924e-05
149,740,0.0001450145723
150,169,3.311819286e-05
151,608,0.000119147108
152,163,3.194239903e-05
153,538,0.0001054295134
154,167,3.272626158e-05
155,608,0.000119147108
156,133,2.606342988e-05
157,594,0.0001164035891
158,221,4.330840605e-05
159,450,8.81845372e-05
160,203,3.978102456e-05
161,411,8.054187731e-05
162,244,4.781561573e-05
163,482,9.445543763e-05
164,206,4.036892147e-05
165,381,7.466290816e-05
166,217,4.25245435e-05
167,369,7.231132051e-05
168,209,4.095681839e-05
169,405,7.936608348e-05
170,182,3.566574616e-05
171,318,6.231707296e-05
172,184,3.605767743e-05
173,363,7.113552668e-05
174,200,3.919312765e-05
175,363,7.113552668e-05
176,56,1.097407574e-05
177,412,8.073784295e-05
178,67,1.312969776e-05
179,379,7.427097689e-05
180,60,1.175793829e-05
181,335,6.564848881e-05
182,64,1.254180085e-05
183,377,7.387904561e-05
184,56,1.097407574e-05
185,310,6.074934785e-05
186,67,1.312969776e-05
187,319,6.251303859e-05
188,55,1.07781101e-05
189,267,5.232282541e-05
190,70,1.371759468e-05
191,308,6.035741657e-05
192,52,1.019021319e-05
193,338,6.623638572e-05
194,63,1.234583521e-05
195,253,4.957930647e-05
196,52,1.019021319e-05
197,261,5.114703158e-05
198,59,1.156197266e-05
199,280,5.48703787e-05
200,60,1.175793829e-05
201,313,6.133724477e-05
202,62,1.214986957e-05
203,226,4.428823424e-05
204,57,1.117004138e-05
205,255,4.997123775e-05
206,46,9.014419358e-06
207,225,4.40922686e-05
208,115,2.25360484e-05
209,161,3.155046775e-05
210,117,2.292797967e-05
211,177,3.468591797e-05
212,84,1.646111361e-05
213,153,2.998274265e-05
214,107,2.096832329e-05
215,140,2.743518935e-05
216,85,1.665707925e-05
217,118,2.312394531e-05
218,84,1.646111361e-05
219,145,2.841501754e-05
220,72,1.410952595e-05
221,128,2.508360169e-05
222,66,1.293373212e-05
223,111,2.175218584e-05
224,63,1.234583521e-05
225,125,2.449570478e-05
226,81,1.58732167e-05
227,107,2.096832329e-05
228,76,1.489338851e-05
229,130,2.547553297e-05
230,63,1.234583521e-05
231,89,1.74409418e-05
232,72,1.410952595e-05
233,98,1.920463255e-05
234,70,1.371759468e-05
235,118,2.312394531e-05
236,60,1.175793829e-05
237,112,2.194815148e-05
238,70,1.371759468e-05
239,106,2.077235765e-05
240,154,3.017870829e-05
