metric,value
n_events,300000000
n_hits_in_crystal,81011
flux_total_cm2_s,0.1007052
surface_cm2,11309.73355
rate_per_s,284.7372448
t_run_s,1053602.946
cps_total,0.07688949647
shield,0
shield_pb_mm,0
shield_cavity_mm,none

bin_keV,counts,cps
0,61,5.789657312e-05
1,64,6.074394557e-05
2,70,6.643869046e-05
3,61,5.789657312e-05
4,71,6.738781461e-05
5,84,7.972642856e-05
6,109,0.0001034545323
7,107,0.000101556284
8,105,9.96580357e-05
9,91,8.63702976e-05
10,98,9.301416665e-05
11,90,8.542117345e-05
12,111,0.0001053527806
13,96,9.111591835e-05
14,122,0.0001157931462
15,80,7.592993196e-05
16,152,0.0001442668707
17,82,7.782818026e-05
18,127,0.000120538767
19,89,8.447204931e-05
20,167,0.000158503733
21,86,8.162467686e-05
22,174,0.000165147602
23,87,8.257380101e-05
24,183,0.0001736897194
25,98,9.301416665e-05
26,209,0.0001983669472
27,92,8.731942175e-05
28,169,0.0001604019813
29,79,7.498080781e-05
30,198,0.0001879265816
31,81,7.687905611e-05
32,194,0.000184130085
33,117,0.0001110475255
34,240,0.0002277897959
35,80,7.592993196e-05
36,204,0.0001936213265
37,98,9.301416665e-05
38,222,0.0002107055612
39,133,0.0001262335119
40,215,0.0002040616921
41,138,0.0001309791326
42,235,0.0002230441751
43,203,0.0001926722023
44,210,0.0001993160714
45,267,0.0002534161479
46,209,0.0001983669472
47,322,0.0003056179761
48,213,0.0002021634438
49,350,0.0003321934523
50,193,0.0001831809609
51,426,0.0004043268877
52,296,0.0002809407483
53,417,0.0003957847703
54,338,0.0003208039625
55,464,0.0004403936054
56,359,0.0003407355697
57,580,0.0005504920067
58,330,0.0003132109693
59,560,0.0005315095237
60,222,0.0002107055612
61,794,0.0007536045747
62,215,0.0002040616921
63,883,0.000838076624
64,224,0.0002126038095
65,919,0.0008722450934
66,194,0.000184130085
67,946,0.0008978714454
68,202,0.0001917230782
69,897,0.0008513643621
70,224,0.0002126038095
71,994,0.0009434294046
72,310,0.0002942284863
73,971,0.0009215995492
74,335,0.0003179565901
75,1039,0.0009861399913
76,323,0.0003065671003
77,947,0.0008988205696
78,317,0.0003008723554
79,871,0.0008266871342
80,338,0.0003208039625
81,882,0.0008371274999
82,282,0.0002676530102
83,893,0.0008475678655
84,333,0.0003160583418
85,904,0.0008580082311
86,305,0.0002894828656
87,884,0.0008390257482
88,188,0.0001784353401
89,1057,0.001003224226
90,159,0.0001509107398
91,997,0.000946276777
92,151,0.0001433177466
93,953,0.0009045153145
94,190,0.0001803335884
95,987,0.0009367855356
96,190,0.0001803335884
97,870,0.0008257380101
98,172,0.0001632493537
99,942,0.0008940749488
100,181,0.0001717914711
101,873,0.0008285853825
102,188,0.0001784353401
103,887,0.0008418731206
104,468,0.000444190102
105,540,0.0005125270407
106,468,0.000444190102
107,527,0.0005001884268
108,500,0.0004745620747
109,512,0.0004859515645
110,439,0.0004166655016
111,513,0.0004869006887
112,438,0.0004157163775
113,447,0.0004242584948
114,464,0.0004403936054
115,467,0.0004432409778
116,387,0.0003673110459
117,480,0.0004555795918
118,405,0.0003843952805
119,493,0.0004679182057
120,163,0.0001547072364
121,661,0.0006273710628
122,138,0.0001309791326
123,730,0.0006928606291
124,144,0.0001366738775
125,705,0.0006691325254
126,75,7.118431121e-05
127,647,0.0006140833247
128,103,9.77597874e-05
129,670,0.0006359131802
130,100,9.491241495e-05
131,590,0.0005599832482
132,115,0.0001091492772
133,603,0.0005723218621
134,82,7.782818026e-05
135,610,0.0005789657312
136,92,8.731942175e-05
137,571,0.0005419498894
138,93,8.82685459e-05
139,556,0.0005277130271
140,97,9.20650425e-05
141,542,0.000514425289
142,94,8.921767005e-05
143,465,0.0004413427295
144,121,0.0001148440221
145,464,0.0004403936054
146,125,0.0001186405187
147,433,0.0004109707567
148,145,0.0001376230017
149,444,0.0004214111224
150,104,9.870891155e-05
151,433,0.0004109707567
152,122,0.0001157931462
153,397,0.0003768022873
154,126,0.0001195896428
155,411,0.0003900900254
156,123,0.0001167422704
157,379,0.0003597180527
158,172,0.0001632493537
159,317,0.0003008723554
160,173,0.0001641984779
161,318,0.0003018214795
162,180,0.0001708423469
163,303,0.0002875846173
164,163,0.0001547072364
165,276,0.0002619582653
166,170,0.0001613511054
167,321,0.000304668852
168,152,0.0001442668707
169,284,0.0002695512585
170,143,0.0001357247534
171,246,0.0002334845408
172,171,0.0001623002296
173,271,0.0002572126445
174,129,0.0001224370153
175,253,0.0002401284098
176,72,6.833693876e-05
177,315,0.0002989741071
178,72,6.833693876e-05
179,319,0.0003027706037
180,64,6.074394557e-05
181,325,0.0003084653486
182,76,7.213343536e-05
183,288,0.0002733477551
184,67,6.359131802e-05
185,294,0.0002790425
186,64,6.074394557e-05
187,301,0.000285686369
188,62,5.884569727e-05
189,296,0.0002809407483
190,52,4.935445577e-05
191,278,0.0002638565136
192,72,6.833693876e-05
193,253,0.0002401284098
194,72,6.833693876e-05
195,230,0.0002182985544
196,55,5.220182822e-05
197,209,0.0001983669472
198,70,6.643869046e-05
199,216,0.0002050108163
200,61,5.789657312e-05
201,242,0.0002296880442
202,64,6.074394557e-05
203,240,0.0002277897959
204,64,6.074394557e-05
205,228,0.0002164003061
