metric,value
n_events,300000000
n_hits_in_crystal,85243
flux_total_cm2_s,0.003240363
surface_cm2,11309.73355
rate_per_s,9.161910536
t_run_s,32744262.11
cps_total,0.002603295799
shield,0
shield_pb_mm,0
shield_cavity_mm,none

bin_keV,counts,cps
0,49,1.496445388e-06
1,81,2.473715845e-06
2,85,2.595874652e-06
3,60,1.832382107e-06
4,82,2.504255547e-06
5,114,3.481526004e-06
6,128,3.909081829e-06
7,98,2.992890775e-06
8,166,5.069590497e-06
9,91,2.779112863e-06
10,164,5.008511093e-06
11,95,2.90127167e-06
12,121,3.695303916e-06
13,90,2.748573161e-06
14,171,5.222289006e-06
15,90,2.748573161e-06
16,151,4.61149497e-06
17,104,3.176128986e-06
18,168,5.1306699e-06
19,113,3.450986302e-06
20,167,5.100130198e-06
21,80,2.443176143e-06
22,184,5.619305129e-06
23,103,3.145589284e-06
24,188,5.741463936e-06
25,92,2.809652564e-06
26,177,5.405527216e-06
27,86,2.626414354e-06
28,205,6.260638866e-06
29,107,3.267748091e-06
30,212,6.474416779e-06
31,105,3.206668688e-06
32,237,7.237909324e-06
33,141,4.306097952e-06
34,238,7.268449025e-06
35,146,4.458796461e-06
36,251,7.665465149e-06
37,169,5.161209602e-06
38,255,7.787623956e-06
39,456,1.392610402e-05
40,239,7.298988727e-06
41,165,5.039050795e-06
42,240,7.329528429e-06
43,234,7.146290218e-06
44,243,7.421147534e-06
45,269,8.215179781e-06
46,221,6.749274095e-06
47,311,9.497847256e-06
48,240,7.329528429e-06
49,470,1.435365984e-05
50,211,6.443877077e-06
51,430,1.313207177e-05
52,342,1.044457801e-05
53,565,1.725493151e-05
54,330,1.007810159e-05
55,473,1.444527895e-05
56,362,1.105537205e-05
57,572,1.746870942e-05
58,403,1.230749982e-05
59,572,1.746870942e-05
60,227,6.932512306e-06
61,901,2.751627131e-05
62,229,6.993591709e-06
63,985,3.008160626e-05
64,217,6.627115288e-06
65,1021,3.118103552e-05
66,197,6.016321252e-06
67,878,2.681385817e-05
68,192,5.863622743e-06
69,908,2.773004922e-05
70,230,7.024131411e-06
71,1094,3.341043376e-05
72,358,1.093321324e-05
73,1167,3.563983199e-05
74,360,1.099429264e-05
75,901,2.751627131e-05
76,333,1.01697207e-05
77,948,2.895163729e-05
78,335,1.02308001e-05
79,1013,3.093671791e-05
80,323,9.864323677e-06
81,870,2.656954055e-05
82,339,1.035295891e-05
83,893,2.72719537e-05
84,319,9.74216487e-06
85,979,2.989836805e-05
86,377,1.151346757e-05
87,1074,3.279963972e-05
88,165,5.039050795e-06
89,1069,3.264694121e-05
90,153,4.672574373e-06
91,939,2.867677998e-05
92,181,5.527686023e-06
93,1047,3.197506777e-05
94,183,5.588765427e-06
95,973,2.971512984e-05
96,160,4.886352286e-06
97,989,3.020376507e-05
98,193,5.894162445e-06
99,958,2.925703431e-05
100,176,5.374987515e-06
101,935,2.855462117e-05
102,180,5.497146322e-06
103,849,2.592820682e-05
104,513,1.566686702e-05
105,518,1.581956553e-05
106,444,1.355962759e-05
