metric,value
n_events,300000000
n_hits_in_crystal,78644
flux_total_cm2_s,0.06279125
surface_cm2,11309.73355
rate_per_s,177.5380767
t_run_s,1689778.359
cps_total,0.04654101502
shield,0
shield_pb_mm,0
shield_cavity_mm,none

bin_keV,counts,cps
0,63,3.728299612e-05
1,68,4.024196406e-05
2,63,3.728299612e-05
3,82,4.852707431e-05
4,79,4.675169354e-05
5,89,5.266962943e-05
6,78,4.615989995e-05
7,120,7.10152307e-05
8,100,5.917935891e-05
9,94,5.562859738e-05
10,113,6.687267557e-05
11,92,5.44450102e-05
12,119,7.042343711e-05
13,77,4.556810636e-05
14,112,6.628088198e-05
15,95,5.622039097e-05
16,121,7.160702428e-05
17,89,5.266962943e-05
18,123,7.279061146e-05
19,89,5.266962943e-05
20,143,8.462648325e-05
21,77,4.556810636e-05
22,173,0.0001023802909
23,87,5.148604225e-05
24,175,0.0001035638781
25,98,5.799577173e-05
26,184,0.0001088900204
27,77,4.556810636e-05
28,195,0.0001153997499
29,70,4.142555124e-05
30,188,0.0001112571948
31,88,5.207783584e-05
32,198,0.0001171751306
33,99,5.858756532e-05
34,214,0.0001266438281
35,117,6.923984993e-05
36,197,0.0001165833371
37,99,5.858756532e-05
38,199,0.0001177669242
39,124,7.338240505e-05
40,212,0.0001254602409
41,127,7.515778582e-05
42,209,0.0001236848601
43,175,0.0001035638781
44,210,0.0001242766537
45,207,0.0001225012729
46,218,0.0001290110024
47,280,0.000165702205
48,212,0.0001254602409
49,349,0.0002065359626
50,227,0.0001343371447
51,396,0.0002343502613
52,254,0.0001503155716
53,399,0.0002361256421
54,310,0.0001834560126
55,444,0.0002627563536
56,327,0.0001935165036
57,487,0.0002882034779
58,343,0.0002029852011
59,562,0.0003325879971
60,173,0.0001023802909
61,734,0.0004343764944
62,202,0.000119542305
63,801,0.0004740266649
64,190,0.0001124407819
65,811,0.0004799446008
66,210,0.0001242766537
67,865,0.0005119014546
68,160,9.468697426e-05
69,925,0.0005474090699
70,166,9.82377358e-05
71,958,0.0005669382584
72,286,0.0001692529665
73,937,0.000554510593
74,324,0.0001917411229
75,956,0.0005657546712
76,304,0.0001799052511
77,828,0.0004900050918
78,305,0.0001804970447
79,853,0.0005047999315
80,311,0.0001840478062
81,803,0.0004752102521
82,301,0.0001781298703
83,902,0.0005337978174
84,290,0.0001716201408
85,849,0.0005024327572
86,287,0.0001698447601
87,823,0.0004870461239
88,187,0.0001106654012
89,935,0.0005533270058
90,179,0.0001059310525
91,871,0.0005154522161
92,166,9.82377358e-05
93,962,0.0005693054327
94,175,0.0001035638781
95,913,0.0005403075469
96,150,8.876903837e-05
97,892,0.0005278798815
98,141,8.344289607e-05
99,844,0.0004994737892
100,170,0.0001006049102
101,824,0.0004876379174
102,174,0.0001029720845
103,807,0.0004775774264
104,444,0.0002627563536
105,515,0.0003047736984
106,464,0.0002745922254
107,502,0.0002970803817
108,397,0.0002349420549
109,488,0.0002887952715
110,433,0.0002562466241
111,466,0.0002757758125
112,405,0.0002396764036
113,526,0.0003112834279
114,408,0.0002414517844
115,461,0.0002728168446
116,410,0.0002426353715
117,404,0.00023908461
118,388,0.0002296159126
119,487,0.0002882034779
120,155,9.172800632e-05
121,683,0.0004041950214
122,178,0.0001053392589
123,599,0.0003544843599
124,152,8.995262555e-05
125,596,0.0003527089791
126,94,5.562859738e-05
127,650,0.0003846658329
128,108,6.391370763e-05
129,603,0.0003568515342
130,97,5.740397815e-05
131,574,0.0003396895202
132,88,5.207783584e-05
133,602,0.0003562597407
134,84,4.971066149e-05
135,555,0.000328445442
136,87,5.148604225e-05
137,568,0.0003361387586
138,85,5.030245508e-05
139,529,0.0003130588086
140,91,5.385321661e-05
141,555,0.000328445442
142,86,5.089424867e-05
143,506,0.0002994475561
144,117,6.923984993e-05
145,471,0.0002787347805
146,113,6.687267557e-05
147,453,0.0002680824959
148,128,7.574957941e-05
149,451,0.0002668989087
150,114,6.746446916e-05
151,391,0.0002313912933
152,108,6.391370763e-05
153,393,0.0002325748805
154,106,6.273012045e-05
155,407,0.0002408599908
156,132,7.811675377e-05
157,375,0.0002219225959
158,146,8.640186401e-05
159,310,0.0001834560126
160,161,9.527876785e-05
161,305,0.0001804970447
162,152,8.995262555e-05
163,276,0.0001633350306
164,153,9.054441914e-05
165,269,0.0001591924755
166,153,9.054441914e-05
167,256,0.0001514991588
168,167,9.882952938e-05
169,265,0.0001568253011
170,142,8.403468966e-05
171,233,0.0001378879063
172,169,0.0001000131166
173,236,0.000139663287
174,161,9.527876785e-05
175,283,0.0001674775857
176,68,4.024196406e-05
177,342,0.0002023934075
178,65,3.846658329e-05
179,343,0.0002029852011
180,76,4.497631277e-05
181,308,0.0001822724255
182,75,4.438451918e-05
183,328,0.0001941082972
184,58,3.432402817e-05
185,321,0.0001899657421
186,47,2.781429869e-05
187,314,0.000185823187
188,75,4.438451918e-05
189,293,0.0001733955216
190,78,4.615989995e-05
191,265,0.0001568253011
192,49,2.899788587e-05
193,250,0.0001479483973
194,55,3.25486474e-05
195,253,0.000149723778
196,70,4.142555124e-05
197,268,0.0001586006819
198,79,4.675169354e-05
199,231,0.0001367043191
200,40,2.367174357e-05
201,220,0.0001301945896
202,60,3.550761535e-05
203,268,0.0001586006819
204,43,2.544712433e-05
205,196,0.0001159915435
206,50,2.958967946e-05
207,189,0.0001118489883
208,87,5.148604225e-05
209,143,8.462648325e-05
210,78,4.615989995e-05
211,154,9.113621273e-05
212,100,5.917935891e-05
213,137,8.107572171e-05
214,89,5.266962943e-05
215,148,8.758545119e-05
216,89,5.266962943e-05
217,141,8.344289607e-05
218,86,5.089424867e-05
219,148,8.758545119e-05
220,73,4.320093201e-05
221,145,8.581007042e-05
222,70,4.142555124e-05
223,122,7.219881787e-05
224,79,4.675169354e-05
225,129,7.6341373e-05
226,72,4.260913842e-05
227,128,7.574957941e-05
228,79,4.675169354e-05
229,119,7.042343711e-05
230,58,3.432402817e-05
231,122,7.219881787e-05
232,56,3.314044099e-05
233,109,6.450550122e-05
234,55,3.25486474e-05
235,110,6.50972948e-05
236,57,3.373223458e-05
237,89,5.266962943e-05
238,61,3.609940894e-05
239,117,6.923984993e-05
240,43,2.544712433e-05
241,150,8.876903837e-05
242,33,1.952918844e-05
243,147,8.69936576e-05
244,37,2.18963628e-05
245,129,7.6341373e-05
246,34,2.012098203e-05
247,134,7.930034094e-05
248,42,2.485533074e-05
249,111,6.568908839e-05
250,20,1.183587178e-05
251,100,5.917935891e-05
252,30,1.775380767e-05
253,157,9.291159349e-05
254,32,1.893739485e-05
255,113,6.687267557e-05
256,25,1.479483973e-05
257,96,5.681218456e-05
258,28,1.65702205e-05
259,105,6.213832686e-05
260,28,1.65702205e-05
261,83,4.91188679e-05
262,30,1.775380767e-05
263,74,4.37927256e-05
264,23,1.361125255e-05
265,95,5.622039097e-05
266,34,2.012098203e-05
267,76,4.497631277e-05
268,22,1.301945896e-05
269,93,5.503680379e-05
270,22,1.301945896e-05
271,77,4.556810636e-05
272,35,2.071277562e-05
273,102,6.036294609e-05
274,30,1.775380767e-05
275,97,5.740397815e-05
276,45,2.663071151e-05
277,221,0.0001307863832
278,24,1.420304614e-05
279,77,4.556810636e-05
280,31,1.834560126e-05
281,53,3.136506022e-05
282,20,1.183587178e-05
283,71,4.201734483e-05
284,21,1.242766537e-05
285,69,4.083375765e-05
286,23,1.361125255e-05
287,72,4.260913842e-05
288,21,1.242766537e-05
289,58,3.432402817e-05
290,26,1.538663332e-05
291,61,3.609940894e-05
292,21,1.242766537e-05
293,74,4.37927256e-05
294,22,1.301945896e-05
295,73,4.320093201e-05
296,19,1.124407819e-05
297,53,3.136506022e-05
298,21,1.242766537e-05
299,62,3.669120253e-05
300,21,1.242766537e-05
301,40,2.367174357e-05
302,21,1.242766537e-05
303,49,2.899788587e-05
304,33,1.952918844e-05
305,46,2.72225051e-05
306,35,2.071277562e-05
307,43,2.544712433e-05
308,25,1.479483973e-05
309,55,3.25486474e-05
310,12,7.10152307e-06
311,39,2.307994998e-05
312,26,1.538663332e-05
313,46,2.72225051e-05
314,23,1.361125255e-05
315,69,4.083375765e-05
316,23,1.361125255e-05
317,55,3.25486474e-05
318,12,7.10152307e-06
319,41,2.426353715e-05
320,20,1.183587178e-05
321,48,2.840609228e-05
322,20,1.183587178e-05
323,35,2.071277562e-05
324,26,1.538663332e-05
325,49,2.899788587e-05
326,14,8.285110248e-06
327,40,2.367174357e-05
328,27,1.597842691e-05
329,37,2.18963628e-05
330,25,1.479483973e-05
331,41,2.426353715e-05
332,15,8.876903837e-06
333,43,2.544712433e-05
334,20,1.183587178e-05
335,29,1.716201408e-05
336,18,1.06522846e-05
337,43,2.544712433e-05
338,17,1.006049102e-05
339,34,2.012098203e-05
340,21,1.242766537e-05
341,29,1.716201408e-05
342,19,1.124407819e-05
343,37,2.18963628e-05
344,18,1.06522846e-05
345,34,2.012098203e-05
346,17,1.006049102e-05
347,31,1.834560126e-05
348,8,4.734348713e-06
349,28,1.65702205e-05
350,21,1.242766537e-05
351,30,1.775380767e-05
352,13,7.693316659e-06
353,29,1.716201408e-05
354,18,1.06522846e-05
355,38,2.248815639e-05
356,18,1.06522846e-05
357,19,1.124407819e-05
358,22,1.301945896e-05
359,23,1.361125255e-05
360,22,1.301945896e-05
361,33,1.952918844e-05
362,20,1.183587178e-05
363,34,2.012098203e-05
364,17,1.006049102e-05
365,38,2.248815639e-05
366,14,8.285110248e-06
367,34,2.012098203e-05
368,15,8.876903837e-06
369,28,1.65702205e-05
370,12,7.10152307e-06
371,33,1.952918844e-05
372,13,7.693316659e-06
373,25,1.479483973e-05
374,17,1.006049102e-05
375,31,1.834560126e-05
376,11,6.50972948e-06
377,28,1.65702205e-05
378,20,1.183587178e-05
379,32,1.893739485e-05
380,19,1.124407819e-05
381,21,1.242766537e-05
382,13,7.693316659e-06
383,22,1.301945896e-05
384,14,8.285110248e-06
385,26,1.538663332e-05
386,13,7.693316659e-06
387,29,1.716201408e-05
388,17,1.006049102e-05
389,26,1.538663332e-05
390,18,1.06522846e-05
391,27,1.597842691e-05
392,11,6.50972948e-06
393,23,1.361125255e-05
394,13,7.693316659e-06
395,25,1.479483973e-05
396,9,5.326142302e-06
397,26,1.538663332e-05
398,15,8.876903837e-06
399,22,1.301945896e-05
400,8,4.734348713e-06
401,27,1.597842691e-05
402,18,1.06522846e-05
403,29,1.716201408e-05
404,11,6.50972948e-06
405,23,1.361125255e-05
406,9,5.326142302e-06
407,12,7.10152307e-06
408,11,6.50972948e-06
409,18,1.06522846e-05
410,6,3.550761535e-06
411,21,1.242766537e-05
412,8,4.734348713e-06
413,26,1.538663332e-05
414,14,8.285110248e-06
415,20,1.183587178e-05
416,7,4.142555124e-06
417,20,1.183587178e-05
418,15,8.876903837e-06
419,19,1.124407819e-05
420,18,1.06522846e-05
421,17,1.006049102e-05
422,11,6.50972948e-06
423,15,8.876903837e-06
424,13,7.693316659e-06
425,20,1.183587178e-05
426,9,5.326142302e-06
427,15,8.876903837e-06
428,7,4.142555124e-06
429,15,8.876903837e-06
430,11,6.50972948e-06
431,11,6.50972948e-06
432,6,3.550761535e-06
433,14,8.285110248e-06
434,10,5.917935891e-06
435,9,5.326142302e-06
436,10,5.917935891e-06
437,14,8.285110248e-06
438,8,4.734348713e-06
439,14,8.285110248e-06
440,13,7.693316659e-06
441,17,1.006049102e-05
442,11,6.50972948e-06
443,9,5.326142302e-06
444,10,5.917935891e-06
445,13,7.693316659e-06
446,10,5.917935891e-06
447,21,1.242766537e-05
448,4,2.367174357e-06
449,15,8.876903837e-06
450,10,5.917935891e-06
451,12,7.10152307e-06
452,5,2.958967946e-06
453,18,1.06522846e-05
454,13,7.693316659e-06
455,9,5.326142302e-06
456,9,5.326142302e-06
457,16,9.468697426e-06
458,13,7.693316659e-06
459,8,4.734348713e-06
460,12,7.10152307e-06
461,10,5.917935891e-06
462,10,5.917935891e-06
463,13,7.693316659e-06
464,7,4.142555124e-06
465,14,8.285110248e-06
466,10,5.917935891e-06
467,16,9.468697426e-06
468,8,4.734348713e-06
469,13,7.693316659e-06
470,10,5.917935891e-06
471,14,8.285110248e-06
472,9,5.326142302e-06
473,16,9.468697426e-06
474,5,2.958967946e-06
475,16,9.468697426e-06
476,5,2.958967946e-06
477,9,5.326142302e-06
478,7,4.142555124e-06
479,9,5.326142302e-06
480,6,3.550761535e-06
481,22,1.301945896e-05
482,7,4.142555124e-06
483,11,6.50972948e-06
484,11,6.50972948e-06
485,19,1.124407819e-05
486,9,5.326142302e-06
487,11,6.50972948e-06
488,11,6.50972948e-06
489,13,7.693316659e-06
490,12,7.10152307e-06
491,22,1.301945896e-05
492,6,3.550761535e-06
493,7,4.142555124e-06
494,9,5.326142302e-06
495,18,1.06522846e-05
496,4,2.367174357e-06
497,14,8.285110248e-06
498,4,2.367174357e-06
499,14,8.285110248e-06
500,6,3.550761535e-06
501,12,7.10152307e-06
502,6,3.550761535e-06
503,9,5.326142302e-06
504,6,3.550761535e-06
505,10,5.917935891e-06
506,5,2.958967946e-06
507,13,7.693316659e-06
508,4,2.367174357e-06
509,14,8.285110248e-06
510,60,3.550761535e-05
511,232,0.0001372961127
512,3,1.775380767e-06
513,10,5.917935891e-06
514,5,2.958967946e-06
515,10,5.917935891e-06
516,10,5.917935891e-06
517,12,7.10152307e-06
518,9,5.326142302e-06
519,3,1.775380767e-06
520,2,1.183587178e-06
521,13,7.693316659e-06
522,7,4.142555124e-06
523,9,5.326142302e-06
524,3,1.775380767e-06
525,10,5.917935891e-06
526,2,1.183587178e-06
527,8,4.734348713e-06
528,3,1.775380767e-06
529,6,3.550761535e-06
530,5,2.958967946e-06
531,10,5.917935891e-06
532,6,3.550761535e-06
533,3,1.775380767e-06
534,4,2.367174357e-06
535,11,6.50972948e-06
536,4,2.367174357e-06
537,8,4.734348713e-06
538,7,4.142555124e-06
539,9,5.326142302e-06
540,3,1.775380767e-06
541,12,7.10152307e-06
542,1,5.917935891e-07
543,2,1.183587178e-06
544,3,1.775380767e-06
545,12,7.10152307e-06
546,7,4.142555124e-06
547,5,2.958967946e-06
548,9,5.326142302e-06
549,9,5.326142302e-06
550,4,2.367174357e-06
551,12,7.10152307e-06
552,7,4.142555124e-06
553,5,2.958967946e-06
554,12,7.10152307e-06
555,7,4.142555124e-06
556,1,5.917935891e-07
557,11,6.50972948e-06
558,4,2.367174357e-06
559,9,5.326142302e-06
560,1,5.917935891e-07
561,6,3.550761535e-06
562,2,1.183587178e-06
563,7,4.142555124e-06
564,1,5.917935891e-07
565,5,2.958967946e-06
566,1,5.917935891e-07
567,7,4.142555124e-06
568,2,1.183587178e-06
569,4,2.367174357e-06
570,7,4.142555124e-06
571,7,4.142555124e-06
572,6,3.550761535e-06
573,10,5.917935891e-06
574,5,2.958967946e-06
575,8,4.734348713e-06
576,9,5.326142302e-06
577,5,2.958967946e-06
578,4,2.367174357e-06
579,8,4.734348713e-06
580,8,4.734348713e-06
581,3,1.775380767e-06
582,154,9.113621273e-05
583,495,0.0002929378266
584,5,2.958967946e-06
585,4,2.367174357e-06
586,5,2.958967946e-06
587,6,3.550761535e-06
588,5,2.958967946e-06
589,5,2.958967946e-06
590,2,1.183587178e-06
591,3,1.775380767e-06
592,4,2.367174357e-06
