metric,value
n_events,30000000
n_hits_in_crystal,21152
n_overflow,11685
r_disk_mm,300
z_disk_mm,100
disk_area_cm2,2827.433388
pdg_expected_per_s,47.21813758
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,21814.34998

bin_keV,counts,per_muon
0,6,2e-07
1,8,2.666666667e-07
2,7,2.333333333e-07
3,6,2e-07
4,13,4.333333333e-07
5,9,3e-07
6,8,2.666666667e-07
7,8,2.666666667e-07
8,11,3.666666667e-07
9,7,2.333333333e-07
10,3,1e-07
11,8,2.666666667e-07
12,4,1.333333333e-07
13,8,2.666666667e-07
14,7,2.333333333e-07
15,5,1.666666667e-07
16,7,2.333333333e-07
17,6,2e-07
18,8,2.666666667e-07
19,7,2.333333333e-07
20,9,3e-07
21,9,3e-07
22,4,1.333333333e-07
23,6,2e-07
24,1,3.333333333e-08
25,6,2e-07
26,5,1.666666667e-07
27,4,1.333333333e-07
28,2,6.666666667e-08
29,7,2.333333333e-07
30,4,1.333333333e-07
31,4,1.333333333e-07
32,3,1e-07
33,6,2e-07
34,5,1.666666667e-07
35,6,2e-07
36,3,1e-07
37,5,1.666666667e-07
38,5,1.666666667e-07
39,3,1e-07
40,7,2.333333333e-07
41,7,2.333333333e-07
42,4,1.333333333e-07
43,7,2.333333333e-07
44,4,1.333333333e-07
45,8,2.666666667e-07
46,7,2.333333333e-07
47,10,3.333333333e-07
48,1,3.333333333e-08
49,12,4e-07
50,10,3.333333333e-07
51,4,1.333333333e-07
52,2,6.666666667e-08
53,6,2e-07
54,4,1.333333333e-07
55,6,2e-07
56,5,1.666666667e-07
57,7,2.333333333e-07
58,3,1e-07
59,4,1.333333333e-07
60,5,1.666666667e-07
61,2,6.666666667e-08
62,6,2e-07
63,2,6.666666667e-08
64,3,1e-07
65,6,2e-07
66,2,6.666666667e-08
67,5,1.666666667e-07
68,5,1.666666667e-07
69,3,1e-07
70,5,1.666666667e-07
71,2,6.666666667e-08
72,5,1.666666667e-07
73,4,1.333333333e-07
74,4,1.333333333e-07
75,4,1.333333333e-07
76,4,1.333333333e-07
77,1,3.333333333e-08
78,6,2e-07
