metric,value
n_events,100000000
n_hits_in_crystal,70709
n_overflow,39241
r_disk_mm,300
z_disk_mm,100
disk_area_cm2,2827.433388
pdg_expected_per_s,47.21813758
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,24665.7644

bin_keV,counts,per_muon
0,19,1.9e-07
1,21,2.1e-07
2,27,2.7e-07
3,16,1.6e-07
4,32,3.2e-07
5,23,2.3e-07
6,16,1.6e-07
7,25,2.5e-07
8,20,2e-07
9,16,1.6e-07
10,28,2.8e-07
11,20,2e-07
12,22,2.2e-07
13,24,2.4e-07
14,26,2.6e-07
15,27,2.7e-07
16,30,3e-07
17,28,2.8e-07
18,26,2.6e-07
19,29,2.9e-07
20,20,2e-07
21,26,2.6e-07
22,16,1.6e-07
23,17,1.7e-07
24,25,2.5e-07
25,20,2e-07
26,22,2.2e-07
27,20,2e-07
28,18,1.8e-07
29,20,2e-07
30,32,3.2e-07
31,26,2.6e-07
32,20,2e-07
33,17,1.7e-07
34,9,9e-08
35,18,1.8e-07
36,29,2.9e-07
37,19,1.9e-07
38,20,2e-07
39,26,2.6e-07
40,12,1.2e-07
41,21,2.1e-07
42,17,1.7e-07
43,18,1.8e-07
44,18,1.8e-07
45,10,1e-07
46,13,1.3e-07
47,21,2.1e-07
48,19,1.9e-07
49,22,2.2e-07
50,15,1.5e-07
51,21,2.1e-07
52,16,1.6e-07
53,26,2.6e-07
54,14,1.4e-07
55,18,1.8e-07
56,18,1.8e-07
57,21,2.1e-07
58,23,2.3e-07
59,14,1.4e-07
60,10,1e-07
61,15,1.5e-07
62,21,2.1e-07
63,11,1.1e-07
64,17,1.7e-07
65,20,2e-07
66,17,1.7e-07
67,17,1.7e-07
68,14,1.4e-07
69,15,1.5e-07
70,20,2e-07
71,27,2.7e-07
72,26,2.6e-07
73,15,1.5e-07
74,16,1.6e-07
75,15,1.5e-07
76,16,1.6e-07
77,19,1.9e-07
78,18,1.8e-07
79,13,1.3e-07
80,21,2.1e-07
81,13,1.3e-07
82,15,1.5e-07
83,18,1.8e-07
84,14,1.4e-07
85,16,1.6e-07
86,14,1.4e-07
87,16,1.6e-07
88,11,1.1e-07
89,18,1.8e-07
90,18,1.8e-07
91,20,2e-07
92,15,1.5e-07
93,19,1.9e-07
94,21,2.1e-07
95,27,2.7e-07
96,12,1.2e-07
97,13,1.3e-07
98,16,1.6e-07
99,16,1.6e-07
100,13,1.3e-07
101,13,1.3e-07
102,17,1.7e-07
103,17,1.7e-07
104,19,1.9e-07
105,11,1.1e-07
106,22,2.2e-07
107,20,2e-07
