metric,value
n_events,100000000
n_hits_in_crystal,8640
n_overflow,4190
r_disk_mm,900
z_disk_mm,300
disk_area_cm2,25446.90049
pdg_expected_per_s,424.9632383
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,41233.68013
shield,1
stand_mm,25
device_z_mm,-133.75
screen_up,1

bin_keV,counts,per_muon
0,27,2.7e-07
1,9,9e-08
2,7,7e-08
3,9,9e-08
4,12,1.2e-07
5,15,1.5e-07
6,10,1e-07
7,8,8e-08
8,9,9e-08
9,9,9e-08
10,8,8e-08
11,9,9e-08
12,8,8e-08
13,12,1.2e-07
14,9,9e-08
15,12,1.2e-07
16,6,6e-08
17,9,9e-08
18,11,1.1e-07
19,6,6e-08
20,11,1.1e-07
21,7,7e-08
22,3,3e-08
23,5,5e-08
24,7,7e-08
25,6,6e-08
26,8,8e-08
27,8,8e-08
28,9,9e-08
29,7,7e-08
30,9,9e-08
31,4,4e-08
32,7,7e-08
33,9,9e-08
34,6,6e-08
35,8,8e-08
36,2,2e-08
37,9,9e-08
38,6,6e-08
39,6,6e-08
40,4,4e-08
41,3,3e-08
42,2,2e-08
43,1,1e-08
44,9,9e-08
45,5,5e-08
46,1,1e-08
47,5,5e-08
48,8,8e-08
49,2,2e-08
50,7,7e-08
51,5,5e-08
52,3,3e-08
53,4,4e-08
54,3,3e-08
55,4,4e-08
56,5,5e-08
57,7,7e-08
58,4,4e-08
59,2,2e-08
60,4,4e-08
61,5,5e-08
62,5,5e-08
63,2,2e-08
64,6,6e-08
65,3,3e-08
66,3,3e-08
67,3,3e-08
68,4,4e-08
69,4,4e-08
70,5,5e-08
71,4,4e-08
72,6,6e-08
73,5,5e-08
74,2,2e-08
75,7,7e-08
76,4,4e-08
77,3,3e-08
78,1,1e-08
79,8,8e-08
80,4,4e-08
81,2,2e-08
82,9,9e-08
83,6,6e-08
84,7,7e-08
85,3,3e-08
86,6,6e-08
87,9,9e-08
88,5,5e-08
89,3,3e-08
90,3,3e-08
91,4,4e-08
92,4,4e-08
93,8,8e-08
94,2,2e-08
95,7,7e-08
96,4,4e-08
97,4,4e-08
98,3,3e-08
99,3,3e-08
100,1,1e-08
101,3,3e-08
102,3,3e-08
103,2,2e-08
104,4,4e-08
105,1,1e-08
106,3,3e-08
107,5,5e-08
108,3,3e-08
109,3,3e-08
110,3,3e-08
111,8,8e-08
112,7,7e-08
113,3,3e-08
114,1,1e-08
115,2,2e-08
116,1,1e-08
117,4,4e-08
118,4,4e-08
119,1,1e-08
120,4,4e-08
121,2,2e-08
122,6,6e-08
123,0,0
124,5,5e-08
125,7,7e-08
126,1,1e-08
127,1,1e-08
128,4,4e-08
129,7,7e-08
130,5,5e-08
131,1,1e-08
132,5,5e-08
133,4,4e-08
134,2,2e-08
135,1,1e-08
136,4,4e-08
137,4,4e-08
138,0,0
139,8,8e-08
140,3,3e-08
141,3,3e-08
142,4,4e-08
143,3,3e-08
144,1,1e-08
145,3,3e-08
146,5,5e-08
147,1,1e-08
148,3,3e-08
149,2,2e-08
150,5,5e-08
151,2,2e-08
152,2,2e-08
153,5,5e-08
154,4,4e-08
155,6,6e-08
156,3,3e-08
157,0,0
158,1,1e-08
159,2,2e-08
160,2,2e-08
161,4,4e-08
162,2,2e-08
163,0,0
164,1,1e-08
165,3,3e-08
166,2,2e-08
167,4,4e-08
168,1,1e-08
169,0,0
170,4,4e-08
171,3,3e-08
172,6,6e-08
173,3,3e-08
174,3,3e-08
175,6,6e-08
176,2,2e-08
177,2,2e-08
178,2,2e-08
179,5,5e-08
180,2,2e-08
181,0,0
182,7,7e-08
183,2,2e-08
184,4,4e-08
185,1,1e-08
186,4,4e-08
187,6,6e-08
188,3,3e-08
189,1,1e-08
190,2,2e-08
191,1,1e-08
192,4,4e-08
193,2,2e-08
194,4,4e-08
195,4,4e-08
196,7,7e-08
197,3,3e-08
198,8,8e-08
199,2,2e-08
200,5,5e-08
201,1,1e-08
202,2,2e-08
203,5,5e-08
204,2,2e-08
205,4,4e-08
206,4,4e-08
207,1,1e-08
208,3,3e-08
209,5,5e-08
210,1,1e-08
211,3,3e-08
212,3,3e-08
213,1,1e-08
214,2,2e-08
215,1,1e-08
216,2,2e-08
217,9,9e-08
218,2,2e-08
219,1,1e-08
220,3,3e-08
221,2,2e-08
222,4,4e-08
223,4,4e-08
224,5,5e-08
225,3,3e-08
226,4,4e-08
227,4,4e-08
228,1,1e-08
229,4,4e-08
230,3,3e-08
231,4,4e-08
232,4,4e-08
233,3,3e-08
234,3,3e-08
235,2,2e-08
236,2,2e-08
237,1,1e-08
238,2,2e-08
239,2,2e-08
240,2,2e-08
241,1,1e-08
242,5,5e-08
243,3,3e-08
244,4,4e-08
245,3,3e-08
246,4,4e-08
247,6,6e-08
248,5,5e-08
249,6,6e-08
250,3,3e-08
251,0,0
252,4,4e-08
253,3,3e-08
254,0,0
255,2,2e-08
256,1,1e-08
257,0,0
258,3,3e-08
259,4,4e-08
260,2,2e-08
261,4,4e-08
262,2,2e-08
263,3,3e-08
264,0,0
265,2,2e-08
266,5,5e-08
267,2,2e-08
268,3,3e-08
269,4,4e-08
270,1,1e-08
271,1,1e-08
272,2,2e-08
273,4,4e-08
274,1,1e-08
275,5,5e-08
276,3,3e-08
277,2,2e-08
278,1,1e-08
279,3,3e-08
280,1,1e-08
281,3,3e-08
282,3,3e-08
283,1,1e-08
284,2,2e-08
285,1,1e-08
286,3,3e-08
287,1,1e-08
288,3,3e-08
289,2,2e-08
290,2,2e-08
291,4,4e-08
292,2,2e-08
293,3,3e-08
294,2,2e-08
295,5,5e-08
296,2,2e-08
297,5,5e-08
298,2,2e-08
299,2,2e-08
300,2,2e-08
301,1,1e-08
302,0,0
303,1,1e-08
304,7,7e-08
305,3,3e-08
306,4,4e-08
307,1,1e-08
308,5,5e-08
309,1,1e-08
310,2,2e-08
311,1,1e-08
312,2,2e-08
313,3,3e-08
314,3,3e-08
315,3,3e-08
316,5,5e-08
317,1,1e-08
318,5,5e-08
319,1,1e-08
320,3,3e-08
321,1,1e-08
322,2,2e-08
323,4,4e-08
324,4,4e-08
325,3,3e-08
326,3,3e-08
327,2,2e-08
328,4,4e-08
329,2,2e-08
330,4,4e-08
331,5,5e-08
332,2,2e-08
333,2,2e-08
334,2,2e-08
335,2,2e-08
336,2,2e-08
337,0,0
338,2,2e-08
339,0,0
340,3,3e-08
341,2,2e-08
342,1,1e-08
343,1,1e-08
344,4,4e-08
345,4,4e-08
346,3,3e-08
347,4,4e-08
348,3,3e-08
349,0,0
350,1,1e-08
351,4,4e-08
352,4,4e-08
353,3,3e-08
354,2,2e-08
355,6,6e-08
356,2,2e-08
357,3,3e-08
358,1,1e-08
359,3,3e-08
360,2,2e-08
361,4,4e-08
362,3,3e-08
363,2,2e-08
364,2,2e-08
365,3,3e-08
366,1,1e-08
367,1,1e-08
368,3,3e-08
369,1,1e-08
370,3,3e-08
371,3,3e-08
372,1,1e-08
373,2,2e-08
374,3,3e-08
375,0,0
376,4,4e-08
377,1,1e-08
378,1,1e-08
379,4,4e-08
380,3,3e-08
381,2,2e-08
382,1,1e-08
383,2,2e-08
384,0,0
385,1,1e-08
386,3,3e-08
387,0,0
388,1,1e-08
389,2,2e-08
390,3,3e-08
391,3,3e-08
392,2,2e-08
393,4,4e-08
394,5,5e-08
395,1,1e-08
396,4,4e-08
397,1,1e-08
398,5,5e-08
399,1,1e-08
400,4,4e-08
401,1,1e-08
402,0,0
403,1,1e-08
404,3,3e-08
405,2,2e-08
406,2,2e-08
407,3,3e-08
408,2,2e-08
409,0,0
410,2,2e-08
411,2,2e-08
412,2,2e-08
413,3,3e-08
414,1,1e-08
415,1,1e-08
416,3,3e-08
417,6,6e-08
418,2,2e-08
419,1,1e-08
420,0,0
421,0,0
422,0,0
423,5,5e-08
424,1,1e-08
425,2,2e-08
426,2,2e-08
427,1,1e-08
428,3,3e-08
429,1,1e-08
430,5,5e-08
431,3,3e-08
432,1,1e-08
433,3,3e-08
434,2,2e-08
435,0,0
436,2,2e-08
437,1,1e-08
438,4,4e-08
439,3,3e-08
440,3,3e-08
441,1,1e-08
442,6,6e-08
443,2,2e-08
444,2,2e-08
445,2,2e-08
446,3,3e-08
447,0,0
448,3,3e-08
449,3,3e-08
450,1,1e-08
451,1,1e-08
452,1,1e-08
453,2,2e-08
454,1,1e-08
455,2,2e-08
456,4,4e-08
457,2,2e-08
458,4,4e-08
459,6,6e-08
460,3,3e-08
461,3,3e-08
462,2,2e-08
463,3,3e-08
464,2,2e-08
465,3,3e-08
466,3,3e-08
467,2,2e-08
468,0,0
469,1,1e-08
470,1,1e-08
471,1,1e-08
472,2,2e-08
473,2,2e-08
474,3,3e-08
475,2,2e-08
476,0,0
477,0,0
478,0,0
479,5,5e-08
480,1,1e-08
481,1,1e-08
482,1,1e-08
483,4,4e-08
484,2,2e-08
485,3,3e-08
486,3,3e-08
487,6,6e-08
488,0,0
489,4,4e-08
490,1,1e-08
491,0,0
492,1,1e-08
493,4,4e-08
494,1,1e-08
495,2,2e-08
496,0,0
497,3,3e-08
498,2,2e-08
499,0,0
500,0,0
501,2,2e-08
502,1,1e-08
503,1,1e-08
504,4,4e-08
505,3,3e-08
506,1,1e-08
507,2,2e-08
508,6,6e-08
509,1,1e-08
510,15,1.5e-07
511,4,4e-08
512,1,1e-08
513,3,3e-08
514,1,1e-08
515,1,1e-08
516,1,1e-08
517,2,2e-08
518,1,1e-08
519,1,1e-08
520,0,0
521,6,6e-08
522,3,3e-08
523,4,4e-08
524,0,0
525,2,2e-08
526,2,2e-08
527,1,1e-08
528,3,3e-08
529,3,3e-08
530,3,3e-08
531,2,2e-08
532,2,2e-08
533,0,0
534,1,1e-08
535,4,4e-08
536,1,1e-08
537,5,5e-08
538,0,0
539,2,2e-08
540,3,3e-08
541,1,1e-08
542,1,1e-08
543,0,0
544,2,2e-08
545,3,3e-08
546,0,0
547,1,1e-08
548,2,2e-08
549,1,1e-08
550,2,2e-08
551,3,3e-08
552,0,0
553,3,3e-08
554,4,4e-08
555,3,3e-08
556,2,2e-08
557,0,0
558,2,2e-08
559,0,0
560,2,2e-08
561,2,2e-08
562,0,0
563,1,1e-08
564,2,2e-08
565,4,4e-08
566,1,1e-08
567,2,2e-08
568,1,1e-08
569,2,2e-08
570,0,0
571,2,2e-08
572,2,2e-08
573,1,1e-08
574,2,2e-08
575,1,1e-08
576,2,2e-08
577,1,1e-08
578,1,1e-08
579,0,0
