metric,value
n_events,100000000
n_hits_in_crystal,19438
n_overflow,9494
r_disk_mm,600
z_disk_mm,300
disk_area_cm2,11309.73355
pdg_expected_per_s,188.8725503
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,20499.93468

bin_keV,counts,per_muon
0,59,5.9e-07
1,21,2.1e-07
2,26,2.6e-07
3,20,2e-07
4,19,1.9e-07
5,20,2e-07
6,26,2.6e-07
7,29,2.9e-07
8,21,2.1e-07
9,18,1.8e-07
10,15,1.5e-07
11,17,1.7e-07
12,18,1.8e-07
13,17,1.7e-07
14,29,2.9e-07
15,21,2.1e-07
16,21,2.1e-07
17,10,1e-07
18,13,1.3e-07
19,21,2.1e-07
20,16,1.6e-07
21,8,8e-08
22,14,1.4e-07
23,9,9e-08
24,10,1e-07
25,21,2.1e-07
26,7,7e-08
27,17,1.7e-07
28,15,1.5e-07
29,10,1e-07
30,14,1.4e-07
31,12,1.2e-07
32,11,1.1e-07
33,9,9e-08
34,9,9e-08
35,9,9e-08
36,10,1e-07
37,12,1.2e-07
38,3,3e-08
39,5,5e-08
40,9,9e-08
41,15,1.5e-07
42,13,1.3e-07
43,12,1.2e-07
44,9,9e-08
45,7,7e-08
46,6,6e-08
47,10,1e-07
48,8,8e-08
49,15,1.5e-07
50,8,8e-08
51,13,1.3e-07
52,14,1.4e-07
53,11,1.1e-07
54,14,1.4e-07
55,12,1.2e-07
56,12,1.2e-07
57,21,2.1e-07
58,13,1.3e-07
59,12,1.2e-07
60,8,8e-08
61,7,7e-08
62,5,5e-08
63,11,1.1e-07
64,10,1e-07
65,11,1.1e-07
66,8,8e-08
67,13,1.3e-07
68,15,1.5e-07
69,11,1.1e-07
70,11,1.1e-07
71,20,2e-07
72,18,1.8e-07
73,7,7e-08
74,10,1e-07
75,14,1.4e-07
76,5,5e-08
77,11,1.1e-07
78,9,9e-08
79,7,7e-08
80,12,1.2e-07
81,10,1e-07
82,8,8e-08
83,12,1.2e-07
84,6,6e-08
85,9,9e-08
86,18,1.8e-07
87,10,1e-07
88,5,5e-08
89,3,3e-08
90,11,1.1e-07
91,4,4e-08
92,7,7e-08
93,8,8e-08
94,14,1.4e-07
95,8,8e-08
96,6,6e-08
97,15,1.5e-07
98,4,4e-08
99,8,8e-08
100,6,6e-08
101,5,5e-08
102,10,1e-07
103,5,5e-08
104,3,3e-08
105,4,4e-08
106,5,5e-08
107,7,7e-08
108,5,5e-08
109,8,8e-08
110,4,4e-08
111,9,9e-08
112,5,5e-08
113,12,1.2e-07
114,8,8e-08
115,10,1e-07
116,4,4e-08
117,12,1.2e-07
118,12,1.2e-07
119,8,8e-08
120,12,1.2e-07
121,5,5e-08
122,8,8e-08
123,10,1e-07
124,13,1.3e-07
125,8,8e-08
126,7,7e-08
127,7,7e-08
128,3,3e-08
129,5,5e-08
130,9,9e-08
131,9,9e-08
132,7,7e-08
133,6,6e-08
134,10,1e-07
135,12,1.2e-07
136,5,5e-08
137,10,1e-07
