metric,value
n_events,100000000
n_hits_in_crystal,7758
n_overflow,4270
r_disk_mm,900
z_disk_mm,300
disk_area_cm2,25446.90049
pdg_expected_per_s,424.9632383
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,19708.55922

bin_keV,counts,per_muon
0,0,0
1,2,2e-08
2,2,2e-08
3,2,2e-08
4,3,3e-08
5,1,1e-08
6,3,3e-08
7,1,1e-08
8,3,3e-08
9,1,1e-08
10,4,4e-08
11,4,4e-08
12,7,7e-08
13,3,3e-08
14,5,5e-08
15,4,4e-08
16,3,3e-08
17,4,4e-08
18,5,5e-08
19,5,5e-08
20,1,1e-08
21,4,4e-08
22,6,6e-08
23,1,1e-08
24,3,3e-08
25,3,3e-08
26,0,0
27,1,1e-08
28,4,4e-08
29,3,3e-08
30,2,2e-08
31,4,4e-08
32,0,0
33,8,8e-08
34,3,3e-08
35,1,1e-08
36,1,1e-08
37,1,1e-08
38,1,1e-08
39,2,2e-08
40,0,0
41,1,1e-08
42,1,1e-08
43,3,3e-08
44,1,1e-08
45,3,3e-08
46,2,2e-08
47,2,2e-08
48,3,3e-08
49,1,1e-08
50,3,3e-08
51,1,1e-08
52,2,2e-08
53,2,2e-08
54,3,3e-08
55,2,2e-08
56,1,1e-08
57,2,2e-08
58,3,3e-08
59,1,1e-08
60,2,2e-08
61,3,3e-08
62,2,2e-08
63,0,0
64,2,2e-08
65,4,4e-08
66,0,0
67,2,2e-08
68,1,1e-08
69,2,2e-08
70,1,1e-08
71,2,2e-08
72,0,0
73,4,4e-08
74,2,2e-08
75,2,2e-08
76,2,2e-08
77,2,2e-08
78,2,2e-08
79,0,0
80,2,2e-08
81,0,0
82,5,5e-08
83,2,2e-08
84,4,4e-08
85,2,2e-08
86,3,3e-08
87,0,0
88,4,4e-08
89,1,1e-08
90,3,3e-08
91,1,1e-08
92,1,1e-08
93,1,1e-08
94,1,1e-08
95,1,1e-08
96,2,2e-08
97,1,1e-08
98,3,3e-08
99,3,3e-08
100,0,0
101,4,4e-08
102,1,1e-08
103,4,4e-08
104,0,0
105,3,3e-08
106,5,5e-08
107,3,3e-08
108,2,2e-08
109,2,2e-08
110,2,2e-08
111,1,1e-08
112,1,1e-08
113,1,1e-08
114,2,2e-08
115,2,2e-08
116,3,3e-08
117,0,0
118,4,4e-08
119,0,0
120,2,2e-08
121,4,4e-08
122,1,1e-08
123,2,2e-08
124,2,2e-08
125,5,5e-08
126,3,3e-08
127,1,1e-08
128,3,3e-08
129,6,6e-08
130,1,1e-08
131,1,1e-08
132,1,1e-08
133,0,0
134,2,2e-08
135,2,2e-08
136,4,4e-08
137,0,0
138,1,1e-08
139,2,2e-08
140,1,1e-08
141,2,2e-08
142,1,1e-08
143,1,1e-08
144,2,2e-08
145,4,4e-08
146,2,2e-08
147,3,3e-08
148,5,5e-08
149,2,2e-08
150,0,0
151,1,1e-08
152,2,2e-08
153,0,0
154,3,3e-08
155,4,4e-08
156,1,1e-08
157,1,1e-08
158,2,2e-08
159,2,2e-08
160,3,3e-08
161,3,3e-08
162,0,0
163,5,5e-08
164,0,0
165,0,0
166,1,1e-08
167,0,0
168,1,1e-08
169,2,2e-08
170,0,0
171,0,0
172,1,1e-08
173,2,2e-08
174,2,2e-08
175,0,0
176,1,1e-08
177,1,1e-08
178,0,0
179,2,2e-08
180,4,4e-08
181,3,3e-08
182,0,0
183,3,3e-08
184,0,0
185,1,1e-08
186,3,3e-08
187,2,2e-08
188,0,0
189,0,0
190,1,1e-08
191,2,2e-08
192,1,1e-08
193,1,1e-08
194,2,2e-08
195,1,1e-08
196,0,0
197,0,0
198,2,2e-08
199,3,3e-08
200,0,0
201,3,3e-08
202,0,0
203,2,2e-08
204,4,4e-08
205,1,1e-08
206,2,2e-08
207,2,2e-08
208,0,0
209,0,0
210,3,3e-08
211,1,1e-08
212,0,0
213,1,1e-08
214,2,2e-08
215,1,1e-08
216,1,1e-08
217,1,1e-08
218,3,3e-08
219,2,2e-08
220,3,3e-08
221,3,3e-08
222,1,1e-08
223,2,2e-08
224,1,1e-08
225,3,3e-08
226,2,2e-08
227,1,1e-08
228,3,3e-08
229,0,0
230,2,2e-08
231,3,3e-08
232,0,0
233,3,3e-08
234,0,0
235,0,0
236,1,1e-08
237,2,2e-08
238,0,0
239,1,1e-08
240,0,0
241,1,1e-08
242,2,2e-08
243,2,2e-08
244,0,0
245,0,0
246,0,0
247,2,2e-08
248,3,3e-08
249,3,3e-08
250,3,3e-08
251,3,3e-08
252,1,1e-08
253,4,4e-08
254,1,1e-08
255,1,1e-08
256,1,1e-08
257,1,1e-08
258,3,3e-08
259,1,1e-08
260,1,1e-08
261,1,1e-08
262,3,3e-08
263,1,1e-08
264,2,2e-08
265,1,1e-08
266,2,2e-08
267,2,2e-08
268,3,3e-08
269,4,4e-08
270,2,2e-08
271,1,1e-08
272,1,1e-08
273,0,0
274,2,2e-08
275,4,4e-08
276,0,0
277,4,4e-08
278,1,1e-08
279,0,0
280,1,1e-08
281,3,3e-08
282,2,2e-08
283,1,1e-08
284,0,0
285,2,2e-08
286,1,1e-08
287,1,1e-08
288,1,1e-08
289,1,1e-08
290,1,1e-08
291,2,2e-08
292,2,2e-08
293,0,0
294,0,0
295,2,2e-08
296,2,2e-08
297,2,2e-08
298,3,3e-08
299,2,2e-08
300,0,0
301,3,3e-08
302,0,0
303,2,2e-08
304,2,2e-08
305,3,3e-08
306,1,1e-08
307,3,3e-08
308,2,2e-08
309,2,2e-08
310,0,0
311,1,1e-08
312,3,3e-08
313,1,1e-08
314,2,2e-08
315,0,0
316,1,1e-08
317,0,0
318,1,1e-08
319,0,0
320,0,0
321,2,2e-08
322,1,1e-08
323,2,2e-08
324,1,1e-08
325,0,0
326,1,1e-08
327,3,3e-08
328,3,3e-08
329,1,1e-08
330,3,3e-08
331,2,2e-08
332,4,4e-08
333,1,1e-08
334,0,0
335,2,2e-08
336,1,1e-08
337,2,2e-08
338,1,1e-08
339,1,1e-08
340,3,3e-08
341,2,2e-08
342,3,3e-08
343,4,4e-08
344,0,0
345,2,2e-08
346,2,2e-08
347,2,2e-08
348,4,4e-08
349,2,2e-08
350,4,4e-08
351,6,6e-08
352,1,1e-08
353,1,1e-08
354,2,2e-08
355,2,2e-08
356,1,1e-08
357,0,0
358,1,1e-08
359,2,2e-08
360,2,2e-08
361,0,0
362,1,1e-08
363,2,2e-08
364,1,1e-08
365,1,1e-08
366,3,3e-08
367,1,1e-08
368,0,0
369,2,2e-08
370,2,2e-08
371,1,1e-08
372,1,1e-08
373,0,0
374,4,4e-08
375,2,2e-08
376,0,0
377,2,2e-08
378,1,1e-08
379,2,2e-08
380,2,2e-08
381,2,2e-08
382,1,1e-08
383,1,1e-08
384,1,1e-08
385,0,0
386,0,0
387,2,2e-08
388,2,2e-08
389,2,2e-08
390,1,1e-08
391,1,1e-08
392,2,2e-08
393,2,2e-08
394,4,4e-08
395,1,1e-08
396,1,1e-08
397,2,2e-08
398,0,0
399,3,3e-08
400,1,1e-08
401,1,1e-08
402,0,0
403,2,2e-08
404,1,1e-08
405,0,0
