metric,value
n_events,100000000
n_hits_in_crystal,7857
n_overflow,4346
r_disk_mm,900
z_disk_mm,300
disk_area_cm2,25446.90049
pdg_expected_per_s,424.9632383
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,20530.84348

bin_keV,counts,per_muon
0,2,2e-08
1,3,3e-08
2,0,0
3,2,2e-08
4,2,2e-08
5,2,2e-08
6,3,3e-08
7,4,4e-08
8,3,3e-08
9,3,3e-08
10,4,4e-08
11,3,3e-08
12,4,4e-08
13,0,0
14,1,1e-08
15,0,0
16,1,1e-08
17,3,3e-08
18,2,2e-08
19,1,1e-08
20,4,4e-08
21,3,3e-08
22,1,1e-08
23,6,6e-08
24,5,5e-08
25,2,2e-08
26,3,3e-08
27,0,0
28,4,4e-08
29,3,3e-08
30,2,2e-08
31,4,4e-08
32,3,3e-08
33,1,1e-08
34,2,2e-08
35,1,1e-08
36,0,0
37,1,1e-08
38,3,3e-08
39,3,3e-08
40,0,0
41,2,2e-08
42,5,5e-08
43,2,2e-08
44,3,3e-08
45,1,1e-08
46,0,0
47,1,1e-08
48,2,2e-08
49,2,2e-08
50,3,3e-08
51,4,4e-08
52,6,6e-08
53,1,1e-08
54,1,1e-08
55,3,3e-08
56,2,2e-08
57,1,1e-08
58,6,6e-08
59,2,2e-08
60,1,1e-08
61,6,6e-08
62,1,1e-08
63,4,4e-08
64,3,3e-08
65,6,6e-08
66,2,2e-08
67,2,2e-08
68,1,1e-08
69,1,1e-08
70,5,5e-08
71,0,0
72,0,0
73,1,1e-08
74,1,1e-08
75,1,1e-08
76,2,2e-08
77,4,4e-08
78,3,3e-08
79,1,1e-08
80,1,1e-08
81,3,3e-08
82,3,3e-08
83,1,1e-08
84,5,5e-08
85,3,3e-08
86,5,5e-08
87,1,1e-08
88,4,4e-08
89,2,2e-08
90,0,0
91,5,5e-08
92,1,1e-08
93,2,2e-08
94,3,3e-08
95,1,1e-08
96,0,0
97,1,1e-08
98,3,3e-08
99,2,2e-08
100,2,2e-08
101,1,1e-08
102,0,0
103,1,1e-08
104,3,3e-08
105,1,1e-08
106,2,2e-08
107,2,2e-08
108,2,2e-08
109,3,3e-08
110,1,1e-08
111,1,1e-08
112,2,2e-08
113,3,3e-08
114,0,0
115,1,1e-08
116,1,1e-08
117,1,1e-08
118,2,2e-08
119,0,0
120,5,5e-08
121,2,2e-08
122,0,0
123,3,3e-08
124,1,1e-08
125,0,0
126,2,2e-08
127,2,2e-08
128,0,0
129,2,2e-08
130,3,3e-08
131,0,0
132,3,3e-08
133,1,1e-08
134,3,3e-08
135,1,1e-08
136,0,0
137,6,6e-08
138,1,1e-08
139,3,3e-08
140,2,2e-08
141,1,1e-08
142,2,2e-08
143,2,2e-08
144,0,0
145,1,1e-08
146,1,1e-08
147,2,2e-08
148,2,2e-08
149,3,3e-08
150,2,2e-08
151,2,2e-08
152,1,1e-08
153,0,0
154,4,4e-08
155,1,1e-08
156,1,1e-08
157,1,1e-08
